Hour,AvgPlayers
0,23704.645161290322
1,20794.442396313367
2,19549.142857142855
3,19297.290322580644
4,19173.313364055302
5,19709.036866359445
6,20850.209523809524
7,22889.67142857143
8,25525.77142857143
9,28077.814285714285
10,31451.866666666665
11,36267.409523809525
12,41852.44761904762
13,46852.27619047619
14,49728.53333333333
15,50254.490476190476
16,49526.9619047619
17,48361.852380952376
18,47504.57619047619
19,45695.39047619048
20,42654.2380952381
21,38423.74285714285
22,33463.23809523809
23,28351.95238095238
