Hour,AvgPlayers
0,16448.622119815667
1,16399.672811059907
2,17255.548387096773
3,17770.24884792627
4,18072.83410138249
5,18042.149769585252
6,17672.033333333333
7,17221.138095238093
8,17235.266666666666
9,17383.928571428572
10,17951.157142857144
11,19434.666666666668
12,21299.323809523812
13,23009.714285714283
14,23803.742857142857
15,23800.233333333334
16,22464.40476190476
17,20814.438095238096
18,19921.757142857143
19,19702.176190476188
20,19721.92380952381
21,19573.08095238095
22,18919.361904761907
23,17733.676190476188
