Hour,AvgPlayers
0,26607.594470046082
1,26125.953917050694
2,27211.0
3,27809.63133640553
4,27977.548387096773
5,27946.09523809524
6,27287.504761904762
7,26664.795238095237
8,26761.485714285714
9,26771.30476190476
10,27241.47619047619
11,30599.214285714283
12,34770.91428571429
13,38577.17619047619
14,40391.20952380952
15,40386.59523809524
16,37361.12380952381
17,34483.15714285714
18,33370.59523809524
19,32671.985714285714
20,31956.933333333334
21,30772.385714285712
22,29091.209523809524
23,28461.690476190477
