Hour,AvgPlayers
0,65837.52995391705
1,65906.7465437788
2,66194.53456221198
3,66596.07834101382
4,65518.188940092165
5,64222.46267281106
6,62184.6380952381
7,60461.53333333333
8,60933.166666666664
9,62337.52857142857
10,65613.14761904762
11,67585.79047619048
12,68509.54285714285
13,69126.83333333333
14,69667.65238095238
15,71188.10476190476
16,72131.40952380953
17,73146.97142857143
18,74427.03333333334
19,73978.34761904762
20,73074.43809523809
21,71839.7238095238
22,69721.00952380952
23,67810.45714285715
