Hour,AvgPlayers
0,12160.345622119816
1,11752.110599078342
2,12079.718894009218
3,12257.880184331798
4,12113.801843317973
5,11680.744239631336
6,10922.671428571428
7,10060.333333333334
8,9418.957142857142
9,9074.809523809525
10,9835.804761904761
11,11161.55238095238
12,12759.919047619047
13,14275.971428571427
14,14906.957142857142
15,14879.776190476192
16,14536.214285714286
17,14748.404761904761
18,15041.47619047619
19,15527.680952380953
20,15859.609523809524
21,15716.904761904761
22,14867.238095238095
23,13410.571428571428
