Hour,AvgPlayers
0,9196.811059907834
1,9506.165898617512
2,9879.456221198156
3,10002.589861751152
4,9969.04147465438
5,9782.49846390169
6,9388.257142857143
7,9919.495238095238
8,9990.561904761906
9,9995.271428571428
10,10475.247619047619
11,11389.757142857143
12,12365.609523809522
13,13099.433333333332
14,13334.257142857143
15,13263.004761904762
16,12908.471428571427
17,12183.990476190478
18,11591.828571428572
19,11121.914285714285
20,10807.928571428572
21,10375.019047619047
22,9895.033333333333
23,9377.528571428573
