Hour,AvgPlayers
0,38436.59447004608
1,35236.47465437788
2,33564.124423963134
3,30664.516129032258
4,30350.663594470047
5,25686.59216589862
6,24428.890476190478
7,22419.161904761906
8,22032.39523809524
9,22919.40476190476
10,25630.97619047619
11,29030.109523809522
12,31432.038095238095
13,33656.73809523809
14,37756.7
15,40017.485714285714
16,41832.22857142857
17,42752.58571428571
18,45296.78571428571
19,48202.066666666666
20,46528.81904761904
21,45882.19047619048
22,43427.514285714286
23,39772.49523809524
