Hour,AvgPlayers
0,22347.09677419355
1,23519.63594470046
2,25504.47004608295
3,26625.15668202765
4,27615.921658986175
5,28203.443010752686
6,28150.05238095238
7,27927.509523809524
8,27928.22857142857
9,27615.809523809523
10,27637.295238095237
11,30679.190476190477
12,34792.857142857145
13,38128.00476190476
14,39008.7380952381
15,37931.009523809524
16,34386.804761904765
17,30951.385714285712
18,29170.757142857143
19,28185.414285714283
20,27547.69523809524
21,26651.280952380952
22,25516.128571428573
23,24000.152380952382
