Hour,AvgPlayers
0,13897.198156682027
1,13940.861751152073
2,14058.152073732717
3,13933.617511520737
4,13871.396313364055
5,13742.721966205838
6,13630.061904761906
7,13731.514285714286
8,13936.190476190475
9,14602.628571428571
10,15362.314285714287
11,15940.528571428573
12,16319.809523809525
13,17025.22857142857
14,17316.438095238096
15,17438.152380952382
16,17604.442857142854
17,17562.10476190476
18,17479.166666666668
19,17262.22380952381
20,16927.64285714286
21,16281.157142857142
22,15536.04761904762
23,14741.357142857141
