Hour,AvgPlayers
0,27399.036866359445
1,25369.115207373274
2,24562.16129032258
3,23779.460829493088
4,22277.645161290322
5,20089.266513056835
6,17743.542857142857
7,15690.442857142858
8,14514.509523809525
9,14863.747619047619
10,16449.609523809522
11,18876.504761904762
12,21873.242857142857
13,25021.066666666666
14,27641.51904761905
15,29524.9
16,31269.22380952381
17,33170.91428571429
18,35401.73333333333
19,37402.18571428571
20,38150.34761904762
21,37616.69047619048
22,35027.12380952381
23,31080.08095238095
