Hour,AvgPlayers
0,35350.70506912442
1,37739.81566820276
2,40376.050691244236
3,42708.57142857143
4,44543.866359447
5,45003.1133640553
6,44603.561904761904
7,42646.77142857143
8,39615.7380952381
9,35850.36666666667
10,32566.719047619048
11,32313.190476190477
12,35756.9619047619
13,40281.37619047619
14,43146.20952380952
15,43460.6619047619
16,42040.19047619048
17,39230.00476190476
18,36503.19047619048
19,34853.10476190476
20,34681.80952380952
21,34937.07142857143
22,34933.31904761905
23,34721.52857142857
