Hour,AvgPlayers
0,57146.02764976958
1,58470.85253456221
2,59605.71889400922
3,59890.76036866359
4,59281.47004608295
5,58229.432027649775
6,55651.97142857143
7,52847.2
8,51039.58571428571
9,50839.97619047619
10,53448.42380952381
11,58161.60476190477
12,63093.55714285714
13,67082.58571428571
14,68943.86666666667
15,68800.70952380952
16,66197.22380952381
17,63119.409523809525
18,61413.75238095238
19,60425.67619047619
20,59840.880952380954
21,58805.295238095234
22,57176.490476190476
23,54969.72857142857
