Hour,AvgPlayers
0,26585.82488479263
1,24473.336405529953
2,23822.16129032258
3,23581.764976958526
4,22988.26267281106
5,22137.90783410138
6,21058.009523809524
7,20248.071428571428
8,20811.366666666665
9,22216.366666666665
10,24427.30476190476
11,26997.338095238094
12,29753.566666666666
13,32389.552380952384
14,34086.614285714284
15,34553.8
16,34309.40476190476
17,33681.86666666667
18,33516.02380952381
19,34027.25714285715
20,34444.97142857143
21,34215.60952380952
22,32693.985714285714
23,29741.985714285714
