Hour,AvgPlayers
0,51063.71428571429
1,48478.0599078341
2,49172.23963133641
3,49635.050691244236
4,49281.60368663594
5,49034.466359447004
6,47950.88571428571
7,49334.166666666664
8,53211.58095238095
9,58197.142857142855
10,65624.04285714285
11,77258.35238095238
12,87125.16666666667
13,93665.4619047619
14,95680.99047619049
15,95136.31428571428
16,91426.96666666666
17,88103.9619047619
18,86359.09047619047
19,84938.62380952381
20,82011.86666666667
21,75853.77142857142
22,67086.4380952381
23,57975.571428571435
