Hour,AvgPlayers
0,20528.958525345624
1,18023.327188940093
2,17182.695852534565
3,17006.4331797235
4,16612.410138248848
5,16658.95391705069
6,16965.261904761905
7,17974.98095238095
8,19736.485714285714
9,21679.138095238093
10,24382.385714285716
11,27950.09523809524
12,31684.371428571427
13,34821.47619047619
14,36257.909523809525
15,36323.23333333333
16,35020.438095238096
17,33608.58571428571
18,32943.91428571429
19,32607.490476190476
20,32248.48095238095
21,30952.442857142854
22,28178.004761904762
23,24315.128571428573
