Hour,AvgPlayers
0,12800.774193548386
1,14285.718894009218
2,15616.10138248848
3,16076.723502304148
4,16751.345622119818
5,16711.2465437788
6,16546.538095238095
7,16381.852380952381
8,16462.004761904762
9,16837.0
10,18243.561904761904
11,20255.233333333334
12,21848.52380952381
13,22704.266666666666
14,22716.27619047619
15,21727.68095238095
16,19017.685714285715
17,16029.55238095238
18,15096.519047619047
19,14366.885714285714
20,13169.438095238094
21,12358.390476190476
22,11965.090476190475
23,11892.304761904761
