Hour,AvgPlayers
0,41646.04608294931
1,39993.44239631337
2,39359.0599078341
3,38679.39170506913
4,37064.72350230415
5,34897.8801843318
6,32382.133333333335
7,29885.995238095238
8,28264.838095238094
9,27788.047619047622
10,29606.176190476188
11,33107.97619047619
12,37433.74761904762
13,41510.04285714286
14,44565.79047619048
15,45771.485714285714
16,46239.62857142857
17,46819.119047619046
18,47557.63333333333
19,48247.49523809524
20,48430.45714285714
21,48006.73333333333
22,46695.20952380952
23,44262.857142857145
