"DateTime","Players","Average Players"
"2024-09-04 00:00:00",25117,14920
"2024-09-05 00:00:00",32656,20350
"2024-09-06 00:00:00",35823,22985
"2024-09-07 00:00:00",39172,27791
"2024-09-08 00:00:00",40856,28844
"2024-09-09 00:00:00",38071,23863
"2024-09-10 00:00:00",37014,23130
"2024-09-11 00:00:00",36072,22452
"2024-09-12 00:00:00",34889,21756
"2024-09-13 00:00:00",35164,21518
"2024-09-14 00:00:00",36458,24306
"2024-09-15 00:00:00",36237,25846
"2024-09-16 00:00:00",32454,23160
"2024-09-17 00:00:00",32548,22120
"2024-09-18 00:00:00",33332,20043
"2024-09-19 00:00:00",32577,19429
"2024-09-20 00:00:00",31541,19662
"2024-09-21 00:00:00",32790,23152
"2024-09-22 00:00:00",32999,22821
"2024-09-23 00:00:00",29686,18174
"2024-09-24 00:00:00",29305,17600
"2024-09-25 00:00:00",28622,17178
"2024-09-26 00:00:00",27791,16504
"2024-09-27 00:00:00",27438,16982
"2024-09-28 00:00:00",28777,20246
"2024-09-29 00:00:00",29084,19175
"2024-09-30 00:00:00",25580,16773
"2024-10-01 00:00:00",24166,17169
"2024-10-02 00:00:00",23480,16558
"2024-10-03 00:00:00",22558,16144
"2024-10-04 00:00:00",23237,16032
"2024-10-05 00:00:00",25079,17861
"2024-10-06 00:00:00",25623,18159
"2024-10-07 00:00:00",24112,15902
"2024-10-08 00:00:00",24653,14384
"2024-10-09 00:00:00",24574,14502
"2024-10-10 00:00:00",23990,14226
"2024-10-11 00:00:00",24323,14887
"2024-10-12 00:00:00",26736,16803
"2024-10-13 00:00:00",25308,17420
"2024-10-14 00:00:00",23966,14291
"2024-10-15 00:00:00",23500,13782
"2024-10-16 00:00:00",23563,13834
"2024-10-17 00:00:00",23496,13965
"2024-10-18 00:00:00",24266,14774
"2024-10-19 00:00:00",29151,19686
"2024-10-20 00:00:00",29016,20028
"2024-10-21 00:00:00",27454,16284
"2024-10-22 00:00:00",27681,16284
"2024-10-23 00:00:00",28087,16278
"2024-10-24 00:00:00",27890,16218
