"DateTime","Players","Average Players"
"2024-12-21 00:00:00",21709,28074
"2024-12-21 01:00:00",22406,28229
"2024-12-21 02:00:00",23915,28348
"2024-12-21 03:00:00",24265,28447
"2024-12-21 04:00:00",24273,28552
"2024-12-21 05:00:00",24327,28675
"2024-12-21 06:00:00",24108,28801
"2024-12-21 07:00:00",23466,28929
"2024-12-21 08:00:00",23167,29066
"2024-12-21 09:00:00",22738,29213
"2024-12-21 10:00:00",23915,29361
"2024-12-21 11:00:00",27068,29492
"2024-12-21 12:00:00",31285,29645
"2024-12-21 13:00:00",34630,29778
"2024-12-21 14:00:00",36025,29886
"2024-12-21 15:00:00",36020,29954
"2024-12-21 16:00:00",34871,29996
"2024-12-21 17:00:00",32946,29999
"2024-12-21 18:00:00",31536,30007
"2024-12-21 19:00:00",31598,30051
"2024-12-21 20:00:00",31501,30120
"2024-12-21 21:00:00",30825,30194
"2024-12-21 22:00:00",29612,30268
"2024-12-21 23:00:00",27580,30314
"2024-12-22 00:00:00",25626,30334
"2024-12-22 01:00:00",25425,30325
"2024-12-22 02:00:00",26458,30277
"2024-12-22 03:00:00",26952,30187
"2024-12-22 04:00:00",27392,30063
"2024-12-22 05:00:00",27535,29877
"2024-12-22 06:00:00",27380,29637
"2024-12-22 07:00:00",26986,29334
"2024-12-22 08:00:00",26940,28994
"2024-12-22 09:00:00",26534,28633
"2024-12-22 10:00:00",27198,28297
"2024-12-22 11:00:00",30748,28021
"2024-12-22 12:00:00",34395,27750
"2024-12-22 13:00:00",37110,27501
"2024-12-22 14:00:00",37493,27263
"2024-12-22 15:00:00",36915,27018
"2024-12-22 16:00:00",34843,26776
"2024-12-22 17:00:00",33112,26533
"2024-12-22 18:00:00",32583,26299
"2024-12-22 19:00:00",33251,26078
"2024-12-22 20:00:00",33303,25850
"2024-12-22 21:00:00",32688,25633
"2024-12-22 22:00:00",30838,25432
"2024-12-22 23:00:00",28041,25253
"2024-12-23 00:00:00",25364,25098
"2024-12-23 01:00:00",24212,24982
"2024-12-23 02:00:00",24168,24907
"2024-12-23 03:00:00",23776,24855
"2024-12-23 04:00:00",22656,24813
"2024-12-23 05:00:00",21421,24790
"2024-12-23 06:00:00",19661,24789
"2024-12-23 07:00:00",18289,24789
"2024-12-23 08:00:00",17677,24796
"2024-12-23 09:00:00",17881,24788
"2024-12-23 10:00:00",19991,24768
"2024-12-23 11:00:00",23674,24748
"2024-12-23 12:00:00",27901,24727
"2024-12-23 13:00:00",30912,24712
"2024-12-23 14:00:00",31120,24687
"2024-12-23 15:00:00",30661,24669
"2024-12-23 16:00:00",28526,24633
"2024-12-23 17:00:00",26953,24567
"2024-12-23 18:00:00",26717,24472
"2024-12-23 19:00:00",27145,24357
"2024-12-23 20:00:00",27468,24222
"2024-12-23 21:00:00",27271,24077
"2024-12-23 22:00:00",26017,23933
"2024-12-23 23:00:00",23892,23803
"2024-12-24 00:00:00",22254,23693
"2024-12-24 01:00:00",22260,23583
"2024-12-24 02:00:00",22864,23445
"2024-12-24 03:00:00",22851,23308
"2024-12-24 04:00:00",22349,23186
"2024-12-24 05:00:00",21806,23095
"2024-12-24 06:00:00",20223,23022
"2024-12-24 07:00:00",19075,22996
"2024-12-24 08:00:00",18041,22986
"2024-12-24 09:00:00",17875,22998
"2024-12-24 10:00:00",19958,23028
"2024-12-24 11:00:00",23593,23043
"2024-12-24 12:00:00",27970,23048
"2024-12-24 13:00:00",30771,23035
"2024-12-24 14:00:00",31139,23015
"2024-12-24 15:00:00",30248,22995
"2024-12-24 16:00:00",27337,22989
"2024-12-24 17:00:00",24963,23013
"2024-12-24 18:00:00",24243,23080
"2024-12-24 19:00:00",24129,23198
"2024-12-24 20:00:00",24150,23329
"2024-12-24 21:00:00",23916,23461
"2024-12-24 22:00:00",22981,23597
"2024-12-24 23:00:00",21258,23728
"2024-12-25 00:00:00",19490,23864
"2024-12-25 01:00:00",18684,23994
"2024-12-25 02:00:00",19275,24120
"2024-12-25 03:00:00",19570,24225
