"DateTime","Players","Average Players"
"2024-12-21 00:00:00",20739,29270
"2024-12-21 01:00:00",20771,29363
"2024-12-21 02:00:00",21776,29438
"2024-12-21 03:00:00",22553,29517
"2024-12-21 04:00:00",23639,29606
"2024-12-21 05:00:00",24519,29703
"2024-12-21 06:00:00",24916,29797
"2024-12-21 07:00:00",25388,29900
"2024-12-21 08:00:00",26138,30003
"2024-12-21 09:00:00",26953,30105
"2024-12-21 10:00:00",29191,30212
"2024-12-21 11:00:00",32577,30311
"2024-12-21 12:00:00",35922,30415
"2024-12-21 13:00:00",38574,30514
"2024-12-21 14:00:00",39578,30601
"2024-12-21 15:00:00",39474,30651
"2024-12-21 16:00:00",37799,30680
"2024-12-21 17:00:00",35723,30646
"2024-12-21 18:00:00",33748,30586
"2024-12-21 19:00:00",31740,30541
"2024-12-21 20:00:00",30163,30527
"2024-12-21 21:00:00",28587,30540
"2024-12-21 22:00:00",27016,30569
"2024-12-21 23:00:00",24984,30583
"2024-12-22 00:00:00",23270,30589
"2024-12-22 01:00:00",22829,30572
"2024-12-22 02:00:00",23935,30513
"2024-12-22 03:00:00",24908,30389
"2024-12-22 04:00:00",26162,30216
"2024-12-22 05:00:00",26970,29995
"2024-12-22 06:00:00",27582,29741
"2024-12-22 07:00:00",28030,29426
"2024-12-22 08:00:00",28726,29099
"2024-12-22 09:00:00",29592,28797
"2024-12-22 10:00:00",31554,28533
"2024-12-22 11:00:00",34967,28314
"2024-12-22 12:00:00",38108,28115
"2024-12-22 13:00:00",40408,27952
"2024-12-22 14:00:00",40540,27800
"2024-12-22 15:00:00",39958,27653
"2024-12-22 16:00:00",36822,27503
"2024-12-22 17:00:00",34156,27372
"2024-12-22 18:00:00",32588,27252
"2024-12-22 19:00:00",31409,27148
"2024-12-22 20:00:00",30567,27055
"2024-12-22 21:00:00",29412,26978
"2024-12-22 22:00:00",27555,26900
"2024-12-22 23:00:00",25089,26840
"2024-12-23 00:00:00",22802,26795
"2024-12-23 01:00:00",21319,26751
"2024-12-23 02:00:00",20793,26718
"2024-12-23 03:00:00",20532,26687
"2024-12-23 04:00:00",20552,26663
"2024-12-23 05:00:00",20485,26650
"2024-12-23 06:00:00",19555,26633
"2024-12-23 07:00:00",19694,26616
"2024-12-23 08:00:00",20967,26588
