"DateTime","Players","Average Players"
"2022-05-17 00:00:00",12342,
"2022-05-18 00:00:00",6238,
"2022-05-19 00:00:00",5370,
"2022-05-20 00:00:00",4498,
"2022-05-21 00:00:00",3990,
"2022-05-22 00:00:00",4191,
"2022-05-23 00:00:00",3328,
"2022-05-24 00:00:00",2730,
"2022-05-25 00:00:00",2287,
"2022-05-26 00:00:00",2028,
"2022-05-27 00:00:00",2036,
"2022-05-28 00:00:00",1869,
"2022-05-29 00:00:00",1797,
"2022-05-30 00:00:00",1659,
"2022-05-31 00:00:00",1248,
"2022-06-01 00:00:00",1613,
"2022-06-02 00:00:00",1282,
"2022-06-03 00:00:00",1233,
"2022-06-04 00:00:00",1352,
"2022-06-05 00:00:00",1424,
"2022-06-06 00:00:00",1112,
"2022-06-07 00:00:00",1092,
"2022-06-08 00:00:00",909,
"2022-06-09 00:00:00",864,
"2022-06-10 00:00:00",817,
"2022-06-11 00:00:00",872,
"2022-06-12 00:00:00",918,
"2022-06-13 00:00:00",755,
"2022-06-14 00:00:00",653,
"2022-06-15 00:00:00",699,
"2022-06-16 00:00:00",661,
"2022-06-17 00:00:00",625,
"2022-06-18 00:00:00",661,
"2022-06-19 00:00:00",641,
"2022-06-20 00:00:00",501,
"2022-06-21 00:00:00",475,
"2022-06-22 00:00:00",404,
"2022-06-23 00:00:00",381,
"2022-06-24 00:00:00",437,
"2022-06-25 00:00:00",413,
"2022-06-26 00:00:00",480,
"2022-06-27 00:00:00",404,
"2022-06-28 00:00:00",341,
"2022-06-29 00:00:00",358,
"2022-06-30 00:00:00",291,
"2022-07-01 00:00:00",336,
"2022-07-02 00:00:00",352,
"2022-07-03 00:00:00",363,
"2022-07-04 00:00:00",294,
"2022-07-05 00:00:00",297,
"2022-07-06 00:00:00",241,
"2022-07-07 00:00:00",255,
"2022-07-08 00:00:00",291,
"2022-07-09 00:00:00",303,
"2022-07-10 00:00:00",312,
"2022-07-11 00:00:00",224,
"2022-07-12 00:00:00",270,
"2022-07-13 00:00:00",237,
"2022-07-14 00:00:00",214,
"2022-07-15 00:00:00",266,
"2022-07-16 00:00:00",274,
"2022-07-17 00:00:00",324,
"2022-07-18 00:00:00",231,
"2022-07-19 00:00:00",192,
"2022-07-20 00:00:00",249,
"2022-07-21 00:00:00",229,
"2022-07-22 00:00:00",262,
"2022-07-23 00:00:00",287,
"2022-07-24 00:00:00",249,
"2022-07-25 00:00:00",212,
"2022-07-26 00:00:00",203,
"2022-07-27 00:00:00",194,
"2022-07-28 00:00:00",173,
"2022-07-29 00:00:00",200,
"2022-07-30 00:00:00",244,
"2022-07-31 00:00:00",242,
"2022-08-01 00:00:00",190,
"2022-08-02 00:00:00",215,
"2022-08-03 00:00:00",195,
"2022-08-04 00:00:00",189,
"2022-08-05 00:00:00",228,
"2022-08-06 00:00:00",199,
"2022-08-07 00:00:00",263,
"2022-08-08 00:00:00",182,
"2022-08-09 00:00:00",224,
"2022-08-10 00:00:00",220,
"2022-08-11 00:00:00",208,
"2022-08-12 00:00:00",215,
"2022-08-13 00:00:00",235,
"2022-08-14 00:00:00",282,
"2022-08-15 00:00:00",200,
"2022-08-16 00:00:00",217,
"2022-08-17 00:00:00",194,
"2022-08-18 00:00:00",192,
"2022-08-19 00:00:00",178,
"2022-08-20 00:00:00",220,
"2022-08-21 00:00:00",250,
"2022-08-22 00:00:00",171,
"2022-08-23 00:00:00",168,
"2022-08-24 00:00:00",166,
"2022-08-25 00:00:00",185,
"2022-08-26 00:00:00",218,
"2022-08-27 00:00:00",229,
"2022-08-28 00:00:00",244,
"2022-08-29 00:00:00",177,
"2022-08-30 00:00:00",179,
"2022-08-31 00:00:00",175,
"2022-09-01 00:00:00",145,
"2022-09-02 00:00:00",167,
"2022-09-03 00:00:00",220,
"2022-09-04 00:00:00",196,
"2022-09-05 00:00:00",192,
"2022-09-06 00:00:00",157,
"2022-09-07 00:00:00",156,
"2022-09-08 00:00:00",172,
"2022-09-09 00:00:00",163,
"2022-09-10 00:00:00",191,
"2022-09-11 00:00:00",180,
"2022-09-12 00:00:00",137,
"2022-09-13 00:00:00",155,
"2022-09-14 00:00:00",148,
"2022-09-15 00:00:00",133,
"2022-09-16 00:00:00",148,
"2022-09-17 00:00:00",177,
"2022-09-18 00:00:00",204,
"2022-09-19 00:00:00",146,
"2022-09-20 00:00:00",151,
"2022-09-21 00:00:00",133,
"2022-09-22 00:00:00",118,
"2022-09-23 00:00:00",143,73
"2022-09-24 00:00:00",154,89
"2022-09-25 00:00:00",183,92
"2022-09-26 00:00:00",141,76
"2022-09-27 00:00:00",129,70
"2022-09-28 00:00:00",109,65
"2022-09-29 00:00:00",110,63
"2022-09-30 00:00:00",129,65
"2022-10-01 00:00:00",147,89
"2022-10-02 00:00:00",188,107
"2022-10-03 00:00:00",137,72
"2022-10-04 00:00:00",143,71
"2022-10-05 00:00:00",117,65
"2022-10-06 00:00:00",120,64
"2022-10-07 00:00:00",149,71
"2022-10-08 00:00:00",187,97
"2022-10-09 00:00:00",189,101
"2022-10-10 00:00:00",123,69
"2022-10-11 00:00:00",135,62
"2022-10-12 00:00:00",118,61
"2022-10-13 00:00:00",114,63
"2022-10-14 00:00:00",136,69
"2022-10-15 00:00:00",139,85
"2022-10-16 00:00:00",175,98
"2022-10-17 00:00:00",132,68
"2022-10-18 00:00:00",131,67
"2022-10-19 00:00:00",108,58
"2022-10-20 00:00:00",204,99
"2022-10-21 00:00:00",224,118
"2022-10-22 00:00:00",248,146
"2022-10-23 00:00:00",244,151
"2022-10-24 00:00:00",184,105
"2022-10-25 00:00:00",173,105
"2022-10-26 00:00:00",192,108
"2022-10-27 00:00:00",163,97
"2022-10-28 00:00:00",152,93
"2022-10-29 00:00:00",180,105
"2022-10-30 00:00:00",200,115
"2022-10-31 00:00:00",142,83
"2022-11-01 00:00:00",179,87
"2022-11-02 00:00:00",152,79
"2022-11-03 00:00:00",149,83
"2022-11-04 00:00:00",156,87
"2022-11-05 00:00:00",174,107
"2022-11-06 00:00:00",196,121
"2022-11-07 00:00:00",144,81
"2022-11-08 00:00:00",132,74
"2022-11-09 00:00:00",131,73
"2022-11-10 00:00:00",127,75
"2022-11-11 00:00:00",164,88
"2022-11-12 00:00:00",183,114
"2022-11-13 00:00:00",231,125
"2022-11-14 00:00:00",145,87
"2022-11-15 00:00:00",150,86
"2022-11-16 00:00:00",149,76
"2022-11-17 00:00:00",125,73
"2022-11-18 00:00:00",128,73
"2022-11-19 00:00:00",160,98
"2022-11-20 00:00:00",168,101
"2022-11-21 00:00:00",122,75
"2022-11-22 00:00:00",143,72
"2022-11-23 00:00:00",122,66
"2022-11-24 00:00:00",105,61
"2022-11-25 00:00:00",120,63
"2022-11-26 00:00:00",160,87
"2022-11-27 00:00:00",156,92
"2022-11-28 00:00:00",112,64
"2022-11-29 00:00:00",118,62
"2022-11-30 00:00:00",103,61
"2022-12-01 00:00:00",323,149
"2022-12-02 00:00:00",307,180
"2022-12-03 00:00:00",307,193
"2022-12-04 00:00:00",312,186
"2022-12-05 00:00:00",217,130
"2022-12-06 00:00:00",219,117
"2022-12-07 00:00:00",187,110
"2022-12-08 00:00:00",175,105
"2022-12-09 00:00:00",184,105
"2022-12-10 00:00:00",226,133
"2022-12-11 00:00:00",256,156
"2022-12-12 00:00:00",167,99
"2022-12-13 00:00:00",183,93
"2022-12-14 00:00:00",153,94
"2022-12-15 00:00:00",144,92
"2022-12-16 00:00:00",168,98
"2022-12-17 00:00:00",202,126
"2022-12-18 00:00:00",215,138
"2022-12-19 00:00:00",179,104
"2022-12-20 00:00:00",204,103
"2022-12-21 00:00:00",197,99
"2022-12-22 00:00:00",169,106
"2022-12-23 00:00:00",175,114
"2022-12-24 00:00:00",153,109
"2022-12-25 00:00:00",170,108
"2022-12-26 00:00:00",203,123
"2022-12-27 00:00:00",191,123
"2022-12-28 00:00:00",202,124
"2022-12-29 00:00:00",246,139
"2022-12-30 00:00:00",248,151
"2022-12-31 00:00:00",178,132
"2023-01-01 00:00:00",263,150
"2023-01-02 00:00:00",261,157
"2023-01-03 00:00:00",212,134
"2023-01-04 00:00:00",182,124
"2023-01-05 00:00:00",193,120
"2023-01-06 00:00:00",246,134
"2023-01-07 00:00:00",300,167
"2023-01-08 00:00:00",298,191
"2023-01-09 00:00:00",206,128
"2023-01-10 00:00:00",202,122
"2023-01-11 00:00:00",211,122
"2023-01-12 00:00:00",219,131
"2023-01-13 00:00:00",262,139
"2023-01-14 00:00:00",299,179
"2023-01-15 00:00:00",272,180
"2023-01-16 00:00:00",242,134
"2023-01-17 00:00:00",196,121
"2023-01-18 00:00:00",220,131
"2023-01-19 00:00:00",179,109
"2023-01-20 00:00:00",229,126
"2023-01-21 00:00:00",272,162
"2023-01-22 00:00:00",288,186
"2023-01-23 00:00:00",219,126
"2023-01-24 00:00:00",208,120
"2023-01-25 00:00:00",220,121
"2023-01-26 00:00:00",186,116
"2023-01-27 00:00:00",236,125
"2023-01-28 00:00:00",258,152
"2023-01-29 00:00:00",285,173
"2023-01-30 00:00:00",217,122
"2023-01-31 00:00:00",198,114
"2023-02-01 00:00:00",201,120
"2023-02-02 00:00:00",194,113
"2023-02-03 00:00:00",233,124
"2023-02-04 00:00:00",265,157
"2023-02-05 00:00:00",309,186
"2023-02-06 00:00:00",229,124
"2023-02-07 00:00:00",209,123
"2023-02-08 00:00:00",213,134
"2023-02-09 00:00:00",216,133
"2023-02-10 00:00:00",235,139
"2023-02-11 00:00:00",261,172
"2023-02-12 00:00:00",282,189
"2023-02-13 00:00:00",210,135
"2023-02-14 00:00:00",189,121
"2023-02-15 00:00:00",246,135
"2023-02-16 00:00:00",219,137
"2023-02-17 00:00:00",268,141
"2023-02-18 00:00:00",314,183
"2023-02-19 00:00:00",339,200
"2023-02-20 00:00:00",267,160
"2023-02-21 00:00:00",254,154
"2023-02-22 00:00:00",254,149
"2023-02-23 00:00:00",270,162
"2023-02-24 00:00:00",267,158
"2023-02-25 00:00:00",322,191
"2023-02-26 00:00:00",306,204
"2023-02-27 00:00:00",274,152
"2023-02-28 00:00:00",230,147
"2023-03-01 00:00:00",240,140
"2023-03-02 00:00:00",238,154
"2023-03-03 00:00:00",254,159
"2023-03-04 00:00:00",340,203
"2023-03-05 00:00:00",386,229
"2023-03-06 00:00:00",263,153
"2023-03-07 00:00:00",241,156
"2023-03-08 00:00:00",284,165
"2023-03-09 00:00:00",248,157
"2023-03-10 00:00:00",279,171
"2023-03-11 00:00:00",339,208
"2023-03-12 00:00:00",345,231
"2023-03-13 00:00:00",287,166
"2023-03-14 00:00:00",282,154
"2023-03-15 00:00:00",249,148
"2023-03-16 00:00:00",232,140
"2023-03-17 00:00:00",268,153
"2023-03-18 00:00:00",294,178
"2023-03-19 00:00:00",346,221
"2023-03-20 00:00:00",288,159
"2023-03-21 00:00:00",221,135
"2023-03-22 00:00:00",230,134
"2023-03-23 00:00:00",275,147
"2023-03-24 00:00:00",292,179
"2023-03-25 00:00:00",352,221
"2023-03-26 00:00:00",367,239
"2023-03-27 00:00:00",297,178
"2023-03-28 00:00:00",292,169
"2023-03-29 00:00:00",271,182
"2023-03-30 00:00:00",256,164
"2023-03-31 00:00:00",354,190
"2023-04-01 00:00:00",410,259
"2023-04-02 00:00:00",437,288
"2023-04-03 00:00:00",353,218
"2023-04-04 00:00:00",346,202
"2023-04-05 00:00:00",314,188
"2023-04-06 00:00:00",365,204
"2023-04-07 00:00:00",379,237
"2023-04-08 00:00:00",381,250
"2023-04-09 00:00:00",412,264
"2023-04-10 00:00:00",333,226
"2023-04-11 00:00:00",304,184
"2023-04-12 00:00:00",307,181
"2023-04-13 00:00:00",281,172
"2023-04-14 00:00:00",337,195
"2023-04-15 00:00:00",372,239
"2023-04-16 00:00:00",419,272
"2023-04-17 00:00:00",297,182
"2023-04-18 00:00:00",277,182
"2023-04-19 00:00:00",298,178
"2023-04-20 00:00:00",309,187
"2023-04-21 00:00:00",309,188
"2023-04-22 00:00:00",325,235
"2023-04-23 00:00:00",413,259
"2023-04-24 00:00:00",293,193
"2023-04-25 00:00:00",282,170
"2023-04-26 00:00:00",279,169
"2023-04-27 00:00:00",287,174
"2023-04-28 00:00:00",290,178
"2023-04-29 00:00:00",379,226
"2023-04-30 00:00:00",550,308
"2023-05-01 00:00:00",467,327
"2023-05-02 00:00:00",401,265
"2023-05-03 00:00:00",405,242
"2023-05-04 00:00:00",389,233
"2023-05-05 00:00:00",412,254
"2023-05-06 00:00:00",504,335
"2023-05-07 00:00:00",551,363
"2023-05-08 00:00:00",435,300
"2023-05-09 00:00:00",477,288
"2023-05-10 00:00:00",480,309
"2023-05-11 00:00:00",467,296
"2023-05-12 00:00:00",446,293
"2023-05-13 00:00:00",581,374
"2023-05-14 00:00:00",606,407
"2023-05-15 00:00:00",434,287
"2023-05-16 00:00:00",459,272
"2023-05-17 00:00:00",463,291
"2023-05-18 00:00:00",492,306
"2023-05-19 00:00:00",476,295
"2023-05-20 00:00:00",528,354
"2023-05-21 00:00:00",634,420
"2023-05-22 00:00:00",502,303
"2023-05-23 00:00:00",458,270
"2023-05-24 00:00:00",398,239
"2023-05-25 00:00:00",396,236
"2023-05-26 00:00:00",455,263
"2023-05-27 00:00:00",503,319
"2023-05-28 00:00:00",583,358
"2023-05-29 00:00:00",532,317
"2023-05-30 00:00:00",438,267
"2023-05-31 00:00:00",422,243
"2023-06-01 00:00:00",355,233
"2023-06-02 00:00:00",431,255
"2023-06-03 00:00:00",517,316
"2023-06-04 00:00:00",541,345
"2023-06-05 00:00:00",462,274
"2023-06-06 00:00:00",464,258
"2023-06-07 00:00:00",422,259
"2023-06-08 00:00:00",405,239
"2023-06-09 00:00:00",482,265
"2023-06-10 00:00:00",458,308
"2023-06-11 00:00:00",536,340
"2023-06-12 00:00:00",448,268
"2023-06-13 00:00:00",506,326
"2023-06-14 00:00:00",482,301
"2023-06-15 00:00:00",457,280
"2023-06-16 00:00:00",449,271
"2023-06-17 00:00:00",542,332
"2023-06-18 00:00:00",507,334
"2023-06-19 00:00:00",404,243
"2023-06-20 00:00:00",414,231
"2023-06-21 00:00:00",366,212
"2023-06-22 00:00:00",303,204
"2023-06-23 00:00:00",343,205
"2023-06-24 00:00:00",388,248
"2023-06-25 00:00:00",471,283
"2023-06-26 00:00:00",375,220
"2023-06-27 00:00:00",326,200
"2023-06-28 00:00:00",341,204
"2023-06-29 00:00:00",318,199
"2023-06-30 00:00:00",305,198
"2023-07-01 00:00:00",406,242
"2023-07-02 00:00:00",407,261
"2023-07-03 00:00:00",341,214
"2023-07-04 00:00:00",368,221
"2023-07-05 00:00:00",315,191
"2023-07-06 00:00:00",304,193
"2023-07-07 00:00:00",329,194
"2023-07-08 00:00:00",376,246
"2023-07-09 00:00:00",402,257
"2023-07-10 00:00:00",308,184
"2023-07-11 00:00:00",282,179
"2023-07-12 00:00:00",269,176
"2023-07-13 00:00:00",276,171
"2023-07-14 00:00:00",347,207
"2023-07-15 00:00:00",403,250
"2023-07-16 00:00:00",424,269
"2023-07-17 00:00:00",333,203
"2023-07-18 00:00:00",302,179
"2023-07-19 00:00:00",358,193
"2023-07-20 00:00:00",451,239
"2023-07-21 00:00:00",536,302
"2023-07-22 00:00:00",601,391
"2023-07-23 00:00:00",675,473
"2023-07-24 00:00:00",586,382
"2023-07-25 00:00:00",561,344
"2023-07-26 00:00:00",523,338
"2023-07-27 00:00:00",496,310
"2023-07-28 00:00:00",510,314
"2023-07-29 00:00:00",521,356
"2023-07-30 00:00:00",602,404
"2023-07-31 00:00:00",531,324
"2023-08-01 00:00:00",499,310
"2023-08-02 00:00:00",537,322
"2023-08-03 00:00:00",471,306
"2023-08-04 00:00:00",509,320
"2023-08-05 00:00:00",583,359
"2023-08-06 00:00:00",604,399
"2023-08-07 00:00:00",487,310
"2023-08-08 00:00:00",485,288
"2023-08-09 00:00:00",435,284
"2023-08-10 00:00:00",394,253
"2023-08-11 00:00:00",423,268
"2023-08-12 00:00:00",495,340
"2023-08-13 00:00:00",511,354
"2023-08-14 00:00:00",416,263
"2023-08-15 00:00:00",442,276
"2023-08-16 00:00:00",405,259
"2023-08-17 00:00:00",424,260
"2023-08-18 00:00:00",443,266
"2023-08-19 00:00:00",499,329
"2023-08-20 00:00:00",514,346
"2023-08-21 00:00:00",447,265
"2023-08-22 00:00:00",413,247
"2023-08-23 00:00:00",399,259
"2023-08-24 00:00:00",381,247
"2023-08-25 00:00:00",475,288
"2023-08-26 00:00:00",512,327
"2023-08-27 00:00:00",528,347
"2023-08-28 00:00:00",400,263
"2023-08-29 00:00:00",391,255
"2023-08-30 00:00:00",378,244
"2023-08-31 00:00:00",353,240
"2023-09-01 00:00:00",372,224
"2023-09-02 00:00:00",425,261
