"DateTime","Players","Average Players"
"2024-12-21 00:00:00",23557,24083
"2024-12-21 01:00:00",23549,24177
"2024-12-21 02:00:00",24644,24271
"2024-12-21 03:00:00",25159,24361
"2024-12-21 04:00:00",25046,24446
"2024-12-21 05:00:00",24724,24535
"2024-12-21 06:00:00",23235,24614
"2024-12-21 07:00:00",21366,24693
"2024-12-21 08:00:00",19640,24746
"2024-12-21 09:00:00",18699,24804
"2024-12-21 10:00:00",18966,24865
"2024-12-21 11:00:00",20087,24939
"2024-12-21 12:00:00",21471,25016
"2024-12-21 13:00:00",23548,25105
"2024-12-21 14:00:00",25417,25177
"2024-12-21 15:00:00",26210,25242
"2024-12-21 16:00:00",26274,25285
"2024-12-21 17:00:00",26091,25325
"2024-12-21 18:00:00",25713,25359
"2024-12-21 19:00:00",26466,25429
"2024-12-21 20:00:00",26808,25514
"2024-12-21 21:00:00",27340,25614
"2024-12-21 22:00:00",27250,25694
"2024-12-21 23:00:00",26730,25772
"2024-12-22 00:00:00",25825,25865
"2024-12-22 01:00:00",25829,25978
"2024-12-22 02:00:00",26791,26108
"2024-12-22 03:00:00",27193,26220
"2024-12-22 04:00:00",27189,26323
"2024-12-22 05:00:00",26677,26413
"2024-12-22 06:00:00",25226,26488
"2024-12-22 07:00:00",22821,26509
"2024-12-22 08:00:00",21224,26520
"2024-12-22 09:00:00",20377,26514
"2024-12-22 10:00:00",20910,26494
"2024-12-22 11:00:00",22087,26479
"2024-12-22 12:00:00",23707,26481
"2024-12-22 13:00:00",25306,26491
"2024-12-22 14:00:00",26994,26532
"2024-12-22 15:00:00",27239,26589
"2024-12-22 16:00:00",27218,26670
"2024-12-22 17:00:00",26925,26753
"2024-12-22 18:00:00",27416,26856
"2024-12-22 19:00:00",28513,26968
"2024-12-22 20:00:00",29243,27094
"2024-12-22 21:00:00",29253,27225
"2024-12-22 22:00:00",29167,27387
"2024-12-22 23:00:00",29003,27554
"2024-12-23 00:00:00",28618,27710
"2024-12-23 01:00:00",29044,27848
"2024-12-23 02:00:00",29582,27947
"2024-12-23 03:00:00",29725,28053
"2024-12-23 04:00:00",29439,28157
"2024-12-23 05:00:00",28531,28246
"2024-12-23 06:00:00",25742,28330
"2024-12-23 07:00:00",23079,28405
"2024-12-23 08:00:00",21062,28470
"2024-12-23 09:00:00",19838,28526
"2024-12-23 10:00:00",20500,28563
"2024-12-23 11:00:00",22056,28599
"2024-12-23 12:00:00",23923,28637
"2024-12-23 13:00:00",26303,28703
"2024-12-23 14:00:00",28415,28765
"2024-12-23 15:00:00",29308,28830
"2024-12-23 16:00:00",29312,28884
"2024-12-23 17:00:00",29496,28933
"2024-12-23 18:00:00",30200,28971
