"DateTime","Players","Average Players"
"2024-04-23 00:00:00",16,8
"2024-04-24 00:00:00",36,12
"2024-04-25 00:00:00",71,36
"2024-04-26 00:00:00",60,36
"2024-04-27 00:00:00",177,102
"2024-04-28 00:00:00",195,126
"2024-04-29 00:00:00",215,147
"2024-04-30 00:00:00",297,196
"2024-05-01 00:00:00",346,248
"2024-05-02 00:00:00",581,464
"2024-05-03 00:00:00",720,549
"2024-05-04 00:00:00",750,597
"2024-05-05 00:00:00",762,621
"2024-05-06 00:00:00",779,619
"2024-05-07 00:00:00",1001,750
"2024-05-08 00:00:00",997,767
"2024-05-09 00:00:00",996,839
"2024-05-10 00:00:00",1032,852
"2024-05-11 00:00:00",1061,897
"2024-05-12 00:00:00",1144,930
"2024-05-13 00:00:00",1131,946
"2024-05-14 00:00:00",1222,980
"2024-05-15 00:00:00",1231,986
"2024-05-16 00:00:00",1276,1002
"2024-05-17 00:00:00",1233,998
"2024-05-18 00:00:00",1967,1478
"2024-05-19 00:00:00",3729,2755
"2024-05-20 00:00:00",18582,6333
"2024-05-21 00:00:00",18240,4857
"2024-05-22 00:00:00",16157,5453
"2024-05-23 00:00:00",7759,5508
"2024-05-24 00:00:00",8827,7013
"2024-05-25 00:00:00",12464,9090
"2024-05-26 00:00:00",20530,13130
"2024-05-27 00:00:00",31124,17700
"2024-05-28 00:00:00",30485,18722
"2024-05-29 00:00:00",30327,19964
"2024-05-30 00:00:00",36947,22552
"2024-05-31 00:00:00",38591,21742
"2024-06-01 00:00:00",36996,22473
"2024-06-02 00:00:00",40802,25095
"2024-06-03 00:00:00",46413,32117
"2024-06-04 00:00:00",52003,40191
"2024-06-05 00:00:00",70304,53494
"2024-06-06 00:00:00",88265,74513
"2024-06-07 00:00:00",155416,118553
"2024-06-08 00:00:00",166259,122275
"2024-06-09 00:00:00",193945,159770
"2024-06-10 00:00:00",232248,206665
"2024-06-11 00:00:00",252171,214254
"2024-06-12 00:00:00",276014,239031
"2024-06-13 00:00:00",377153,313998
"2024-06-14 00:00:00",519786,404694
"2024-06-15 00:00:00",702184,584127
"2024-06-16 00:00:00",798228,676464
"2024-06-17 00:00:00",858915,787428
"2024-06-18 00:00:00",884469,795175
"2024-06-19 00:00:00",875542,776566
"2024-06-20 00:00:00",917272,834672
"2024-06-21 00:00:00",880838,802455
"2024-06-22 00:00:00",866731,774801
"2024-06-23 00:00:00",790853,725599
"2024-06-24 00:00:00",758618,684877
"2024-06-25 00:00:00",707831,557208
"2024-06-26 00:00:00",538319,464001
"2024-06-27 00:00:00",578141,478710
"2024-06-28 00:00:00",378564,344693
"2024-06-29 00:00:00",367455,337397
"2024-06-30 00:00:00",349588,320253
"2024-07-01 00:00:00",333630,299843
"2024-07-02 00:00:00",307986,287774
"2024-07-03 00:00:00",313806,285995
"2024-07-04 00:00:00",322471,294635
"2024-07-05 00:00:00",341415,305712
"2024-07-06 00:00:00",344502,314821
"2024-07-07 00:00:00",347557,311293
"2024-07-08 00:00:00",361473,321080
"2024-07-09 00:00:00",391663,333044
"2024-07-10 00:00:00",347205,309346
"2024-07-11 00:00:00",347927,316863
"2024-07-12 00:00:00",354107,313497
"2024-07-13 00:00:00",410311,362561
"2024-07-14 00:00:00",428912,397530
"2024-07-15 00:00:00",458501,430852
"2024-07-16 00:00:00",459231,429563
"2024-07-17 00:00:00",392771,351889
"2024-07-18 00:00:00",433557,400675
"2024-07-19 00:00:00",472819,451726
"2024-07-20 00:00:00",460277,444748
"2024-07-21 00:00:00",467840,449476
"2024-07-22 00:00:00",549091,462424
"2024-07-23 00:00:00",467819,408912
"2024-07-24 00:00:00",389723,363881
"2024-07-25 00:00:00",400995,374750
"2024-07-26 00:00:00",402902,377043
"2024-07-27 00:00:00",428072,409301
"2024-07-28 00:00:00",433666,419576
"2024-07-29 00:00:00",454197,418740
"2024-07-30 00:00:00",478120,431573
"2024-07-31 00:00:00",391080,366802
"2024-08-01 00:00:00",691342,492502
"2024-08-02 00:00:00",545915,445154
"2024-08-03 00:00:00",490769,397463
"2024-08-04 00:00:00",664109,419874
"2024-08-05 00:00:00",683653,395519
"2024-08-06 00:00:00",410819,356069
"2024-08-07 00:00:00",425963,313513
"2024-08-08 00:00:00",377880,340444
"2024-08-09 00:00:00",373223,353109
"2024-08-10 00:00:00",392695,360278
"2024-08-11 00:00:00",398830,366746
"2024-08-12 00:00:00",437514,387343
"2024-08-13 00:00:00",502869,410416
"2024-08-14 00:00:00",450112,355163
"2024-08-15 00:00:00",474986,372156
"2024-08-16 00:00:00",516852,401678
"2024-08-17 00:00:00",513030,425827
"2024-08-18 00:00:00",619491,473507
"2024-08-19 00:00:00",588598,437583
"2024-08-20 00:00:00",446287,402610
"2024-08-21 00:00:00",431736,385683
"2024-08-22 00:00:00",472353,438132
"2024-08-23 00:00:00",480980,462890
"2024-08-24 00:00:00",478616,328819
"2024-08-25 00:00:00",446084,413921
"2024-08-26 00:00:00",451837,422738
"2024-08-27 00:00:00",454636,427803
"2024-08-28 00:00:00",423048,382747
"2024-08-29 00:00:00",426716,410123
"2024-08-30 00:00:00",533823,421554
"2024-08-31 00:00:00",747052,556338
