"DateTime","Players","Average Players"
"2017-05-03 00:00:00",1,
"2017-05-04 00:00:00",3,
"2017-05-05 00:00:00",2,
"2017-05-06 00:00:00",1,
"2017-05-07 00:00:00",,
"2017-05-08 00:00:00",1,
"2017-05-09 00:00:00",1,
"2017-05-10 00:00:00",,
"2017-05-11 00:00:00",1,
"2017-05-12 00:00:00",2,
"2017-05-13 00:00:00",1,
"2017-05-14 00:00:00",,
"2017-05-15 00:00:00",2,
"2017-05-16 00:00:00",3,
"2017-05-17 00:00:00",3,
"2017-05-18 00:00:00",4,
"2017-05-19 00:00:00",8,
"2017-05-20 00:00:00",2,
"2017-05-21 00:00:00",2,
"2017-05-22 00:00:00",5,
"2017-05-23 00:00:00",5,
"2017-05-24 00:00:00",1594,
"2017-05-25 00:00:00",4589,
"2017-05-26 00:00:00",7595,
"2017-05-27 00:00:00",11440,
"2017-05-28 00:00:00",15374,
"2017-05-29 00:00:00",18893,
"2017-05-30 00:00:00",18031,
"2017-05-31 00:00:00",18887,
"2017-06-01 00:00:00",18507,
"2017-06-02 00:00:00",18468,
"2017-06-03 00:00:00",19850,
"2017-06-04 00:00:00",21317,
"2017-06-05 00:00:00",20841,
"2017-06-06 00:00:00",18352,
"2017-06-07 00:00:00",17401,
"2017-06-08 00:00:00",17674,
"2017-06-09 00:00:00",17112,
"2017-06-10 00:00:00",18128,
"2017-06-11 00:00:00",19049,
"2017-06-12 00:00:00",17832,
"2017-06-13 00:00:00",17720,
"2017-06-14 00:00:00",16843,
"2017-06-15 00:00:00",17648,
"2017-06-16 00:00:00",17539,
"2017-06-17 00:00:00",18560,
"2017-06-18 00:00:00",19514,
"2017-06-19 00:00:00",18797,
"2017-06-20 00:00:00",18280,
"2017-06-21 00:00:00",17791,
"2017-06-22 00:00:00",18426,
"2017-06-23 00:00:00",21024,
"2017-06-24 00:00:00",23803,
"2017-06-25 00:00:00",26474,
"2017-06-26 00:00:00",25797,
"2017-06-27 00:00:00",25745,
"2017-06-28 00:00:00",25099,
"2017-06-29 00:00:00",25280,
"2017-06-30 00:00:00",25089,
"2017-07-01 00:00:00",26425,
"2017-07-02 00:00:00",27926,
"2017-07-03 00:00:00",27240,
"2017-07-04 00:00:00",28152,
"2017-07-05 00:00:00",26854,
"2017-07-06 00:00:00",25868,
"2017-07-07 00:00:00",25157,
"2017-07-08 00:00:00",25782,
"2017-07-09 00:00:00",27029,
"2017-07-10 00:00:00",25927,
"2017-07-11 00:00:00",24271,
"2017-07-12 00:00:00",23451,
"2017-07-13 00:00:00",23470,
"2017-07-14 00:00:00",23001,
"2017-07-15 00:00:00",23797,
"2017-07-16 00:00:00",24750,
"2017-07-17 00:00:00",23998,
