"DateTime","Players","Average Players"
"2021-10-29 00:00:00",18706,
"2021-10-30 00:00:00",29937,
"2021-10-31 00:00:00",33427,
"2021-11-01 00:00:00",36622,
"2021-11-02 00:00:00",38289,
"2021-11-03 00:00:00",41406,
"2021-11-04 00:00:00",44031,
"2021-11-05 00:00:00",49047,
"2021-11-06 00:00:00",54155,
"2021-11-07 00:00:00",56106,
"2021-11-08 00:00:00",51718,
"2021-11-09 00:00:00",48606,
"2021-11-10 00:00:00",48387,
"2021-11-11 00:00:00",51882,
"2021-11-12 00:00:00",52996,
"2021-11-13 00:00:00",55522,
"2021-11-14 00:00:00",52070,
"2021-11-15 00:00:00",38321,
"2021-11-16 00:00:00",46497,
"2021-11-17 00:00:00",38873,
"2021-11-18 00:00:00",35579,
"2021-11-19 00:00:00",41249,
"2021-11-20 00:00:00",41705,
"2021-11-21 00:00:00",39174,
"2021-11-22 00:00:00",31214,
"2021-11-23 00:00:00",29119,
"2021-11-24 00:00:00",28631,
"2021-11-25 00:00:00",26522,
"2021-11-26 00:00:00",33293,
"2021-11-27 00:00:00",33485,
"2021-11-28 00:00:00",31119,
"2021-11-29 00:00:00",23411,
"2021-11-30 00:00:00",32519,
"2021-12-01 00:00:00",30612,
"2021-12-02 00:00:00",28455,
"2021-12-03 00:00:00",34685,
"2021-12-04 00:00:00",48825,
"2021-12-05 00:00:00",30489,
"2021-12-06 00:00:00",21985,
"2021-12-07 00:00:00",23032,
"2021-12-08 00:00:00",19522,
"2021-12-09 00:00:00",17221,
"2021-12-10 00:00:00",23484,
"2021-12-11 00:00:00",23771,
"2021-12-12 00:00:00",20381,
"2021-12-13 00:00:00",17218,
"2021-12-14 00:00:00",15000,
"2021-12-15 00:00:00",14059,
"2021-12-16 00:00:00",13189,
"2021-12-17 00:00:00",14622,
"2021-12-18 00:00:00",15233,
"2021-12-19 00:00:00",14450,
"2021-12-20 00:00:00",12943,
"2021-12-21 00:00:00",12597,
"2021-12-22 00:00:00",13662,
"2021-12-23 00:00:00",11560,
"2021-12-24 00:00:00",9165,
"2021-12-25 00:00:00",10283,
"2021-12-26 00:00:00",10350,
"2021-12-27 00:00:00",10610,
"2021-12-28 00:00:00",10734,
"2021-12-29 00:00:00",13931,
"2021-12-30 00:00:00",11514,
"2021-12-31 00:00:00",9140,
"2022-01-01 00:00:00",10148,
"2022-01-02 00:00:00",9745,
"2022-01-03 00:00:00",9162,
"2022-01-04 00:00:00",8909,
"2022-01-05 00:00:00",8616,
"2022-01-06 00:00:00",8813,
"2022-01-07 00:00:00",9943,
"2022-01-08 00:00:00",10624,
"2022-01-09 00:00:00",9657,
"2022-01-10 00:00:00",7405,
"2022-01-11 00:00:00",7702,
"2022-01-12 00:00:00",6874,
"2022-01-13 00:00:00",7451,
"2022-01-14 00:00:00",9287,
"2022-01-15 00:00:00",10358,
"2022-01-16 00:00:00",10090,
"2022-01-17 00:00:00",9454,
"2022-01-18 00:00:00",7323,
"2022-01-19 00:00:00",7519,
"2022-01-20 00:00:00",7439,
"2022-01-21 00:00:00",10644,
"2022-01-22 00:00:00",10079,
"2022-01-23 00:00:00",8850,
"2022-01-24 00:00:00",6626,
"2022-01-25 00:00:00",6707,
"2022-01-26 00:00:00",6899,
"2022-01-27 00:00:00",6541,
"2022-01-28 00:00:00",7589,
"2022-01-29 00:00:00",7913,
"2022-01-30 00:00:00",7406,
"2022-01-31 00:00:00",5682,
"2022-02-01 00:00:00",5122,
"2022-02-02 00:00:00",5094,
"2022-02-03 00:00:00",5445,
"2022-02-04 00:00:00",6105,
"2022-02-05 00:00:00",6531,
"2022-02-06 00:00:00",6144,
"2022-02-07 00:00:00",4412,
"2022-02-08 00:00:00",4509,
"2022-02-09 00:00:00",4018,
"2022-02-10 00:00:00",4269,
"2022-02-11 00:00:00",5832,
"2022-02-12 00:00:00",5444,
"2022-02-13 00:00:00",5266,
"2022-02-14 00:00:00",4412,
"2022-02-15 00:00:00",4200,
"2022-02-16 00:00:00",4138,
"2022-02-17 00:00:00",4092,
"2022-02-18 00:00:00",5146,
"2022-02-19 00:00:00",6943,
"2022-02-20 00:00:00",4828,
"2022-02-21 00:00:00",3737,
"2022-02-22 00:00:00",3887,
"2022-02-23 00:00:00",3396,
"2022-02-24 00:00:00",3637,
"2022-02-25 00:00:00",4044,
"2022-02-26 00:00:00",4397,
"2022-02-27 00:00:00",4531,
"2022-02-28 00:00:00",3792,
"2022-03-01 00:00:00",4176,
"2022-03-02 00:00:00",3036,
"2022-03-03 00:00:00",3115,
"2022-03-04 00:00:00",3468,
"2022-03-05 00:00:00",4308,
"2022-03-06 00:00:00",4244,
"2022-03-07 00:00:00",3175,
"2022-03-08 00:00:00",2797,
"2022-03-09 00:00:00",2944,
"2022-03-10 00:00:00",3040,
"2022-03-11 00:00:00",3664,
"2022-03-12 00:00:00",4795,
"2022-03-13 00:00:00",3544,
"2022-03-14 00:00:00",3188,
"2022-03-15 00:00:00",2691,
"2022-03-16 00:00:00",2848,
"2022-03-17 00:00:00",2755,
"2022-03-18 00:00:00",3094,
"2022-03-19 00:00:00",3830,
"2022-03-20 00:00:00",3684,
"2022-03-21 00:00:00",2796,
"2022-03-22 00:00:00",2466,
"2022-03-23 00:00:00",2588,
"2022-03-24 00:00:00",2757,
"2022-03-25 00:00:00",3150,
"2022-03-26 00:00:00",3328,
"2022-03-27 00:00:00",2909,
"2022-03-28 00:00:00",2544,
"2022-03-29 00:00:00",2735,
"2022-03-30 00:00:00",2535,
"2022-03-31 00:00:00",2557,
"2022-04-01 00:00:00",3231,
"2022-04-02 00:00:00",3552,
"2022-04-03 00:00:00",3386,
"2022-04-04 00:00:00",2265,
"2022-04-05 00:00:00",2168,
"2022-04-06 00:00:00",2180,
"2022-04-07 00:00:00",2156,
"2022-04-08 00:00:00",2820,
"2022-04-09 00:00:00",3198,
"2022-04-10 00:00:00",2998,
"2022-04-11 00:00:00",2605,
"2022-04-12 00:00:00",2191,
"2022-04-13 00:00:00",2376,
"2022-04-14 00:00:00",2832,
"2022-04-15 00:00:00",3143,
"2022-04-16 00:00:00",2826,
"2022-04-17 00:00:00",3100,
"2022-04-18 00:00:00",2918,
"2022-04-19 00:00:00",2216,
"2022-04-20 00:00:00",2365,
"2022-04-21 00:00:00",2362,
"2022-04-22 00:00:00",2554,
"2022-04-23 00:00:00",2748,
"2022-04-24 00:00:00",3028,
"2022-04-25 00:00:00",2590,
"2022-04-26 00:00:00",2385,
"2022-04-27 00:00:00",2330,
"2022-04-28 00:00:00",2457,
"2022-04-29 00:00:00",2926,
"2022-04-30 00:00:00",2980,
"2022-05-01 00:00:00",3227,
"2022-05-02 00:00:00",2309,
"2022-05-03 00:00:00",2164,
"2022-05-04 00:00:00",2131,
"2022-05-05 00:00:00",1800,
"2022-05-06 00:00:00",2285,
"2022-05-07 00:00:00",2820,
"2022-05-08 00:00:00",2272,
"2022-05-09 00:00:00",2147,
"2022-05-10 00:00:00",1962,
"2022-05-11 00:00:00",2152,
"2022-05-12 00:00:00",2012,
"2022-05-13 00:00:00",2481,
"2022-05-14 00:00:00",2658,
"2022-05-15 00:00:00",2707,
"2022-05-16 00:00:00",1962,
"2022-05-17 00:00:00",2250,
"2022-05-18 00:00:00",1992,
"2022-05-19 00:00:00",1859,
"2022-05-20 00:00:00",2246,
"2022-05-21 00:00:00",2535,
"2022-05-22 00:00:00",2360,
"2022-05-23 00:00:00",2008,
"2022-05-24 00:00:00",2131,
"2022-05-25 00:00:00",2289,
"2022-05-26 00:00:00",2261,
"2022-05-27 00:00:00",2299,
"2022-05-28 00:00:00",2636,
"2022-05-29 00:00:00",2651,
"2022-05-30 00:00:00",2168,
"2022-05-31 00:00:00",1838,
"2022-06-01 00:00:00",1822,
"2022-06-02 00:00:00",1698,
"2022-06-03 00:00:00",2168,
"2022-06-04 00:00:00",2961,
"2022-06-05 00:00:00",2157,
"2022-06-06 00:00:00",1911,
"2022-06-07 00:00:00",1914,
"2022-06-08 00:00:00",2095,
"2022-06-09 00:00:00",1982,
"2022-06-10 00:00:00",2181,
"2022-06-11 00:00:00",2191,
"2022-06-12 00:00:00",2193,
"2022-06-13 00:00:00",2043,
"2022-06-14 00:00:00",2070,
"2022-06-15 00:00:00",2101,
"2022-06-16 00:00:00",2010,
"2022-06-17 00:00:00",2089,
"2022-06-18 00:00:00",2303,
"2022-06-19 00:00:00",2468,
"2022-06-20 00:00:00",2465,
"2022-06-21 00:00:00",2319,
"2022-06-22 00:00:00",2068,
"2022-06-23 00:00:00",1564,
"2022-06-24 00:00:00",1685,
"2022-06-25 00:00:00",1753,
"2022-06-26 00:00:00",1815,
"2022-06-27 00:00:00",1963,
"2022-06-28 00:00:00",1902,
"2022-06-29 00:00:00",1777,
"2022-06-30 00:00:00",1787,
