"DateTime","Players","Average Players"
"2024-06-07 00:00:00",21291,8512
"2024-06-08 00:00:00",27140,20695
"2024-06-09 00:00:00",28991,18034
"2024-06-10 00:00:00",31513,19965
"2024-06-11 00:00:00",32517,24216
"2024-06-12 00:00:00",33019,25604
"2024-06-13 00:00:00",33107,25895
"2024-06-14 00:00:00",40169,23379
"2024-06-15 00:00:00",46020,38025
"2024-06-16 00:00:00",53492,34227
"2024-06-17 00:00:00",48077,38564
"2024-06-18 00:00:00",49900,40184
"2024-06-19 00:00:00",50259,40583
"2024-06-20 00:00:00",48211,34270
"2024-06-21 00:00:00",48009,35874
"2024-06-22 00:00:00",53896,44772
"2024-06-23 00:00:00",57164,47480
"2024-06-24 00:00:00",47429,35924
"2024-06-25 00:00:00",48737,38650
"2024-06-26 00:00:00",46593,37352
"2024-06-27 00:00:00",44592,34143
"2024-06-28 00:00:00",44851,35353
"2024-06-29 00:00:00",47788,38578
"2024-06-30 00:00:00",46619,38837
"2024-07-01 00:00:00",39940,32466
"2024-07-02 00:00:00",38171,30764
"2024-07-03 00:00:00",36177,28990
"2024-07-04 00:00:00",34054,27980
"2024-07-05 00:00:00",35291,24091
"2024-07-06 00:00:00",38725,30964
"2024-07-07 00:00:00",38535,32415
"2024-07-08 00:00:00",33020,27217
"2024-07-09 00:00:00",32030,26264
"2024-07-10 00:00:00",30257,24867
"2024-07-11 00:00:00",29805,24453
"2024-07-12 00:00:00",33012,23859
"2024-07-13 00:00:00",35514,29714
"2024-07-14 00:00:00",37279,31141
"2024-07-15 00:00:00",31275,26704
"2024-07-16 00:00:00",30880,25664
"2024-07-17 00:00:00",30539,24880
"2024-07-18 00:00:00",31292,23439
"2024-07-19 00:00:00",29419,24200
"2024-07-20 00:00:00",31389,26450
"2024-07-21 00:00:00",32112,27416
"2024-07-22 00:00:00",28154,23515
"2024-07-23 00:00:00",28510,23390
"2024-07-24 00:00:00",27937,23091
"2024-07-25 00:00:00",25257,20508
"2024-07-26 00:00:00",28185,22232
"2024-07-27 00:00:00",28872,23943
"2024-07-28 00:00:00",29186,24770
"2024-07-29 00:00:00",26298,21453
"2024-07-30 00:00:00",26046,21110
"2024-07-31 00:00:00",24761,20550
"2024-08-01 00:00:00",24153,19690
"2024-08-02 00:00:00",24961,18803
"2024-08-03 00:00:00",29065,24116
"2024-08-04 00:00:00",30221,21532
"2024-08-05 00:00:00",25949,21520
"2024-08-06 00:00:00",25241,20495
"2024-08-07 00:00:00",24773,20417
"2024-08-08 00:00:00",24427,19794
"2024-08-09 00:00:00",24522,19748
"2024-08-10 00:00:00",24611,20796
"2024-08-11 00:00:00",25643,21463
"2024-08-12 00:00:00",22586,18463
"2024-08-13 00:00:00",21816,17590
"2024-08-14 00:00:00",21361,14105
"2024-08-15 00:00:00",22766,18167
"2024-08-16 00:00:00",22494,16625
"2024-08-17 00:00:00",23669,19187
"2024-08-18 00:00:00",23752,19659
"2024-08-19 00:00:00",21015,16675
"2024-08-20 00:00:00",19194,15324
"2024-08-21 00:00:00",18137,14472
"2024-08-22 00:00:00",16918,11784
"2024-08-23 00:00:00",18618,14275
"2024-08-24 00:00:00",19598,15129
"2024-08-25 00:00:00",19653,16070
"2024-08-26 00:00:00",17319,13640
"2024-08-27 00:00:00",17234,13107
"2024-08-28 00:00:00",16770,12762
"2024-08-29 00:00:00",20062,12578
"2024-08-30 00:00:00",16119,12413
"2024-08-31 00:00:00",15699,12149
"2024-09-01 00:00:00",15141,11733
"2024-09-02 00:00:00",13387,10076
"2024-09-03 00:00:00",12484,8804
"2024-09-04 00:00:00",11665,8341
"2024-09-05 00:00:00",12090,7769
"2024-09-06 00:00:00",28899,18987
"2024-09-07 00:00:00",28895,23367
"2024-09-08 00:00:00",28144,22555
"2024-09-09 00:00:00",24789,17925
"2024-09-10 00:00:00",23948,17082
"2024-09-11 00:00:00",23458,16620
"2024-09-12 00:00:00",23056,16271
"2024-09-13 00:00:00",31539,19667
"2024-09-14 00:00:00",30379,22345
"2024-09-15 00:00:00",29663,23272
"2024-09-16 00:00:00",25212,19918
"2024-09-17 00:00:00",25368,17126
"2024-09-18 00:00:00",24762,17434
"2024-09-19 00:00:00",24354,16973
"2024-09-20 00:00:00",26958,19237
"2024-09-21 00:00:00",27943,21249
"2024-09-22 00:00:00",28228,21346
"2024-09-23 00:00:00",24481,17059
"2024-09-24 00:00:00",23738,14443
"2024-09-25 00:00:00",24055,16938
"2024-09-26 00:00:00",21566,14162
"2024-09-27 00:00:00",23907,17057
"2024-09-28 00:00:00",24109,18595
"2024-09-29 00:00:00",24091,18120
"2024-09-30 00:00:00",20380,15423
"2024-10-01 00:00:00",19466,15153
"2024-10-02 00:00:00",18985,14545
"2024-10-03 00:00:00",18303,14047
"2024-10-04 00:00:00",16193,9832
"2024-10-05 00:00:00",23583,18500
"2024-10-06 00:00:00",23010,17816
"2024-10-07 00:00:00",19899,14727
"2024-10-08 00:00:00",19984,13686
"2024-10-09 00:00:00",19264,13494
"2024-10-10 00:00:00",19117,13094
"2024-10-11 00:00:00",18621,11827
"2024-10-12 00:00:00",22361,16206
"2024-10-13 00:00:00",21826,16418
"2024-10-14 00:00:00",19241,13514
"2024-10-15 00:00:00",18710,12617
"2024-10-16 00:00:00",18116,12259
"2024-10-17 00:00:00",15787,11113
"2024-10-18 00:00:00",21798,15440
"2024-10-19 00:00:00",22582,17028
"2024-10-20 00:00:00",22202,16868
"2024-10-21 00:00:00",20102,13571
"2024-10-22 00:00:00",20103,13393
"2024-10-23 00:00:00",19823,13314
"2024-10-24 00:00:00",19541,13084
"2024-10-25 00:00:00",21976,13220
"2024-10-26 00:00:00",19727,14884
"2024-10-27 00:00:00",18221,13877
"2024-10-28 00:00:00",17734,10884
"2024-10-29 00:00:00",16310,10791
"2024-10-30 00:00:00",17697,10716
"2024-10-31 00:00:00",16765,11233
"2024-11-01 00:00:00",17022,11572
"2024-11-02 00:00:00",17055,12977
"2024-11-03 00:00:00",18017,13254
"2024-11-04 00:00:00",16155,11130
"2024-11-05 00:00:00",15888,10749
"2024-11-06 00:00:00",15715,10586
"2024-11-07 00:00:00",15392,10473
"2024-11-08 00:00:00",16194,11203
"2024-11-09 00:00:00",17222,12834
"2024-11-10 00:00:00",17107,12792
"2024-11-11 00:00:00",15643,10757
"2024-11-12 00:00:00",15390,10346
"2024-11-13 00:00:00",15175,10262
"2024-11-14 00:00:00",15521,8811
"2024-11-15 00:00:00",15779,10993
"2024-11-16 00:00:00",16329,12225
"2024-11-17 00:00:00",16826,12448
"2024-11-18 00:00:00",14769,10114
"2024-11-19 00:00:00",14776,9964
"2024-11-20 00:00:00",14546,9789
"2024-11-21 00:00:00",11624,8481
"2024-11-22 00:00:00",15815,10717
"2024-11-23 00:00:00",16064,11440
"2024-11-24 00:00:00",15974,11948
"2024-11-25 00:00:00",13558,9243
"2024-11-26 00:00:00",13502,9171
"2024-11-27 00:00:00",13536,9208
"2024-11-28 00:00:00",13279,9012
"2024-11-29 00:00:00",11925,7406
"2024-11-30 00:00:00",16008,12430
"2024-12-01 00:00:00",15136,11425
"2024-12-02 00:00:00",13351,9202
"2024-12-03 00:00:00",12026,8165
"2024-12-04 00:00:00",11784,7925
"2024-12-05 00:00:00",11652,6404
"2024-12-06 00:00:00",13700,7737
"2024-12-07 00:00:00",13215,9589
"2024-12-08 00:00:00",12916,9175
"2024-12-09 00:00:00",11480,7549
"2024-12-10 00:00:00",11167,7290
"2024-12-11 00:00:00",10045,6483
"2024-12-12 00:00:00",9653,6081
"2024-12-13 00:00:00",9757,6265
"2024-12-14 00:00:00",10491,7164
"2024-12-15 00:00:00",10186,7021
"2024-12-16 00:00:00",9347,5864
"2024-12-17 00:00:00",9950,6240
"2024-12-18 00:00:00",5398,3056
"2024-12-19 00:00:00",26903,12127
"2024-12-20 00:00:00",19033,14834
"2024-12-21 00:00:00",6527,15754
"2024-12-21 01:00:00",13024,15973
"2024-12-21 02:00:00",14982,15950
"2024-12-21 03:00:00",15741,15887
"2024-12-21 04:00:00",16480,15827
"2024-12-21 05:00:00",17003,15774
"2024-12-21 06:00:00",17178,15741
"2024-12-21 07:00:00",17124,15709
"2024-12-21 08:00:00",16640,15677
"2024-12-21 09:00:00",15864,15651
"2024-12-21 10:00:00",15380,15634
"2024-12-21 11:00:00",16451,15610
"2024-12-21 12:00:00",18050,15602
"2024-12-21 13:00:00",19136,15588
"2024-12-21 14:00:00",19449,15566
"2024-12-21 15:00:00",19291,15532
"2024-12-21 16:00:00",18121,15469
"2024-12-21 17:00:00",16843,15376
"2024-12-21 18:00:00",15759,15274
"2024-12-21 19:00:00",15024,15186
"2024-12-21 20:00:00",14363,15122
"2024-12-21 21:00:00",13717,15073
"2024-12-21 22:00:00",13386,15043
"2024-12-21 23:00:00",12558,15009
"2024-12-22 00:00:00",11998,15001
"2024-12-22 01:00:00",12566,14986
"2024-12-22 02:00:00",13506,14948
"2024-12-22 03:00:00",14298,14892
"2024-12-22 04:00:00",15179,14821
"2024-12-22 05:00:00",16162,14737
"2024-12-22 06:00:00",16379,14611
"2024-12-22 07:00:00",16308,14456
"2024-12-22 08:00:00",16027,14279
"2024-12-22 09:00:00",15454,14113
"2024-12-22 10:00:00",14771,13969
"2024-12-22 11:00:00",16172,13879
"2024-12-22 12:00:00",17599,13806
"2024-12-22 13:00:00",18483,13753
"2024-12-22 14:00:00",18483,13693
"2024-12-22 15:00:00",17669,13632
"2024-12-22 16:00:00",15798,13578
"2024-12-22 17:00:00",14308,13519
"2024-12-22 18:00:00",13606,13461
"2024-12-22 19:00:00",13453,13415
"2024-12-22 20:00:00",13214,13360
"2024-12-22 21:00:00",13023,13310
"2024-12-22 22:00:00",12621,13259
"2024-12-22 23:00:00",12150,13221
"2024-12-23 00:00:00",11602,13190
"2024-12-23 01:00:00",11647,13170
"2024-12-23 02:00:00",12134,13160
"2024-12-23 03:00:00",12527,13155
"2024-12-23 04:00:00",13073,13151
"2024-12-23 05:00:00",13006,13154
"2024-12-23 06:00:00",12500,13157
"2024-12-23 07:00:00",11849,13157
"2024-12-23 08:00:00",11831,13159
"2024-12-23 09:00:00",11787,13146
"2024-12-23 10:00:00",12452,13132
"2024-12-23 11:00:00",14290,12942
"2024-12-23 12:00:00",16233,12899
"2024-12-23 13:00:00",16944,12876
"2024-12-23 14:00:00",16970,12873
"2024-12-23 15:00:00",16365,12872
"2024-12-23 16:00:00",14399,12866
"2024-12-23 17:00:00",12897,12862
"2024-12-23 18:00:00",12455,12849
"2024-12-23 19:00:00",12059,12817
"2024-12-23 20:00:00",11908,12783
"2024-12-23 21:00:00",11714,12740
"2024-12-23 22:00:00",11603,12697
"2024-12-23 23:00:00",11332,12644
"2024-12-24 00:00:00",11072,12571
"2024-12-24 01:00:00",11421,12493
"2024-12-24 02:00:00",12073,12404
"2024-12-24 03:00:00",12535,12318
"2024-12-24 04:00:00",13335,12240
"2024-12-24 05:00:00",13343,12174
"2024-12-24 06:00:00",12815,12117
"2024-12-24 07:00:00",12221,12074
"2024-12-24 08:00:00",11769,12040
"2024-12-24 09:00:00",11594,12000
"2024-12-24 10:00:00",7623,11946
"2024-12-24 11:00:00",13262,12065
"2024-12-24 12:00:00",15746,11905
"2024-12-24 13:00:00",16976,11872
"2024-12-24 14:00:00",17031,11868
"2024-12-24 15:00:00",16317,11867
"2024-12-24 16:00:00",14431,11867
"2024-12-24 17:00:00",12643,11864
"2024-12-24 18:00:00",11716,11866
"2024-12-24 19:00:00",11289,11879
"2024-12-24 20:00:00",10892,11892
"2024-12-24 21:00:00",10660,11912
"2024-12-24 22:00:00",10254,11927
"2024-12-24 23:00:00",9444,11944
"2024-12-25 00:00:00",8978,11974
"2024-12-25 01:00:00",9052,12014
"2024-12-25 02:00:00",9744,12063
"2024-12-25 03:00:00",10366,12112
"2024-12-25 04:00:00",11498,12156
"2024-12-25 05:00:00",11736,12183
"2024-12-25 06:00:00",11558,12204
"2024-12-25 07:00:00",11292,12228
"2024-12-25 08:00:00",10660,12246
"2024-12-25 09:00:00",10707,12282
"2024-12-25 10:00:00",10929,12333
"2024-12-25 11:00:00",8945,12361
"2024-12-25 12:00:00",14825,12544
"2024-12-25 13:00:00",16801,12581
"2024-12-25 14:00:00",16972,12593
"2024-12-25 15:00:00",16294,12601
"2024-12-25 16:00:00",14340,12615
"2024-12-25 17:00:00",12763,12632
"2024-12-25 18:00:00",12137,12645
"2024-12-25 19:00:00",11745,12652
"2024-12-25 20:00:00",11574,12671
"2024-12-25 21:00:00",11251,12693
"2024-12-25 22:00:00",10978,12725
"2024-12-25 23:00:00",10548,12757
"2024-12-26 00:00:00",10441,12793
"2024-12-26 01:00:00",10752,12878
"2024-12-26 02:00:00",11445,12981
"2024-12-26 03:00:00",11894,13086
"2024-12-26 04:00:00",12511,13186
"2024-12-26 05:00:00",12539,13277
"2024-12-26 06:00:00",12380,13366
"2024-12-26 07:00:00",12001,13451
"2024-12-26 08:00:00",11827,13538
"2024-12-26 09:00:00",11604,13615
"2024-12-26 10:00:00",12478,13694
"2024-12-26 11:00:00",14307,13789
"2024-12-26 12:00:00",15936,13851
"2024-12-26 13:00:00",17178,13913
"2024-12-26 14:00:00",17248,13971
"2024-12-26 15:00:00",16747,14038
"2024-12-26 16:00:00",14828,14116
"2024-12-26 17:00:00",13110,14222
"2024-12-26 18:00:00",12298,14311
"2024-12-26 19:00:00",12184,13953
"2024-12-26 20:00:00",12144,13624
"2024-12-26 21:00:00",12071,13620
"2024-12-26 22:00:00",11703,13680
"2024-12-26 23:00:00",11356,13753
"2024-12-27 00:00:00",12570,13830
"2024-12-27 01:00:00",13438,13853
"2024-12-27 02:00:00",14201,13867
"2024-12-27 03:00:00",14623,13887
"2024-12-27 04:00:00",15015,13909
"2024-12-27 05:00:00",15016,13943
"2024-12-27 06:00:00",14758,13998
"2024-12-27 07:00:00",14342,14065
"2024-12-27 08:00:00",13927,14138
"2024-12-27 09:00:00",13634,14205
"2024-12-27 10:00:00",14151,14259
"2024-12-27 11:00:00",15921,14274
"2024-12-27 12:00:00",17740,14271
"2024-12-27 13:00:00",18888,14254
"2024-12-27 14:00:00",19175,14243
"2024-12-27 15:00:00",18987,14246
"2024-12-27 16:00:00",17961,14262
"2024-12-27 17:00:00",15786,14276
"2024-12-27 18:00:00",1621,14183
"2024-12-27 19:00:00",2326,14519
"2024-12-27 20:00:00",11873,14897
"2024-12-27 21:00:00",13706,14972
"2024-12-27 22:00:00",13733,14981
"2024-12-27 23:00:00",13168,14977
"2024-12-28 00:00:00",12658,14954
"2024-12-28 01:00:00",13177,14926
"2024-12-28 02:00:00",14140,14895
"2024-12-28 03:00:00",14674,14861
"2024-12-28 04:00:00",15444,14837
"2024-12-28 05:00:00",16061,14825
"2024-12-28 06:00:00",16187,14818
"2024-12-28 07:00:00",16031,14810
"2024-12-28 08:00:00",15444,14802
"2024-12-28 09:00:00",14820,14806
"2024-12-28 10:00:00",14204,14806
"2024-12-28 11:00:00",15341,14789
"2024-12-28 12:00:00",16750,14768
"2024-12-28 13:00:00",18019,14751
"2024-12-28 14:00:00",18628,14733
"2024-12-28 15:00:00",18564,14700
"2024-12-28 16:00:00",17624,14657
"2024-12-28 17:00:00",15965,14599
"2024-12-28 18:00:00",14861,14696
"2024-12-28 19:00:00",14179,14792
"2024-12-28 20:00:00",13788,14796
"2024-12-28 21:00:00",13433,14788
"2024-12-28 22:00:00",13132,14782
"2024-12-28 23:00:00",12474,14769
"2024-12-29 00:00:00",11919,14760
"2024-12-29 01:00:00",12264,14753
"2024-12-29 02:00:00",13117,14741
"2024-12-29 03:00:00",13841,14717
"2024-12-29 04:00:00",14759,14677
"2024-12-29 05:00:00",15431,14612
"2024-12-29 06:00:00",15439,14526
"2024-12-29 07:00:00",15343,14432
"2024-12-29 08:00:00",15227,14336
"2024-12-29 09:00:00",14811,14238
"2024-12-29 10:00:00",13894,14145
"2024-12-29 11:00:00",15016,14096
"2024-12-29 12:00:00",16540,14062
"2024-12-29 13:00:00",17651,14030
"2024-12-29 14:00:00",17739,13988
"2024-12-29 15:00:00",17323,13944
"2024-12-29 16:00:00",15710,13894
"2024-12-29 17:00:00",14562,13846
"2024-12-29 18:00:00",13851,13796
"2024-12-29 19:00:00",13637,13757
"2024-12-29 20:00:00",13592,13716
"2024-12-29 21:00:00",13401,13675
"2024-12-29 22:00:00",12941,13636
"2024-12-29 23:00:00",12409,13606
"2024-12-30 00:00:00",12008,13587
"2024-12-30 01:00:00",12210,13568
"2024-12-30 02:00:00",12615,13551
"2024-12-30 03:00:00",12747,13529
"2024-12-30 04:00:00",12824,13497
"2024-12-30 05:00:00",12859,13463
"2024-12-30 06:00:00",12553,13424
"2024-12-30 07:00:00",12214,13388
"2024-12-30 08:00:00",11957,13348
"2024-12-30 09:00:00",11787,13309
"2024-12-30 10:00:00",12337,13284
"2024-12-30 11:00:00",13897,13236
"2024-12-30 12:00:00",15558,13177
"2024-12-30 13:00:00",16528,13106
"2024-12-30 14:00:00",16707,13032
"2024-12-30 15:00:00",16350,12967
"2024-12-30 16:00:00",14623,12907
"2024-12-30 17:00:00",13226,12870
"2024-12-30 18:00:00",12684,12853
"2024-12-30 19:00:00",12265,12826
"2024-12-30 20:00:00",12159,12785
"2024-12-30 21:00:00",12095,12720
"2024-12-30 22:00:00",11872,12644
"2024-12-30 23:00:00",11682,12572
"2024-12-31 00:00:00",11318,12492
"2024-12-31 01:00:00",11764,12428
"2024-12-31 02:00:00",12241,12365
"2024-12-31 03:00:00",12422,12306
"2024-12-31 04:00:00",12709,12258
"2024-12-31 05:00:00",12731,12220
"2024-12-31 06:00:00",12655,12213
"2024-12-31 07:00:00",12207,12228
"2024-12-31 08:00:00",11937,12259
"2024-12-31 09:00:00",11572,12287
"2024-12-31 10:00:00",11143,12301
"2024-12-31 11:00:00",12244,12296
"2024-12-31 12:00:00",13565,12284
"2024-12-31 13:00:00",14373,12276
"2024-12-31 14:00:00",14803,12270
"2024-12-31 15:00:00",14727,12258
"2024-12-31 16:00:00",13897,12254
"2024-12-31 17:00:00",13145,12245
"2024-12-31 18:00:00",12319,12227
"2024-12-31 19:00:00",11459,12214
"2024-12-31 20:00:00",10438,12214
"2024-12-31 21:00:00",9868,12235
"2024-12-31 22:00:00",9623,12266
"2024-12-31 23:00:00",9101,12293
"2025-01-01 00:00:00",9217,12332
"2025-01-01 01:00:00",9630,12357
"2025-01-01 02:00:00",10219,12370
"2025-01-01 03:00:00",10678,12383
"2025-01-01 04:00:00",11347,12394
"2025-01-01 05:00:00",12349,12401
"2025-01-01 06:00:00",13153,12395
"2025-01-01 07:00:00",13279,12365
"2025-01-01 08:00:00",13016,12324
"2025-01-01 09:00:00",12628,12287
"2025-01-01 10:00:00",11806,12250
"2025-01-01 11:00:00",12809,12244
"2025-01-01 12:00:00",14361,12254
"2025-01-01 13:00:00",15125,12262
"2025-01-01 14:00:00",15216,12273
"2025-01-01 15:00:00",14947,12281
"2025-01-01 16:00:00",13564,12277
"2025-01-01 17:00:00",12670,12270
"2025-01-01 18:00:00",12251,12263
"2025-01-01 19:00:00",12392,12263
"2025-01-01 20:00:00",12452,12266
"2025-01-01 21:00:00",12291,12276
"2025-01-01 22:00:00",12104,12290
"2025-01-01 23:00:00",11784,12311
"2025-01-02 00:00:00",11389,12327
"2025-01-02 01:00:00",11340,12367
"2025-01-02 02:00:00",11750,12423
"2025-01-02 03:00:00",11968,12477
"2025-01-02 04:00:00",11867,12516
"2025-01-02 05:00:00",11892,12551
"2025-01-02 06:00:00",11394,12562
"2025-01-02 07:00:00",11127,12568
"2025-01-02 08:00:00",10972,12574
"2025-01-02 09:00:00",10859,12584
"2025-01-02 10:00:00",11238,12615
"2025-01-02 11:00:00",12725,12665
"2025-01-02 12:00:00",14251,12711
"2025-01-02 13:00:00",15297,12764
"2025-01-02 14:00:00",15398,12814
"2025-01-02 15:00:00",15046,12870
"2025-01-02 16:00:00",13580,12927
"2025-01-02 17:00:00",12467,12990
"2025-01-02 18:00:00",11672,13028
"2025-01-02 19:00:00",11261,13074
"2025-01-02 20:00:00",11264,13113
"2025-01-02 21:00:00",11260,13142
"2025-01-02 22:00:00",11158,13164
"2025-01-02 23:00:00",10993,13188
"2025-01-03 00:00:00",11833,13234
"2025-01-03 01:00:00",12521,13258
"2025-01-03 02:00:00",13020,13273
"2025-01-03 03:00:00",13185,13289
"2025-01-03 04:00:00",13526,13323
"2025-01-03 05:00:00",13530,13362
"2025-01-03 06:00:00",13117,13414
"2025-01-03 07:00:00",12753,13473
"2025-01-03 08:00:00",12597,13539
"2025-01-03 09:00:00",12532,13600
"2025-01-03 10:00:00",13374,13661
"2025-01-03 11:00:00",14728,13691
"2025-01-03 12:00:00",16300,13716
"2025-01-03 13:00:00",17257,13735
"2025-01-03 14:00:00",17679,13767
"2025-01-03 15:00:00",17438,13801
"2025-01-03 16:00:00",16378,13846
"2025-01-03 17:00:00",14542,13883
"2025-01-03 18:00:00",14467,13946
"2025-01-03 19:00:00",13825,13993
"2025-01-03 20:00:00",13312,14031
"2025-01-03 21:00:00",13002,14067
"2025-01-03 22:00:00",12843,14102
"2025-01-03 23:00:00",12693,14138
"2025-01-04 00:00:00",12084,14139
"2025-01-04 01:00:00",12266,14131
"2025-01-04 02:00:00",12870,14123
"2025-01-04 03:00:00",13465,14123
"2025-01-04 04:00:00",14016,14129
"2025-01-04 05:00:00",14468,14145
"2025-01-04 06:00:00",14479,14171
"2025-01-04 07:00:00",14378,14205
"2025-01-04 08:00:00",14003,14239
"2025-01-04 09:00:00",13545,14268
"2025-01-04 10:00:00",13137,14272
"2025-01-04 11:00:00",14267,14265
"2025-01-04 12:00:00",15611,14251
"2025-01-04 13:00:00",16847,14240
"2025-01-04 14:00:00",17262,14224
"2025-01-04 15:00:00",17181,14206
"2025-01-04 16:00:00",16317,14185
"2025-01-04 17:00:00",15010,14165
"2025-01-04 18:00:00",14428,14138
"2025-01-04 19:00:00",13847,14115
"2025-01-04 20:00:00",13439,14107
"2025-01-04 21:00:00",13160,14112
"2025-01-04 22:00:00",13006,14121
"2025-01-04 23:00:00",12510,14118
"2025-01-05 00:00:00",11979,14114
"2025-01-05 01:00:00",12046,14108
"2025-01-05 02:00:00",12634,14094
"2025-01-05 03:00:00",13301,14073
"2025-01-05 04:00:00",13938,14041
"2025-01-05 05:00:00",14447,13994
"2025-01-05 06:00:00",14567,13936
"2025-01-05 07:00:00",14641,13875
"2025-01-05 08:00:00",14424,13807
"2025-01-05 09:00:00",13950,13740
"2025-01-05 10:00:00",13213,13677
"2025-01-05 11:00:00",14271,13648
"2025-01-05 12:00:00",15493,13622
"2025-01-05 13:00:00",16467,13595
"2025-01-05 14:00:00",16669,13563
"2025-01-05 15:00:00",16254,13522
"2025-01-05 16:00:00",14932,13472
"2025-01-05 17:00:00",13813,13422
"2025-01-05 18:00:00",13292,13369
"2025-01-05 19:00:00",13323,13328
"2025-01-05 20:00:00",13509,13296
"2025-01-05 21:00:00",13438,13262
"2025-01-05 22:00:00",13019,13221
"2025-01-05 23:00:00",12425,13180
"2025-01-06 00:00:00",11866,13140
"2025-01-06 01:00:00",11587,13100
"2025-01-06 02:00:00",11785,13065
"2025-01-06 03:00:00",11813,13020
"2025-01-06 04:00:00",11675,12958
"2025-01-06 05:00:00",11546,12882
"2025-01-06 06:00:00",11300,12799
"2025-01-06 07:00:00",10822,12698
"2025-01-06 08:00:00",10715,12612
"2025-01-06 09:00:00",10684,12540
"2025-01-06 10:00:00",11715,12507
"2025-01-06 11:00:00",13042,12464
"2025-01-06 12:00:00",14454,12432
"2025-01-06 13:00:00",15460,12400
"2025-01-06 14:00:00",15520,12363
"2025-01-06 15:00:00",15155,12327
"2025-01-06 16:00:00",13643,12286
"2025-01-06 17:00:00",12301,12241
"2025-01-06 18:00:00",11718,12194
"2025-01-06 19:00:00",11509,12144
"2025-01-06 20:00:00",11401,12087
"2025-01-06 21:00:00",11251,12025
"2025-01-06 22:00:00",10891,11965
"2025-01-06 23:00:00",10389,11906
"2025-01-07 00:00:00",10243,11859
"2025-01-07 01:00:00",10627,11828
"2025-01-07 02:00:00",11023,11803
"2025-01-07 03:00:00",11096,11781
"2025-01-07 04:00:00",10971,11758
"2025-01-07 05:00:00",10900,11739
"2025-01-07 06:00:00",10387,11711
"2025-01-07 07:00:00",10563,11700
"2025-01-07 08:00:00",10728,11692
"2025-01-07 09:00:00",10632,11680
"2025-01-07 10:00:00",10836,11649
"2025-01-07 11:00:00",12520,11631
"2025-01-07 12:00:00",13918,11612
"2025-01-07 13:00:00",14813,11589
"2025-01-07 14:00:00",14862,11567
"2025-01-07 15:00:00",14487,11545
"2025-01-07 16:00:00",13011,11521
"2025-01-07 17:00:00",11638,11500
"2025-01-07 18:00:00",11224,11489
"2025-01-07 19:00:00",11002,11473
"2025-01-07 20:00:00",10753,11449
"2025-01-07 21:00:00",10600,11428
"2025-01-07 22:00:00",10222,11405
"2025-01-07 23:00:00",9838,11385
"2025-01-08 00:00:00",9751,11368
"2025-01-08 01:00:00",10215,11354
"2025-01-08 02:00:00",10669,11341
"2025-01-08 03:00:00",10710,11329
"2025-01-08 04:00:00",10712,11321
"2025-01-08 05:00:00",10507,11308
"2025-01-08 06:00:00",10134,11300
"2025-01-08 07:00:00",10053,11285
"2025-01-08 08:00:00",10062,11267
"2025-01-08 09:00:00",10016,11246
"2025-01-08 10:00:00",10520,11233
"2025-01-08 11:00:00",12107,11216
"2025-01-08 12:00:00",13474,11196
"2025-01-08 13:00:00",14415,11176
"2025-01-08 14:00:00",14495,11155
"2025-01-08 15:00:00",13981,11129
"2025-01-08 16:00:00",12696,11111
"2025-01-08 17:00:00",11657,11108
"2025-01-08 18:00:00",10971,11097
"2025-01-08 19:00:00",10490,11080
"2025-01-08 20:00:00",10452,11070
"2025-01-08 21:00:00",10172,11058
"2025-01-08 22:00:00",9803,11047
"2025-01-08 23:00:00",9524,11040
"2025-01-09 00:00:00",9510,11033
"2025-01-09 01:00:00",9933,11033
"2025-01-09 02:00:00",10464,11037
"2025-01-09 03:00:00",10587,11038
"2025-01-09 04:00:00",10518,11036
"2025-01-09 05:00:00",10353,11038
"2025-01-09 06:00:00",10030,11042
"2025-01-09 07:00:00",9903,11048
"2025-01-09 08:00:00",9745,11050
"2025-01-09 09:00:00",9681,11051
"2025-01-09 10:00:00",10064,11044
"2025-01-09 11:00:00",11592,11031
"2025-01-09 12:00:00",12809,11012
"2025-01-09 13:00:00",13692,10993
"2025-01-09 14:00:00",13670,10975
"2025-01-09 15:00:00",13331,10966
"2025-01-09 16:00:00",12402,10971
"2025-01-09 17:00:00",11337,10979
"2025-01-09 18:00:00",10720,10987
"2025-01-09 19:00:00",10356,10997
"2025-01-09 20:00:00",10371,11003
"2025-01-09 21:00:00",10129,11009
"2025-01-09 22:00:00",9826,11018
"2025-01-09 23:00:00",9442,11028
"2025-01-10 00:00:00",9984,11054
"2025-01-10 01:00:00",10514,11072
