"DateTime","Players","Average Players"
"2024-12-21 00:00:00",40138,42979
"2024-12-21 01:00:00",35893,43107
"2024-12-21 02:00:00",33260,43230
"2024-12-21 03:00:00",31160,43309
"2024-12-21 04:00:00",29739,43367
"2024-12-21 05:00:00",28442,43430
"2024-12-21 06:00:00",27309,43495
"2024-12-21 07:00:00",27650,43564
"2024-12-21 08:00:00",29465,43648
"2024-12-21 09:00:00",32646,43756
"2024-12-21 10:00:00",36016,43891
"2024-12-21 11:00:00",39477,44042
"2024-12-21 12:00:00",42984,44224
"2024-12-21 13:00:00",46323,44427
"2024-12-21 14:00:00",49836,44650
"2024-12-21 15:00:00",52611,44857
"2024-12-21 16:00:00",54922,45085
"2024-12-21 17:00:00",57192,45294
"2024-12-21 18:00:00",58530,45479
"2024-12-21 19:00:00",59326,45641
"2024-12-21 20:00:00",59145,45766
"2024-12-21 21:00:00",56856,45856
"2024-12-21 22:00:00",54125,45912
"2024-12-21 23:00:00",48453,45921
"2024-12-22 00:00:00",43370,45904
"2024-12-22 01:00:00",39128,45854
"2024-12-22 02:00:00",35529,45794
"2024-12-22 03:00:00",32968,45757
"2024-12-22 04:00:00",31725,45702
"2024-12-22 05:00:00",30539,45614
"2024-12-22 06:00:00",29499,45475
"2024-12-22 07:00:00",30152,45304
"2024-12-22 08:00:00",32475,45087
"2024-12-22 09:00:00",36193,44831
"2024-12-22 10:00:00",39885,44524
"2024-12-22 11:00:00",43973,44181
"2024-12-22 12:00:00",47903,43801
"2024-12-22 13:00:00",51663,43400
"2024-12-22 14:00:00",54680,42982
"2024-12-22 15:00:00",57899,42573
"2024-12-22 16:00:00",59701,42181
"2024-12-22 17:00:00",61335,41833
"2024-12-22 18:00:00",62081,41541
"2024-12-22 19:00:00",61989,41299
"2024-12-22 20:00:00",61027,41065
"2024-12-22 21:00:00",57986,40848
"2024-12-22 22:00:00",54273,40659
"2024-12-22 23:00:00",48014,40510
"2024-12-23 00:00:00",42112,40415
"2024-12-23 01:00:00",37633,40358
"2024-12-23 02:00:00",34632,40344
"2024-12-23 03:00:00",31610,40334
"2024-12-23 04:00:00",29509,40339
"2024-12-23 05:00:00",27028,40351
"2024-12-23 06:00:00",25168,40368
"2024-12-23 07:00:00",24622,40386
"2024-12-23 08:00:00",25916,40378
"2024-12-23 09:00:00",28303,40360
"2024-12-23 10:00:00",31003,40330
"2024-12-23 11:00:00",34134,40304
"2024-12-23 12:00:00",37434,40289
"2024-12-23 13:00:00",40745,40271
"2024-12-23 14:00:00",43934,40234
"2024-12-23 15:00:00",47584,40161
"2024-12-23 16:00:00",50475,40022
"2024-12-23 17:00:00",53522,39849
"2024-12-23 18:00:00",55592,39621
"2024-12-23 19:00:00",55723,39354
"2024-12-23 20:00:00",55212,39081
"2024-12-23 21:00:00",52928,38808
"2024-12-23 22:00:00",50276,38514
"2024-12-23 23:00:00",45463,38246
"2024-12-24 00:00:00",40555,37979
"2024-12-24 01:00:00",37130,37726
"2024-12-24 02:00:00",34260,37471
"2024-12-24 03:00:00",31704,37228
"2024-12-24 04:00:00",29890,37017
"2024-12-24 05:00:00",27613,36862
"2024-12-24 06:00:00",25890,36763
"2024-12-24 07:00:00",24780,36704
"2024-12-24 08:00:00",25935,36677
"2024-12-24 09:00:00",28129,36640
"2024-12-24 10:00:00",31056,36615
"2024-12-24 11:00:00",34539,36578
