"DateTime","Players","Average Players"
"2024-12-21 00:00:00",30322,35077
"2024-12-21 01:00:00",30196,35086
"2024-12-21 02:00:00",31235,35051
"2024-12-21 03:00:00",31396,35016
"2024-12-21 04:00:00",31315,35009
"2024-12-21 05:00:00",31071,35028
"2024-12-21 06:00:00",30315,35052
"2024-12-21 07:00:00",29726,35094
"2024-12-21 08:00:00",28775,35137
"2024-12-21 09:00:00",27680,35185
"2024-12-21 10:00:00",28918,35234
"2024-12-21 11:00:00",33496,35269
"2024-12-21 12:00:00",38973,35304
"2024-12-21 13:00:00",43173,35351
"2024-12-21 14:00:00",44434,35376
"2024-12-21 15:00:00",44263,35352
"2024-12-21 16:00:00",42401,35286
"2024-12-21 17:00:00",40662,35165
"2024-12-21 18:00:00",39033,35048
"2024-12-21 19:00:00",38431,35025
"2024-12-21 20:00:00",38388,35049
"2024-12-21 21:00:00",38144,35078
"2024-12-21 22:00:00",36302,35090
"2024-12-21 23:00:00",33203,35074
"2024-12-22 00:00:00",30705,35072
"2024-12-22 01:00:00",29476,35038
"2024-12-22 02:00:00",30537,34989
"2024-12-22 03:00:00",31346,34882
"2024-12-22 04:00:00",31894,34736
"2024-12-22 05:00:00",31821,34539
"2024-12-22 06:00:00",31503,34304
"2024-12-22 07:00:00",30984,34006
"2024-12-22 08:00:00",30164,33660
"2024-12-22 09:00:00",29097,33306
"2024-12-22 10:00:00",29844,32996
"2024-12-22 11:00:00",34244,32756
"2024-12-22 12:00:00",39896,32529
"2024-12-22 13:00:00",43491,32315
"2024-12-22 14:00:00",43577,32129
"2024-12-22 15:00:00",42434,31965
"2024-12-22 16:00:00",39248,31804
"2024-12-22 17:00:00",37663,31631
"2024-12-22 18:00:00",38362,31466
"2024-12-22 19:00:00",38917,31295
"2024-12-22 20:00:00",39002,31140
"2024-12-22 21:00:00",38389,30986
"2024-12-22 22:00:00",35977,30852
"2024-12-22 23:00:00",33132,30748
"2024-12-23 00:00:00",29900,30661
"2024-12-23 01:00:00",28284,30606
"2024-12-23 02:00:00",27860,30556
"2024-12-23 03:00:00",27685,30540
"2024-12-23 04:00:00",26918,30528
"2024-12-23 05:00:00",25870,30515
"2024-12-23 06:00:00",23927,30514
"2024-12-23 07:00:00",22211,30500
"2024-12-23 08:00:00",21128,30476
"2024-12-23 09:00:00",21179,30452
"2024-12-23 10:00:00",23677,30426
"2024-12-23 11:00:00",28360,30385
"2024-12-23 12:00:00",34356,30351
"2024-12-23 13:00:00",38718,30316
"2024-12-23 14:00:00",39387,30284
"2024-12-23 15:00:00",38427,30234
"2024-12-23 16:00:00",34879,30189
"2024-12-23 17:00:00",33377,30142
"2024-12-23 18:00:00",33832,30097
"2024-12-23 19:00:00",34796,30012
"2024-12-23 20:00:00",34903,29875
"2024-12-23 21:00:00",34823,29730
"2024-12-23 22:00:00",33146,29575
"2024-12-23 23:00:00",30789,29446
"2024-12-24 00:00:00",28388,29324
"2024-12-24 01:00:00",27035,29188
"2024-12-24 02:00:00",27562,29032
"2024-12-24 03:00:00",27604,28842
"2024-12-24 04:00:00",26898,28670
"2024-12-24 05:00:00",26315,28575
"2024-12-24 06:00:00",24132,28500
"2024-12-24 07:00:00",22231,28487
"2024-12-24 08:00:00",21075,28513
"2024-12-24 09:00:00",20947,28545
"2024-12-24 10:00:00",23018,28573
"2024-12-24 11:00:00",27898,28608
"2024-12-24 12:00:00",33798,28631
"2024-12-24 13:00:00",38218,28631
"2024-12-24 14:00:00",38399,28613
"2024-12-24 15:00:00",37598,28602
"2024-12-24 16:00:00",34010,28579
"2024-12-24 17:00:00",32617,28588
"2024-12-24 18:00:00",31967,28637
"2024-12-24 19:00:00",31533,28723
"2024-12-24 20:00:00",31407,28858
"2024-12-24 21:00:00",30964,29004
"2024-12-24 22:00:00",29938,29155
"2024-12-24 23:00:00",27672,29312
"2024-12-25 00:00:00",24866,29468
"2024-12-25 01:00:00",22846,29634
"2024-12-25 02:00:00",22437,29817
"2024-12-25 03:00:00",22955,30011
"2024-12-25 04:00:00",24226,30191
"2024-12-25 05:00:00",24192,30301
"2024-12-25 06:00:00",23721,30394
"2024-12-25 07:00:00",22860,30431
"2024-12-25 08:00:00",21892,30452
"2024-12-25 09:00:00",21713,30474
"2024-12-25 10:00:00",23965,30488
"2024-12-25 11:00:00",28544,30510
"2024-12-25 12:00:00",33788,30539
"2024-12-25 13:00:00",37798,30594
"2024-12-25 14:00:00",38142,30676
"2024-12-25 15:00:00",37030,30769
"2024-12-25 16:00:00",34288,30877
"2024-12-25 17:00:00",34186,31039
"2024-12-25 18:00:00",34717,31231
"2024-12-25 19:00:00",35708,31441
"2024-12-25 20:00:00",35970,31649
"2024-12-25 21:00:00",35573,31856
"2024-12-25 22:00:00",34745,32059
"2024-12-25 23:00:00",32516,32219
"2024-12-26 00:00:00",30122,32380
"2024-12-26 01:00:00",28771,32535
"2024-12-26 02:00:00",28614,32683
"2024-12-26 03:00:00",28461,32840
"2024-12-26 04:00:00",27717,32989
"2024-12-26 05:00:00",26931,33126
"2024-12-26 06:00:00",24763,33245
"2024-12-26 07:00:00",23387,33359
"2024-12-26 08:00:00",22500,33478
"2024-12-26 09:00:00",22023,33570
"2024-12-26 10:00:00",24573,33662
"2024-12-26 11:00:00",29460,33745
"2024-12-26 12:00:00",35522,33839
"2024-12-26 13:00:00",40262,33947
"2024-12-26 14:00:00",40960,34062
"2024-12-26 15:00:00",40175,34191
"2024-12-26 16:00:00",38716,34351
"2024-12-26 17:00:00",39265,34505
"2024-12-26 18:00:00",40025,34579
"2024-12-26 19:00:00",40910,34602
"2024-12-26 20:00:00",41132,34620
"2024-12-26 21:00:00",40600,34640
"2024-12-26 22:00:00",38504,34663
"2024-12-26 23:00:00",36239,34696
"2024-12-27 00:00:00",33524,34716
"2024-12-27 01:00:00",31903,34735
"2024-12-27 02:00:00",32154,34780
"2024-12-27 03:00:00",32166,34851
"2024-12-27 04:00:00",31245,34932
"2024-12-27 05:00:00",30268,35037
"2024-12-27 06:00:00",28100,35167
"2024-12-27 07:00:00",26830,35335
"2024-12-27 08:00:00",25271,35500
"2024-12-27 09:00:00",24713,35670
"2024-12-27 10:00:00",26917,35814
"2024-12-27 11:00:00",31997,35895
"2024-12-27 12:00:00",38259,35966
"2024-12-27 13:00:00",43157,36025
"2024-12-27 14:00:00",44188,36079
"2024-12-27 15:00:00",44032,36158
"2024-12-27 16:00:00",42221,36234
"2024-12-27 17:00:00",40364,36300
"2024-12-27 18:00:00",39613,36338
"2024-12-27 19:00:00",40316,36356
"2024-12-27 20:00:00",40639,36365
"2024-12-27 21:00:00",40479,36380
"2024-12-27 22:00:00",38664,36398
"2024-12-27 23:00:00",36111,36427
"2024-12-28 00:00:00",33394,36457
"2024-12-28 01:00:00",32427,36488
"2024-12-28 02:00:00",33442,36503
"2024-12-28 03:00:00",33773,36528
"2024-12-28 04:00:00",33614,36553
"2024-12-28 05:00:00",33414,36594
"2024-12-28 06:00:00",32327,36650
"2024-12-28 07:00:00",31177,36715
"2024-12-28 08:00:00",29804,36783
"2024-12-28 09:00:00",28540,36859
"2024-12-28 10:00:00",28776,36910
"2024-12-28 11:00:00",33490,36953
"2024-12-28 12:00:00",39353,36977
"2024-12-28 13:00:00",43986,36992
"2024-12-28 14:00:00",45588,37023
"2024-12-28 15:00:00",45439,37035
"2024-12-28 16:00:00",44012,37039
"2024-12-28 17:00:00",41715,36997
"2024-12-28 18:00:00",40408,36973
"2024-12-28 19:00:00",40822,37005
"2024-12-28 20:00:00",41195,37061
"2024-12-28 21:00:00",41052,37110
"2024-12-28 22:00:00",39698,37161
"2024-12-28 23:00:00",37150,37198
"2024-12-29 00:00:00",34291,37214
"2024-12-29 01:00:00",32578,37220
"2024-12-29 02:00:00",33794,37224
"2024-12-29 03:00:00",33892,37177
"2024-12-29 04:00:00",34002,37121
"2024-12-29 05:00:00",33901,37031
"2024-12-29 06:00:00",33042,36921
"2024-12-29 07:00:00",31956,36783
"2024-12-29 08:00:00",31018,36632
"2024-12-29 09:00:00",29603,36472
"2024-12-29 10:00:00",29678,36330
"2024-12-29 11:00:00",33945,36226
"2024-12-29 12:00:00",39565,36127
"2024-12-29 13:00:00",44547,36032
"2024-12-29 14:00:00",45543,35920
"2024-12-29 15:00:00",44979,35810
"2024-12-29 16:00:00",42245,35692
"2024-12-29 17:00:00",40675,35590
"2024-12-29 18:00:00",41268,35519
"2024-12-29 19:00:00",42483,35437
"2024-12-29 20:00:00",42582,35353
"2024-12-29 21:00:00",42360,35287
"2024-12-29 22:00:00",40561,35218
"2024-12-29 23:00:00",37364,35162
"2024-12-30 00:00:00",34465,35119
"2024-12-30 01:00:00",32585,35080
"2024-12-30 02:00:00",32226,35040
"2024-12-30 03:00:00",31951,35028
"2024-12-30 04:00:00",30851,35007
"2024-12-30 05:00:00",30011,34989
"2024-12-30 06:00:00",28184,34959
"2024-12-30 07:00:00",26465,34924
"2024-12-30 08:00:00",25280,34880
"2024-12-30 09:00:00",24492,34831
"2024-12-30 10:00:00",25985,34785
"2024-12-30 11:00:00",30487,34707
"2024-12-30 12:00:00",36098,34611
"2024-12-30 13:00:00",40768,34490
"2024-12-30 14:00:00",41946,34355
"2024-12-30 15:00:00",41630,34233
"2024-12-30 16:00:00",39136,34111
"2024-12-30 17:00:00",37830,34036
"2024-12-30 18:00:00",37705,33944
"2024-12-30 19:00:00",38960,33798
"2024-12-30 20:00:00",39646,33568
"2024-12-30 21:00:00",39545,33285
"2024-12-30 22:00:00",38401,32982
"2024-12-30 23:00:00",35667,32704
"2024-12-31 00:00:00",32976,32455
"2024-12-31 01:00:00",31745,32285
