"DateTime","Players","Average Players"
"2024-12-04 00:00:00",10283,3790
"2024-12-05 00:00:00",102167,69684
"2024-12-06 00:00:00",94372,72035
"2024-12-07 00:00:00",108788,82456
"2024-12-08 00:00:00",118964,91079
"2024-12-09 00:00:00",98930,72336
"2024-12-10 00:00:00",94555,71237
"2024-12-11 00:00:00",91698,68737
"2024-12-12 00:00:00",90721,67555
"2024-12-13 00:00:00",97634,70009
"2024-12-14 00:00:00",111062,81596
"2024-12-15 00:00:00",114987,85045
"2024-12-16 00:00:00",91235,67077
"2024-12-17 00:00:00",90866,65583
"2024-12-18 00:00:00",89679,64724
"2024-12-19 00:00:00",89416,64222
"2024-12-20 00:00:00",98453,69473
"2024-12-21 00:00:00",68714,81957
"2024-12-21 01:00:00",63941,82063
"2024-12-21 02:00:00",63881,82146
"2024-12-21 03:00:00",63660,82185
"2024-12-21 04:00:00",63607,82274
"2024-12-21 05:00:00",63602,82427
"2024-12-21 06:00:00",62786,82593
"2024-12-21 07:00:00",62333,82795
"2024-12-21 08:00:00",63096,83053
"2024-12-21 09:00:00",65169,83316
"2024-12-21 10:00:00",70761,83576
"2024-12-21 11:00:00",79764,83881
"2024-12-21 12:00:00",91537,84246
"2024-12-21 13:00:00",102488,84648
"2024-12-21 14:00:00",109453,85014
"2024-12-21 15:00:00",110410,85186
"2024-12-21 16:00:00",109311,85303
"2024-12-21 17:00:00",106037,85313
"2024-12-21 18:00:00",100775,85257
"2024-12-21 19:00:00",95806,85243
"2024-12-21 20:00:00",93300,85342
"2024-12-21 21:00:00",90802,85519
"2024-12-21 22:00:00",86402,85685
"2024-12-21 23:00:00",79336,85720
"2024-12-22 00:00:00",71777,85684
"2024-12-22 01:00:00",66512,85590
"2024-12-22 02:00:00",65427,85456
"2024-12-22 03:00:00",66412,85241
"2024-12-22 04:00:00",67933,84890
"2024-12-22 05:00:00",68260,84338
"2024-12-22 06:00:00",68365,83698
"2024-12-22 07:00:00",69257,82913
"2024-12-22 08:00:00",70093,82034
"2024-12-22 09:00:00",71948,81217
"2024-12-22 10:00:00",78359,80511
"2024-12-22 11:00:00",88482,79868
"2024-12-22 12:00:00",100846,79271
"2024-12-22 13:00:00",110719,78744
"2024-12-22 14:00:00",112891,78240
"2024-12-22 15:00:00",112526,77793
"2024-12-22 16:00:00",108925,77343
"2024-12-22 17:00:00",104171,76825
"2024-12-22 18:00:00",100106,76297
"2024-12-22 19:00:00",97997,75788
"2024-12-22 20:00:00",97527,75323
"2024-12-22 21:00:00",94888,74882
"2024-12-22 22:00:00",87480,74505
"2024-12-22 23:00:00",78467,74285
"2024-12-23 00:00:00",69480,74145
"2024-12-23 01:00:00",63234,74061
"2024-12-23 02:00:00",60083,74021
"2024-12-23 03:00:00",57574,74010
"2024-12-23 04:00:00",54034,74042
"2024-12-23 05:00:00",52038,74118
"2024-12-23 06:00:00",48417,74198
"2024-12-23 07:00:00",46845,74261
"2024-12-23 08:00:00",49179,74290
"2024-12-23 09:00:00",53709,74289
"2024-12-23 10:00:00",61569,74259
"2024-12-23 11:00:00",72734,74212
"2024-12-23 12:00:00",86874,74154
"2024-12-23 13:00:00",97539,74054
"2024-12-23 14:00:00",101149,73956
"2024-12-23 15:00:00",100849,73870
"2024-12-23 16:00:00",95562,73774
"2024-12-23 17:00:00",90425,73645
"2024-12-23 18:00:00",86648,73442
"2024-12-23 19:00:00",85502,73156
"2024-12-23 20:00:00",85583,72732
"2024-12-23 21:00:00",84748,72203
"2024-12-23 22:00:00",81445,71595
"2024-12-23 23:00:00",74606,70977
"2024-12-24 00:00:00",67127,70402
"2024-12-24 01:00:00",62152,69860
"2024-12-24 02:00:00",60022,69314
"2024-12-24 03:00:00",59061,68821
"2024-12-24 04:00:00",56884,68425
"2024-12-24 05:00:00",55338,68230
"2024-12-24 06:00:00",51572,68108
"2024-12-24 07:00:00",49029,68106
"2024-12-24 08:00:00",50459,68195
"2024-12-24 09:00:00",54144,68288
"2024-12-24 10:00:00",61524,68341
"2024-12-24 11:00:00",72280,68335
"2024-12-24 12:00:00",85291,68243
"2024-12-24 13:00:00",95934,68055
"2024-12-24 14:00:00",99858,67808
"2024-12-24 15:00:00",99503,67535
"2024-12-24 16:00:00",93402,67269
"2024-12-24 17:00:00",86334,67063
"2024-12-24 18:00:00",80276,66944
"2024-12-24 19:00:00",75449,66936
"2024-12-24 20:00:00",72563,67045
"2024-12-24 21:00:00",69175,67242
"2024-12-24 22:00:00",65361,67498
"2024-12-24 23:00:00",59444,67806
"2024-12-25 00:00:00",52660,68121
"2024-12-25 01:00:00",47443,68432
"2024-12-25 02:00:00",46486,68758
"2024-12-25 03:00:00",47941,69030
"2024-12-25 04:00:00",51045,69211
"2024-12-25 05:00:00",51469,69202
"2024-12-25 06:00:00",51010,69166
"2024-12-25 07:00:00",51054,69085
"2024-12-25 08:00:00",52677,68979
"2024-12-25 09:00:00",55346,68882
"2024-12-25 10:00:00",61193,68806
"2024-12-25 11:00:00",69760,68755
"2024-12-25 12:00:00",80178,68744
"2024-12-25 13:00:00",89130,68782
"2024-12-25 14:00:00",92350,68896
"2024-12-25 15:00:00",92275,69051
"2024-12-25 16:00:00",88079,69206
"2024-12-25 17:00:00",83717,69373
"2024-12-25 18:00:00",81239,69536
"2024-12-25 19:00:00",80079,69631
"2024-12-25 20:00:00",80054,69700
"2024-12-25 21:00:00",78451,69781
"2024-12-25 22:00:00",76006,69890
"2024-12-25 23:00:00",70255,69968
"2024-12-26 00:00:00",63479,70074
"2024-12-26 01:00:00",58604,70183
"2024-12-26 02:00:00",55809,70316
"2024-12-26 03:00:00",53967,70444
"2024-12-26 04:00:00",51494,70529
"2024-12-26 05:00:00",50636,70584
"2024-12-26 06:00:00",48482,70590
"2024-12-26 07:00:00",47782,70575
"2024-12-26 08:00:00",49821,70561
"2024-12-26 09:00:00",53316,70550
"2024-12-26 10:00:00",60236,70533
"2024-12-26 11:00:00",70408,70518
"2024-12-26 12:00:00",82509,70504
"2024-12-26 13:00:00",93800,70535
"2024-12-26 14:00:00",98123,70567
"2024-12-26 15:00:00",97766,70651
"2024-12-26 16:00:00",93465,70774
"2024-12-26 17:00:00",88326,71010
"2024-12-26 18:00:00",83247,71253
"2024-12-26 19:00:00",80779,71493
"2024-12-26 20:00:00",80734,71685
"2024-12-26 21:00:00",79617,71826
"2024-12-26 22:00:00",76236,71956
"2024-12-26 23:00:00",71263,72083
"2024-12-27 00:00:00",64475,72192
"2024-12-27 01:00:00",60612,72301
"2024-12-27 02:00:00",58332,72394
"2024-12-27 03:00:00",56381,72548
"2024-12-27 04:00:00",53332,72766
"2024-12-27 05:00:00",51381,73037
"2024-12-27 06:00:00",48800,73358
"2024-12-27 07:00:00",48054,73754
"2024-12-27 08:00:00",50007,74160
"2024-12-27 09:00:00",53095,74473
"2024-12-27 10:00:00",59736,74718
"2024-12-27 11:00:00",69574,74913
"2024-12-27 12:00:00",82438,75075
"2024-12-27 13:00:00",93501,75182
"2024-12-27 14:00:00",99392,75309
"2024-12-27 15:00:00",100206,75468
"2024-12-27 16:00:00",99416,75660
"2024-12-27 17:00:00",95091,75854
"2024-12-27 18:00:00",90240,76073
"2024-12-27 19:00:00",86387,76285
"2024-12-27 20:00:00",84721,76456
"2024-12-27 21:00:00",83534,76623
"2024-12-27 22:00:00",79867,76765
"2024-12-27 23:00:00",74347,76895
"2024-12-28 00:00:00",67335,76994
"2024-12-28 01:00:00",62881,77073
"2024-12-28 02:00:00",62422,77132
"2024-12-28 03:00:00",62590,77207
"2024-12-28 04:00:00",61413,77300
"2024-12-28 05:00:00",61133,77481
"2024-12-28 06:00:00",60857,77697
"2024-12-28 07:00:00",60479,77931
"2024-12-28 08:00:00",59758,78141
"2024-12-28 09:00:00",60896,78345
"2024-12-28 10:00:00",66097,78540
"2024-12-28 11:00:00",74764,78727
"2024-12-28 12:00:00",86054,78907
"2024-12-28 13:00:00",97258,79051
"2024-12-28 14:00:00",103851,79235
"2024-12-28 15:00:00",104655,79381
"2024-12-28 16:00:00",103733,79500
"2024-12-28 17:00:00",100087,79582
"2024-12-28 18:00:00",95414,79642
"2024-12-28 19:00:00",90758,79724
"2024-12-28 20:00:00",88987,79852
"2024-12-28 21:00:00",87115,80006
"2024-12-28 22:00:00",83223,80143
