"DateTime","Players","Average Players"
"2024-12-21 00:00:00",19420,41251
"2024-12-21 01:00:00",23115,41234
"2024-12-21 02:00:00",28156,41203
"2024-12-21 03:00:00",31625,41171
"2024-12-21 04:00:00",36583,41170
"2024-12-21 05:00:00",42597,41174
"2024-12-21 06:00:00",47305,41217
"2024-12-21 07:00:00",50231,41268
"2024-12-21 08:00:00",50769,41340
"2024-12-21 09:00:00",50326,41425
"2024-12-21 10:00:00",48207,41507
"2024-12-21 11:00:00",54530,41536
"2024-12-21 12:00:00",61852,41557
"2024-12-21 13:00:00",67148,41577
"2024-12-21 14:00:00",67280,41538
"2024-12-21 15:00:00",64501,41486
"2024-12-21 16:00:00",53421,41270
"2024-12-21 17:00:00",41357,40892
"2024-12-21 18:00:00",33406,40549
"2024-12-21 19:00:00",28482,40312
"2024-12-21 20:00:00",25542,40164
"2024-12-21 21:00:00",23322,40070
"2024-12-21 22:00:00",21106,39985
"2024-12-21 23:00:00",19749,39915
"2024-12-22 00:00:00",19676,39878
"2024-12-22 01:00:00",22870,39828
"2024-12-22 02:00:00",27776,39732
"2024-12-22 03:00:00",31827,39585
"2024-12-22 04:00:00",36725,39352
"2024-12-22 05:00:00",43505,39074
"2024-12-22 06:00:00",48313,38592
"2024-12-22 07:00:00",51731,37988
"2024-12-22 08:00:00",52566,37328
"2024-12-22 09:00:00",52136,36719
"2024-12-22 10:00:00",48517,36126
"2024-12-22 11:00:00",54431,35760
"2024-12-22 12:00:00",61519,35473
"2024-12-22 13:00:00",65396,35276
"2024-12-22 14:00:00",65254,35171
"2024-12-22 15:00:00",58816,35068
"2024-12-22 16:00:00",44120,34991
"2024-12-22 17:00:00",33139,34913
"2024-12-22 18:00:00",27938,34832
"2024-12-22 19:00:00",25303,34761
"2024-12-22 20:00:00",23743,34679
"2024-12-22 21:00:00",21841,34596
"2024-12-22 22:00:00",20031,34544
"2024-12-22 23:00:00",18769,34499
"2024-12-23 00:00:00",18399,34455
"2024-12-23 01:00:00",20440,34418
"2024-12-23 02:00:00",24049,34377
"2024-12-23 03:00:00",25934,34319
"2024-12-23 04:00:00",29680,34267
"2024-12-23 05:00:00",31307,34224
