"DateTime","Players","Average Players"
"2024-11-12 00:00:00",126761,84056
"2024-11-13 00:00:00",120279,57808
"2024-11-14 00:00:00",113641,54970
"2024-11-15 00:00:00",109076,57729
"2024-11-16 00:00:00",115802,71112
"2024-11-17 00:00:00",135970,82168
"2024-11-18 00:00:00",114176,54283
"2024-11-19 00:00:00",107404,51475
"2024-11-20 00:00:00",102051,49567
"2024-11-21 00:00:00",96146,46983
"2024-11-22 00:00:00",92706,49639
"2024-11-23 00:00:00",97916,61444
"2024-11-24 00:00:00",111057,68032
"2024-11-25 00:00:00",92215,43953
"2024-11-26 00:00:00",87440,41436
"2024-11-27 00:00:00",87159,41300
"2024-11-28 00:00:00",84835,42088
"2024-11-29 00:00:00",81394,43262
"2024-11-30 00:00:00",81675,51644
"2024-12-01 00:00:00",93383,57303
"2024-12-02 00:00:00",79645,38046
"2024-12-03 00:00:00",74314,35715
"2024-12-04 00:00:00",70268,34428
"2024-12-05 00:00:00",67867,33281
"2024-12-06 00:00:00",64126,34845
"2024-12-07 00:00:00",68140,43050
"2024-12-08 00:00:00",78055,47913
"2024-12-09 00:00:00",66218,32301
"2024-12-10 00:00:00",61752,30100
"2024-12-11 00:00:00",58123,28579
"2024-12-12 00:00:00",57113,27889
"2024-12-13 00:00:00",55526,30314
"2024-12-14 00:00:00",60178,37677
"2024-12-15 00:00:00",69138,42614
"2024-12-16 00:00:00",57781,28927
"2024-12-17 00:00:00",55123,27537
"2024-12-18 00:00:00",53628,27074
"2024-12-19 00:00:00",51874,26885
"2024-12-20 00:00:00",48851,27905
"2024-12-21 00:00:00",27785,34761
"2024-12-21 01:00:00",22199,34873
"2024-12-21 02:00:00",19344,34968
"2024-12-21 03:00:00",17638,35018
"2024-12-21 04:00:00",16179,35046
"2024-12-21 05:00:00",14972,35066
"2024-12-21 06:00:00",15424,35084
"2024-12-21 07:00:00",17742,35099
"2024-12-21 08:00:00",21905,35157
"2024-12-21 09:00:00",27143,35289
"2024-12-21 10:00:00",31849,35533
"2024-12-21 11:00:00",35504,35878
"2024-12-21 12:00:00",39066,36264
"2024-12-21 13:00:00",41940,36690
"2024-12-21 14:00:00",44862,37125
"2024-12-21 15:00:00",47199,37529
"2024-12-21 16:00:00",48843,37917
"2024-12-21 17:00:00",49874,38296
"2024-12-21 18:00:00",51422,38679
"2024-12-21 19:00:00",52857,39035
"2024-12-21 20:00:00",52897,39371
"2024-12-21 21:00:00",51780,39702
"2024-12-21 22:00:00",46821,39921
"2024-12-21 23:00:00",39022,40002
"2024-12-22 00:00:00",30807,39992
"2024-12-22 01:00:00",24929,39951
"2024-12-22 02:00:00",21091,39909
"2024-12-22 03:00:00",18899,39881
"2024-12-22 04:00:00",17301,39828
"2024-12-22 05:00:00",16039,39757
"2024-12-22 06:00:00",16364,39670
"2024-12-22 07:00:00",19606,39562
"2024-12-22 08:00:00",25428,39410
"2024-12-22 09:00:00",33239,39181
"2024-12-22 10:00:00",40294,38831
"2024-12-22 11:00:00",44863,38380
"2024-12-22 12:00:00",49343,37883
"2024-12-22 13:00:00",52368,37346
"2024-12-22 14:00:00",54476,36793
"2024-12-22 15:00:00",56379,36269
"2024-12-22 16:00:00",57794,35796
"2024-12-22 17:00:00",58911,35374
"2024-12-22 18:00:00",59738,34996
"2024-12-22 19:00:00",60733,34692
"2024-12-22 20:00:00",60690,34437
"2024-12-22 21:00:00",56984,34181
"2024-12-22 22:00:00",48869,34014
"2024-12-22 23:00:00",38847,33922
"2024-12-23 00:00:00",29878,33866
"2024-12-23 01:00:00",23984,33820
"2024-12-23 02:00:00",20520,33780
"2024-12-23 03:00:00",17709,33743
"2024-12-23 04:00:00",15651,33721
"2024-12-23 05:00:00",13968,33712
"2024-12-23 06:00:00",13740,33708
"2024-12-23 07:00:00",15770,33718
"2024-12-23 08:00:00",19541,33732
"2024-12-23 09:00:00",24135,33751
"2024-12-23 10:00:00",28543,33801
"2024-12-23 11:00:00",31855,33893
"2024-12-23 12:00:00",35223,34016
"2024-12-23 13:00:00",37832,34145
"2024-12-23 14:00:00",40645,34226
"2024-12-23 15:00:00",43766,34201
"2024-12-23 16:00:00",46420,34004
"2024-12-23 17:00:00",48643,33619
"2024-12-23 18:00:00",51333,33069
"2024-12-23 19:00:00",53533,32395
"2024-12-23 20:00:00",53596,31696
"2024-12-23 21:00:00",52344,31043
"2024-12-23 22:00:00",46271,30448
"2024-12-23 23:00:00",37244,30042
"2024-12-24 00:00:00",28525,29812
"2024-12-24 01:00:00",22770,29704
"2024-12-24 02:00:00",19411,29623
"2024-12-24 03:00:00",17025,29544
"2024-12-24 04:00:00",15324,29487
"2024-12-24 05:00:00",13860,29453
"2024-12-24 06:00:00",14065,29448
"2024-12-24 07:00:00",16412,29441
"2024-12-24 08:00:00",20589,29448
"2024-12-24 09:00:00",26243,29508
"2024-12-24 10:00:00",31932,29607
"2024-12-24 11:00:00",36184,29628
"2024-12-24 12:00:00",39805,29564
"2024-12-24 13:00:00",41153,29446
"2024-12-24 14:00:00",41106,29311
"2024-12-24 15:00:00",39614,29203
"2024-12-24 16:00:00",37233,29208
"2024-12-24 17:00:00",34917,29376
"2024-12-24 18:00:00",34184,29690
"2024-12-24 19:00:00",35698,30115
"2024-12-24 20:00:00",36693,30537
"2024-12-24 21:00:00",36697,30940
"2024-12-24 22:00:00",35524,31335
"2024-12-24 23:00:00",31139,31638
"2024-12-25 00:00:00",25632,31855
"2024-12-25 01:00:00",20576,31987
"2024-12-25 02:00:00",17231,32089
"2024-12-25 03:00:00",15386,32175
"2024-12-25 04:00:00",14271,32236
"2024-12-25 05:00:00",13523,32264
"2024-12-25 06:00:00",13644,32264
"2024-12-25 07:00:00",16308,32265
"2024-12-25 08:00:00",21783,32288
"2024-12-25 09:00:00",28332,32322
"2024-12-25 10:00:00",31763,32340
"2024-12-25 11:00:00",33677,32407
"2024-12-25 12:00:00",35984,32494
"2024-12-25 13:00:00",37216,32597
"2024-12-25 14:00:00",38537,32726
"2024-12-25 15:00:00",40815,32889
"2024-12-25 16:00:00",43561,33081
"2024-12-25 17:00:00",45787,33287
"2024-12-25 18:00:00",48286,33526
"2024-12-25 19:00:00",49701,33754
"2024-12-25 20:00:00",50068,33997
"2024-12-25 21:00:00",49217,34226
"2024-12-25 22:00:00",44880,34416
"2024-12-25 23:00:00",37694,34534
"2024-12-26 00:00:00",29719,34598
"2024-12-26 01:00:00",23888,34648
"2024-12-26 02:00:00",20006,34692
"2024-12-26 03:00:00",17382,34739
"2024-12-26 04:00:00",15259,34776
"2024-12-26 05:00:00",13731,34801
"2024-12-26 06:00:00",13850,34817
"2024-12-26 07:00:00",16902,34809
"2024-12-26 08:00:00",22518,34760
"2024-12-26 09:00:00",29002,34652
"2024-12-26 10:00:00",34240,34519
"2024-12-26 11:00:00",36967,34376
"2024-12-26 12:00:00",39742,34270
"2024-12-26 13:00:00",41509,34199
"2024-12-26 14:00:00",43138,34164
"2024-12-26 15:00:00",45281,34177
"2024-12-26 16:00:00",47610,34226
"2024-12-26 17:00:00",50153,34299
"2024-12-26 18:00:00",52326,34351
"2024-12-26 19:00:00",54262,34407
"2024-12-26 20:00:00",54351,34455
"2024-12-26 21:00:00",52964,34505
"2024-12-26 22:00:00",47084,34553
"2024-12-26 23:00:00",38834,34604
"2024-12-27 00:00:00",30600,34657
"2024-12-27 01:00:00",24709,34701
"2024-12-27 02:00:00",21038,34738
"2024-12-27 03:00:00",18347,34768
"2024-12-27 04:00:00",16044,34796
"2024-12-27 05:00:00",14258,34834
"2024-12-27 06:00:00",13568,34878
"2024-12-27 07:00:00",15414,34905
"2024-12-27 08:00:00",19331,34916
"2024-12-27 09:00:00",24663,34911
"2024-12-27 10:00:00",29388,34905
"2024-12-27 11:00:00",33104,34922
"2024-12-27 12:00:00",36716,34952
"2024-12-27 13:00:00",39495,34999
"2024-12-27 14:00:00",42510,35071
"2024-12-27 15:00:00",45814,35153
"2024-12-27 16:00:00",48780,35231
"2024-12-27 17:00:00",50729,35284
"2024-12-27 18:00:00",52918,35311
"2024-12-27 19:00:00",54668,35326
"2024-12-27 20:00:00",54917,35327
"2024-12-27 21:00:00",53846,35333
"2024-12-27 22:00:00",48291,35344
"2024-12-27 23:00:00",40177,35393
"2024-12-28 00:00:00",31717,35449
"2024-12-28 01:00:00",25527,35509
"2024-12-28 02:00:00",21671,35555
"2024-12-28 03:00:00",18975,35584
"2024-12-28 04:00:00",17019,35609
"2024-12-28 05:00:00",15642,35640
"2024-12-28 06:00:00",14757,35665
"2024-12-28 07:00:00",16587,35687
"2024-12-28 08:00:00",20348,35719
"2024-12-28 09:00:00",25789,35784
"2024-12-28 10:00:00",30972,35908
"2024-12-28 11:00:00",34846,36086
"2024-12-28 12:00:00",38758,36302
"2024-12-28 13:00:00",41909,36558
