"DateTime","Players","Average Players"
"2024-09-27 00:00:00",100643,65185
"2024-09-28 00:00:00",99209,71159
"2024-09-29 00:00:00",110026,69497
"2024-09-30 00:00:00",101621,55639
"2024-10-01 00:00:00",96402,53713
"2024-10-02 00:00:00",97621,54713
"2024-10-03 00:00:00",96806,57947
"2024-10-04 00:00:00",99466,60781
"2024-10-05 00:00:00",98259,66050
"2024-10-06 00:00:00",106034,66066
"2024-10-07 00:00:00",94408,51993
"2024-10-08 00:00:00",94822,50587
"2024-10-09 00:00:00",98438,52971
"2024-10-10 00:00:00",91569,52821
"2024-10-11 00:00:00",96266,56045
"2024-10-12 00:00:00",93270,62386
"2024-10-13 00:00:00",98135,63754
"2024-10-14 00:00:00",84205,47889
"2024-10-15 00:00:00",84600,45586
"2024-10-16 00:00:00",92803,49491
"2024-10-17 00:00:00",84291,49490
"2024-10-18 00:00:00",85777,52026
"2024-10-19 00:00:00",84065,57763
"2024-10-20 00:00:00",86305,55642
"2024-10-21 00:00:00",77248,42628
"2024-10-22 00:00:00",77369,41352
"2024-10-23 00:00:00",86698,44385
"2024-10-24 00:00:00",72800,43794
"2024-10-25 00:00:00",76532,44742
"2024-10-26 00:00:00",74831,48562
"2024-10-27 00:00:00",81645,51161
"2024-10-28 00:00:00",68302,40084
"2024-10-29 00:00:00",68075,39590
"2024-10-30 00:00:00",74115,40887
"2024-10-31 00:00:00",59599,40993
"2024-11-01 00:00:00",68512,42239
"2024-11-02 00:00:00",60159,42617
"2024-11-03 00:00:00",69971,42689
"2024-11-04 00:00:00",56688,33325
"2024-11-05 00:00:00",55692,30604
"2024-11-06 00:00:00",58188,32362
"2024-11-07 00:00:00",51841,31791
"2024-11-08 00:00:00",63372,36831
"2024-11-09 00:00:00",59281,40910
"2024-11-10 00:00:00",61868,40093
"2024-11-11 00:00:00",56009,31829
"2024-11-12 00:00:00",48118,28441
"2024-11-13 00:00:00",49721,28960
"2024-11-14 00:00:00",54111,33305
"2024-11-15 00:00:00",63491,38817
"2024-11-16 00:00:00",65847,45708
"2024-11-17 00:00:00",70355,47869
"2024-11-18 00:00:00",61725,37239
"2024-11-19 00:00:00",58522,35535
"2024-11-20 00:00:00",64137,38006
"2024-11-21 00:00:00",59811,37526
"2024-11-22 00:00:00",62284,39483
"2024-11-23 00:00:00",64067,45560
"2024-11-24 00:00:00",69627,47446
"2024-11-25 00:00:00",60536,36728
"2024-11-26 00:00:00",61441,35823
"2024-11-27 00:00:00",68409,37684
"2024-11-28 00:00:00",67466,40152
"2024-11-29 00:00:00",80112,47297
"2024-11-30 00:00:00",78606,55733
"2024-12-01 00:00:00",85567,55338
"2024-12-02 00:00:00",72171,43216
"2024-12-03 00:00:00",71018,42221
"2024-12-04 00:00:00",73760,38447
"2024-12-05 00:00:00",68799,41888
"2024-12-06 00:00:00",65612,42434
"2024-12-07 00:00:00",65371,46220
"2024-12-08 00:00:00",66191,46034
"2024-12-09 00:00:00",57448,35512
"2024-12-10 00:00:00",55860,33829
"2024-12-11 00:00:00",57155,34058
"2024-12-12 00:00:00",52794,35026
"2024-12-13 00:00:00",62225,38739
"2024-12-14 00:00:00",63632,45420
"2024-12-15 00:00:00",64033,44978
"2024-12-16 00:00:00",56233,35236
"2024-12-17 00:00:00",60973,36287
"2024-12-18 00:00:00",59565,37327
"2024-12-19 00:00:00",58112,36920
"2024-12-20 00:00:00",73729,42062
"2024-12-21 00:00:00",46286,52904
"2024-12-21 01:00:00",39162,52945
"2024-12-21 02:00:00",35786,52992
"2024-12-21 03:00:00",34415,52998
"2024-12-21 04:00:00",33071,52996
"2024-12-21 05:00:00",31813,53018
"2024-12-21 06:00:00",30677,53053
"2024-12-21 07:00:00",32380,53109
"2024-12-21 08:00:00",36288,53171
"2024-12-21 09:00:00",41913,53304
"2024-12-21 10:00:00",48749,53462
"2024-12-21 11:00:00",54994,53628
"2024-12-21 12:00:00",60324,53828
"2024-12-21 13:00:00",65093,54049
"2024-12-21 14:00:00",69599,54237
"2024-12-21 15:00:00",70736,54276
"2024-12-21 16:00:00",70442,54263
"2024-12-21 17:00:00",68900,54250
"2024-12-21 18:00:00",76110,54292
"2024-12-21 19:00:00",75647,54605
"2024-12-21 20:00:00",70141,54922
"2024-12-21 21:00:00",64261,55231
"2024-12-21 22:00:00",58478,55515
"2024-12-21 23:00:00",54442,55737
"2024-12-22 00:00:00",47586,55798
"2024-12-22 01:00:00",40796,55778
"2024-12-22 02:00:00",36507,55754
"2024-12-22 03:00:00",34980,55721
"2024-12-22 04:00:00",34292,55633
"2024-12-22 05:00:00",33374,55452
"2024-12-22 06:00:00",32711,55231
"2024-12-22 07:00:00",34464,54924
"2024-12-22 08:00:00",39923,54524
"2024-12-22 09:00:00",45958,54029
"2024-12-22 10:00:00",52791,53512
"2024-12-22 11:00:00",59724,53018
"2024-12-22 12:00:00",65397,52548
"2024-12-22 13:00:00",69237,52163
"2024-12-22 14:00:00",70058,51880
"2024-12-22 15:00:00",69935,51713
"2024-12-22 16:00:00",69663,51553
"2024-12-22 17:00:00",69255,51368
