"DateTime","Players","Average Players"
"2024-12-21 00:00:00",42180,48622
"2024-12-21 01:00:00",35569,48688
"2024-12-21 02:00:00",32125,48767
"2024-12-21 03:00:00",30267,48809
"2024-12-21 04:00:00",29512,48850
"2024-12-21 05:00:00",29715,48876
"2024-12-21 06:00:00",31211,48911
"2024-12-21 07:00:00",33923,48941
"2024-12-21 08:00:00",38109,48997
"2024-12-21 09:00:00",43375,49090
"2024-12-21 10:00:00",48579,49228
"2024-12-21 11:00:00",53430,49414
"2024-12-21 12:00:00",57579,49610
"2024-12-21 13:00:00",61522,49831
"2024-12-21 14:00:00",63613,50005
"2024-12-21 15:00:00",63859,50189
"2024-12-21 16:00:00",63451,50368
"2024-12-21 17:00:00",61531,50550
"2024-12-21 18:00:00",59584,50734
"2024-12-21 19:00:00",59097,50962
"2024-12-21 20:00:00",59725,51239
"2024-12-21 21:00:00",59764,51518
"2024-12-21 22:00:00",57742,51770
"2024-12-21 23:00:00",51465,51926
"2024-12-22 00:00:00",44079,51998
"2024-12-22 01:00:00",37948,51966
"2024-12-22 02:00:00",33710,51874
"2024-12-22 03:00:00",31860,51764
"2024-12-22 04:00:00",30761,51628
"2024-12-22 05:00:00",31134,51481
"2024-12-22 06:00:00",32461,51292
"2024-12-22 07:00:00",35663,51101
"2024-12-22 08:00:00",40603,50896
"2024-12-22 09:00:00",46784,50663
"2024-12-22 10:00:00",53023,50386
"2024-12-22 11:00:00",57998,50092
"2024-12-22 12:00:00",62636,49808
"2024-12-22 13:00:00",65376,49523
"2024-12-22 14:00:00",67713,49283
"2024-12-22 15:00:00",67857,49037
"2024-12-22 16:00:00",67571,48790
"2024-12-22 17:00:00",65794,48549
"2024-12-22 18:00:00",64940,48345
"2024-12-22 19:00:00",65668,48177
"2024-12-22 20:00:00",66338,48071
"2024-12-22 21:00:00",65809,48009
"2024-12-22 22:00:00",61626,47957
"2024-12-22 23:00:00",53315,47958
"2024-12-23 00:00:00",43318,48008
"2024-12-23 01:00:00",35689,48077
"2024-12-23 02:00:00",31033,48144
"2024-12-23 03:00:00",28510,48200
"2024-12-23 04:00:00",27113,48241
"2024-12-23 05:00:00",26438,48265
"2024-12-23 06:00:00",27680,48295
"2024-12-23 07:00:00",30476,48323
"2024-12-23 08:00:00",34622,48350
"2024-12-23 09:00:00",39658,48394
"2024-12-23 10:00:00",45401,48445
"2024-12-23 11:00:00",50570,48515
"2024-12-23 12:00:00",55209,48587
"2024-12-23 13:00:00",59055,48667
"2024-12-23 14:00:00",61217,48726
"2024-12-23 15:00:00",61288,48726
"2024-12-23 16:00:00",61113,48710
"2024-12-23 17:00:00",60189,48623
"2024-12-23 18:00:00",60128,48432
"2024-12-23 19:00:00",62420,48110
"2024-12-23 20:00:00",64208,47607
"2024-12-23 21:00:00",64068,47027
"2024-12-23 22:00:00",61385,46458
"2024-12-23 23:00:00",54493,45965
"2024-12-24 00:00:00",45104,45626
"2024-12-24 01:00:00",37449,45435
"2024-12-24 02:00:00",32594,45347
"2024-12-24 03:00:00",29710,45302
"2024-12-24 04:00:00",27997,45287
"2024-12-24 05:00:00",27468,45300
"2024-12-24 06:00:00",28728,45331
"2024-12-24 07:00:00",31566,45361
"2024-12-24 08:00:00",36275,45374
"2024-12-24 09:00:00",41569,45362
"2024-12-24 10:00:00",47823,45328
"2024-12-24 11:00:00",53095,45243
"2024-12-24 12:00:00",57831,45093
"2024-12-24 13:00:00",61198,44865
"2024-12-24 14:00:00",61828,44546
"2024-12-24 15:00:00",61493,44213
"2024-12-24 16:00:00",59370,43872
"2024-12-24 17:00:00",55662,43558
"2024-12-24 18:00:00",51952,43333
"2024-12-24 19:00:00",49350,43239
"2024-12-24 20:00:00",48990,43300
"2024-12-24 21:00:00",48955,43431
"2024-12-24 22:00:00",48089,43565
"2024-12-24 23:00:00",45192,43702
"2024-12-25 00:00:00",39721,43802
"2024-12-25 01:00:00",34820,43889
"2024-12-25 02:00:00",31147,43938
"2024-12-25 03:00:00",29114,43961
"2024-12-25 04:00:00",28090,43964
"2024-12-25 05:00:00",28065,43945
"2024-12-25 06:00:00",29279,43903
"2024-12-25 07:00:00",31613,43852
"2024-12-25 08:00:00",35589,43809
"2024-12-25 09:00:00",40202,43771
"2024-12-25 10:00:00",45083,43741
"2024-12-25 11:00:00",48550,43740
"2024-12-25 12:00:00",51175,43779
"2024-12-25 13:00:00",52276,43858
"2024-12-25 14:00:00",52553,44014
"2024-12-25 15:00:00",52224,44203
"2024-12-25 16:00:00",51210,44403
"2024-12-25 17:00:00",50435,44650
"2024-12-25 18:00:00",51054,44910
"2024-12-25 19:00:00",53024,45196
"2024-12-25 20:00:00",54675,45463
"2024-12-25 21:00:00",54498,45725
"2024-12-25 22:00:00",53161,45994
"2024-12-25 23:00:00",48708,46220
"2024-12-26 00:00:00",42485,46384
"2024-12-26 01:00:00",36338,46484
"2024-12-26 02:00:00",31841,46540
"2024-12-26 03:00:00",29134,46574
"2024-12-26 04:00:00",27437,46590
"2024-12-26 05:00:00",26734,46596
"2024-12-26 06:00:00",27812,46599
"2024-12-26 07:00:00",30480,46591
"2024-12-26 08:00:00",34680,46587
"2024-12-26 09:00:00",39768,46578
"2024-12-26 10:00:00",45799,46583
"2024-12-26 11:00:00",50775,46595
"2024-12-26 12:00:00",54961,46647
"2024-12-26 13:00:00",58346,46741
"2024-12-26 14:00:00",59578,46895
"2024-12-26 15:00:00",59436,47116
"2024-12-26 16:00:00",59281,47384
"2024-12-26 17:00:00",58088,47650
"2024-12-26 18:00:00",58638,47933
"2024-12-26 19:00:00",59671,48155
"2024-12-26 20:00:00",61231,48364
"2024-12-26 21:00:00",61346,48564
"2024-12-26 22:00:00",59065,48759
"2024-12-26 23:00:00",53009,48957
"2024-12-27 00:00:00",45193,49138
"2024-12-27 01:00:00",37926,49308
"2024-12-27 02:00:00",32947,49442
"2024-12-27 03:00:00",29869,49560
"2024-12-27 04:00:00",28038,49677
"2024-12-27 05:00:00",27246,49794
"2024-12-27 06:00:00",27986,49917
"2024-12-27 07:00:00",30702,50051
"2024-12-27 08:00:00",34648,50178
"2024-12-27 09:00:00",39891,50313
"2024-12-27 10:00:00",45836,50461
"2024-12-27 11:00:00",51574,50630
