"DateTime","Players","Average Players"
"2024-12-21 00:00:00",34273,48013
"2024-12-21 01:00:00",31267,48104
"2024-12-21 02:00:00",32055,48181
"2024-12-21 03:00:00",33414,48240
"2024-12-21 04:00:00",34150,48270
"2024-12-21 05:00:00",35151,48308
"2024-12-21 06:00:00",35595,48323
"2024-12-21 07:00:00",37708,48347
"2024-12-21 08:00:00",40933,48332
"2024-12-21 09:00:00",44582,48304
"2024-12-21 10:00:00",50137,48277
"2024-12-21 11:00:00",55521,48216
"2024-12-21 12:00:00",60387,48148
"2024-12-21 13:00:00",63491,48047
"2024-12-21 14:00:00",65080,47931
"2024-12-21 15:00:00",64973,47773
"2024-12-21 16:00:00",62768,47605
"2024-12-21 17:00:00",59762,47409
"2024-12-21 18:00:00",57454,47234
"2024-12-21 19:00:00",56012,47106
"2024-12-21 20:00:00",54604,47010
"2024-12-21 21:00:00",52358,46925
"2024-12-21 22:00:00",48174,46871
"2024-12-21 23:00:00",42459,46812
"2024-12-22 00:00:00",36970,46756
"2024-12-22 01:00:00",33650,46682
"2024-12-22 02:00:00",33963,46575
"2024-12-22 03:00:00",34616,46380
"2024-12-22 04:00:00",35538,46141
"2024-12-22 05:00:00",35945,45847
"2024-12-22 06:00:00",36544,45530
"2024-12-22 07:00:00",37616,45131
"2024-12-22 08:00:00",40423,44705
"2024-12-22 09:00:00",43902,44281
"2024-12-22 10:00:00",48476,43873
"2024-12-22 11:00:00",53523,43482
"2024-12-22 12:00:00",57453,43104
"2024-12-22 13:00:00",60138,42775
"2024-12-22 14:00:00",60684,42500
"2024-12-22 15:00:00",60373,42268
"2024-12-22 16:00:00",57574,42049
"2024-12-22 17:00:00",55120,41871
"2024-12-22 18:00:00",54018,41731
"2024-12-22 19:00:00",53394,41613
"2024-12-22 20:00:00",52332,41507
"2024-12-22 21:00:00",50975,41425
"2024-12-22 22:00:00",46861,41341
"2024-12-22 23:00:00",40943,41280
"2024-12-23 00:00:00",34982,41245
"2024-12-23 01:00:00",30855,41227
"2024-12-23 02:00:00",28997,41216
"2024-12-23 03:00:00",28540,41209
"2024-12-23 04:00:00",28067,41200
"2024-12-23 05:00:00",27886,41209
"2024-12-23 06:00:00",26430,41218
"2024-12-23 07:00:00",26817,41221
"2024-12-23 08:00:00",29663,41234
"2024-12-23 09:00:00",33551,41232
"2024-12-23 10:00:00",38570,41236
"2024-12-23 11:00:00",43950,41232
"2024-12-23 12:00:00",49119,41255
"2024-12-23 13:00:00",53226,41279
"2024-12-23 14:00:00",54857,41273
"2024-12-23 15:00:00",54932,41230
"2024-12-23 16:00:00",53129,41162
"2024-12-23 17:00:00",51542,41016
"2024-12-23 18:00:00",50993,40772
"2024-12-23 19:00:00",50623,40483
"2024-12-23 20:00:00",50122,40180
"2024-12-23 21:00:00",48720,39869
"2024-12-23 22:00:00",45194,39563
"2024-12-23 23:00:00",39967,39314
"2024-12-24 00:00:00",34511,39140
"2024-12-24 01:00:00",30751,39009
"2024-12-24 02:00:00",29071,38906
"2024-12-24 03:00:00",28712,38813
"2024-12-24 04:00:00",28741,38737
"2024-12-24 05:00:00",28770,38702
"2024-12-24 06:00:00",27263,38666
"2024-12-24 07:00:00",27911,38668
"2024-12-24 08:00:00",30402,38668
"2024-12-24 09:00:00",34407,38663
"2024-12-24 10:00:00",39236,38621
"2024-12-24 11:00:00",45256,38577
"2024-12-24 12:00:00",50328,38480
"2024-12-24 13:00:00",53559,38339
"2024-12-24 14:00:00",54229,38202
"2024-12-24 15:00:00",53556,38074
"2024-12-24 16:00:00",49616,37956
"2024-12-24 17:00:00",45394,37911
"2024-12-24 18:00:00",43600,37959
"2024-12-24 19:00:00",42814,38066
"2024-12-24 20:00:00",42060,38197
"2024-12-24 21:00:00",40726,38345
"2024-12-24 22:00:00",38612,38497
"2024-12-24 23:00:00",35339,38623
"2024-12-25 00:00:00",30945,38707
"2024-12-25 01:00:00",27915,38790
"2024-12-25 02:00:00",26500,38859
"2024-12-25 03:00:00",26488,38919
"2024-12-25 04:00:00",27630,38974
"2024-12-25 05:00:00",27600,38991
"2024-12-25 06:00:00",27088,39014
"2024-12-25 07:00:00",27722,39017
"2024-12-25 08:00:00",30062,39016
"2024-12-25 09:00:00",33084,39014
"2024-12-25 10:00:00",37773,39032
"2024-12-25 11:00:00",42367,39043
"2024-12-25 12:00:00",46331,39071
"2024-12-25 13:00:00",49786,39121
"2024-12-25 14:00:00",50806,39193
"2024-12-25 15:00:00",50692,39286
"2024-12-25 16:00:00",49099,39397
"2024-12-25 17:00:00",47627,39521
"2024-12-25 18:00:00",47550,39647
"2024-12-25 19:00:00",47508,39760
"2024-12-25 20:00:00",47252,39863
"2024-12-25 21:00:00",45824,39958
"2024-12-25 22:00:00",42786,40045
"2024-12-25 23:00:00",38190,40109
"2024-12-26 00:00:00",33652,40181
"2024-12-26 01:00:00",30257,40239
"2024-12-26 02:00:00",28521,40292
"2024-12-26 03:00:00",28214,40341
"2024-12-26 04:00:00",28320,40384
"2024-12-26 05:00:00",28289,40421
"2024-12-26 06:00:00",27242,40455
"2024-12-26 07:00:00",27771,40498
"2024-12-26 08:00:00",30256,40553
"2024-12-26 09:00:00",33888,40625
"2024-12-26 10:00:00",38623,40704
"2024-12-26 11:00:00",43873,40808
"2024-12-26 12:00:00",48486,40945
"2024-12-26 13:00:00",52485,41126
"2024-12-26 14:00:00",54028,41319
"2024-12-26 15:00:00",54022,41520
"2024-12-26 16:00:00",52302,41725
"2024-12-26 17:00:00",50548,41933
"2024-12-26 18:00:00",49985,42096
"2024-12-26 19:00:00",49555,42222
