"DateTime","Players","Average Players"
"2024-12-21 00:00:00",27949,31768
"2024-12-21 01:00:00",31219,31831
"2024-12-21 02:00:00",35251,31867
"2024-12-21 03:00:00",36718,31895
"2024-12-21 04:00:00",36239,31951
"2024-12-21 05:00:00",34740,32018
"2024-12-21 06:00:00",30445,32081
"2024-12-21 07:00:00",27085,32209
"2024-12-21 08:00:00",24936,32307
"2024-12-21 09:00:00",22973,32381
"2024-12-21 10:00:00",20750,32416
"2024-12-21 11:00:00",26049,32393
"2024-12-21 12:00:00",33848,32349
"2024-12-21 13:00:00",39638,32280
"2024-12-21 14:00:00",41359,32190
"2024-12-21 15:00:00",41082,32053
"2024-12-21 16:00:00",37639,31843
"2024-12-21 17:00:00",33816,31584
"2024-12-21 18:00:00",31369,31393
"2024-12-21 19:00:00",29730,31280
"2024-12-21 20:00:00",29932,31269
"2024-12-21 21:00:00",29940,31299
"2024-12-21 22:00:00",30038,31341
"2024-12-21 23:00:00",29685,31384
"2024-12-22 00:00:00",29549,31444
"2024-12-22 01:00:00",32035,31514
"2024-12-22 02:00:00",35802,31568
"2024-12-22 03:00:00",37948,31606
"2024-12-22 04:00:00",37759,31567
"2024-12-22 05:00:00",36308,31483
"2024-12-22 06:00:00",33692,31276
"2024-12-22 07:00:00",29685,30915
"2024-12-22 08:00:00",27012,30503
"2024-12-22 09:00:00",24175,30102
"2024-12-22 10:00:00",20402,29788
"2024-12-22 11:00:00",24933,29617
"2024-12-22 12:00:00",31938,29456
"2024-12-22 13:00:00",37172,29283
"2024-12-22 14:00:00",37723,29129
"2024-12-22 15:00:00",35741,29006
"2024-12-22 16:00:00",31199,28927
"2024-12-22 17:00:00",29132,28863
"2024-12-22 18:00:00",28642,28802
"2024-12-22 19:00:00",29486,28733
"2024-12-22 20:00:00",30724,28680
"2024-12-22 21:00:00",31004,28601
"2024-12-22 22:00:00",31171,28521
"2024-12-22 23:00:00",31102,28437
"2024-12-23 00:00:00",31256,28336
"2024-12-23 01:00:00",33343,28250
"2024-12-23 02:00:00",36673,28186
"2024-12-23 03:00:00",36911,28138
"2024-12-23 04:00:00",35583,28142
"2024-12-23 05:00:00",30959,28168
"2024-12-23 06:00:00",24506,28230
"2024-12-23 07:00:00",19190,28278
"2024-12-23 08:00:00",16795,28324
"2024-12-23 09:00:00",16204,28354
"2024-12-23 10:00:00",16060,28366
"2024-12-23 11:00:00",20866,28363
"2024-12-23 12:00:00",27571,28346
"2024-12-23 13:00:00",33379,28324
"2024-12-23 14:00:00",34806,28337
"2024-12-23 15:00:00",33990,28345
"2024-12-23 16:00:00",29751,28359
"2024-12-23 17:00:00",27660,28403
"2024-12-23 18:00:00",26798,28438
"2024-12-23 19:00:00",27992,28490
"2024-12-23 20:00:00",28545,28488
"2024-12-23 21:00:00",28768,28487
"2024-12-23 22:00:00",28796,28493
"2024-12-23 23:00:00",28282,28492
"2024-12-24 00:00:00",28830,28483
"2024-12-24 01:00:00",31499,28383
"2024-12-24 02:00:00",35389,28124
"2024-12-24 03:00:00",37055,27750
"2024-12-24 04:00:00",36539,27307
"2024-12-24 05:00:00",33189,26891
"2024-12-24 06:00:00",26522,26599
"2024-12-24 07:00:00",21159,26590
"2024-12-24 08:00:00",18168,26772
"2024-12-24 09:00:00",16852,26962
"2024-12-24 10:00:00",16306,27081
"2024-12-24 11:00:00",20785,27125
"2024-12-24 12:00:00",27294,27149
"2024-12-24 13:00:00",33969,27159
"2024-12-24 14:00:00",35154,27124
"2024-12-24 15:00:00",34486,27084
"2024-12-24 16:00:00",31036,27038
"2024-12-24 17:00:00",28780,27004
"2024-12-24 18:00:00",28304,27064
"2024-12-24 19:00:00",28163,27165
"2024-12-24 20:00:00",28765,27297
"2024-12-24 21:00:00",29172,27463
"2024-12-24 22:00:00",29112,27635
"2024-12-24 23:00:00",28309,27822
"2024-12-25 00:00:00",26394,28027
"2024-12-25 01:00:00",24729,28278
"2024-12-25 02:00:00",25394,28639
"2024-12-25 03:00:00",25054,29037
"2024-12-25 04:00:00",25088,29458
"2024-12-25 05:00:00",25038,29838
"2024-12-25 06:00:00",25977,30119
"2024-12-25 07:00:00",25823,30138
"2024-12-25 08:00:00",23165,29984
"2024-12-25 09:00:00",19989,29838
"2024-12-25 10:00:00",17454,29743
"2024-12-25 11:00:00",21426,29719
"2024-12-25 12:00:00",27435,29701
"2024-12-25 13:00:00",32917,29687
"2024-12-25 14:00:00",33952,29691
"2024-12-25 15:00:00",32994,29708
"2024-12-25 16:00:00",29909,29750
"2024-12-25 17:00:00",30140,29800
"2024-12-25 18:00:00",30988,29769
"2024-12-25 19:00:00",31694,29692
"2024-12-25 20:00:00",33231,29634
"2024-12-25 21:00:00",33810,29570
"2024-12-25 22:00:00",34244,29515
"2024-12-25 23:00:00",34329,29453
"2024-12-26 00:00:00",34372,29399
"2024-12-26 01:00:00",36304,29369
"2024-12-26 02:00:00",38397,29375
"2024-12-26 03:00:00",38678,29446
"2024-12-26 04:00:00",37121,29531
"2024-12-26 05:00:00",33103,29616
"2024-12-26 06:00:00",25915,29641
"2024-12-26 07:00:00",20837,29664
"2024-12-26 08:00:00",18693,29690
"2024-12-26 09:00:00",17253,29695
"2024-12-26 10:00:00",16790,29734
"2024-12-26 11:00:00",21011,29797
"2024-12-26 12:00:00",27354,29891
"2024-12-26 13:00:00",33374,30031
"2024-12-26 14:00:00",34823,30186
"2024-12-26 15:00:00",34522,30339
"2024-12-26 16:00:00",31199,30497
"2024-12-26 17:00:00",28898,30650
"2024-12-26 18:00:00",28260,30755
"2024-12-26 19:00:00",29315,30831
"2024-12-26 20:00:00",30616,30875
"2024-12-26 21:00:00",31344,30914
"2024-12-26 22:00:00",31375,30935
"2024-12-26 23:00:00",31252,30954
"2024-12-27 00:00:00",31246,30956
"2024-12-27 01:00:00",33883,30961
"2024-12-27 02:00:00",37678,30998
"2024-12-27 03:00:00",38617,31063
"2024-12-27 04:00:00",37873,31155
"2024-12-27 05:00:00",33796,31250
"2024-12-27 06:00:00",27582,31399
"2024-12-27 07:00:00",22529,31609
"2024-12-27 08:00:00",19377,31845
"2024-12-27 09:00:00",18535,32108
"2024-12-27 10:00:00",18677,32331
"2024-12-27 11:00:00",23772,32464
"2024-12-27 12:00:00",31358,32619
"2024-12-27 13:00:00",37724,32769
"2024-12-27 14:00:00",38979,32896
"2024-12-27 15:00:00",38898,33046
"2024-12-27 16:00:00",36021,33193
"2024-12-27 17:00:00",32668,33314
"2024-12-27 18:00:00",31132,33416
"2024-12-27 19:00:00",31273,33499
"2024-12-27 20:00:00",32415,33547
"2024-12-27 21:00:00",32736,33600
"2024-12-27 22:00:00",32756,33651
"2024-12-27 23:00:00",32153,33700
"2024-12-28 00:00:00",32056,33745
"2024-12-28 01:00:00",35279,33799
"2024-12-28 02:00:00",39727,33841
"2024-12-28 03:00:00",41273,33892
"2024-12-28 04:00:00",40676,33951
"2024-12-28 05:00:00",37965,34034
"2024-12-28 06:00:00",33601,34160
"2024-12-28 07:00:00",29602,34298
"2024-12-28 08:00:00",27169,34430
"2024-12-28 09:00:00",24952,34530
"2024-12-28 10:00:00",22131,34577
"2024-12-28 11:00:00",27541,34599
"2024-12-28 12:00:00",34894,34581
"2024-12-28 13:00:00",40597,34534
"2024-12-28 14:00:00",42505,34462
"2024-12-28 15:00:00",42185,34346
"2024-12-28 16:00:00",38819,34204
"2024-12-28 17:00:00",35133,34048
"2024-12-28 18:00:00",33261,33953
"2024-12-28 19:00:00",32364,33911
"2024-12-28 20:00:00",33793,33957
"2024-12-28 21:00:00",34049,34005
"2024-12-28 22:00:00",34146,34061
"2024-12-28 23:00:00",33432,34115
"2024-12-29 00:00:00",33461,34190
"2024-12-29 01:00:00",36116,34241
"2024-12-29 02:00:00",40636,34273
"2024-12-29 03:00:00",42387,34276
"2024-12-29 04:00:00",42120,34232
"2024-12-29 05:00:00",40168,34169
"2024-12-29 06:00:00",35821,34037
"2024-12-29 07:00:00",31392,33824
"2024-12-29 08:00:00",28383,33584
"2024-12-29 09:00:00",25416,33342
"2024-12-29 10:00:00",21657,33151
"2024-12-29 11:00:00",25899,33035
"2024-12-29 12:00:00",32476,32923
"2024-12-29 13:00:00",37167,32799
"2024-12-29 14:00:00",37744,32687
"2024-12-29 15:00:00",36677,32584
"2024-12-29 16:00:00",32964,32480
"2024-12-29 17:00:00",31340,32402
"2024-12-29 18:00:00",31506,32330
"2024-12-29 19:00:00",33348,32291
"2024-12-29 20:00:00",34859,32229
"2024-12-29 21:00:00",35369,32178
"2024-12-29 22:00:00",35439,32130
"2024-12-29 23:00:00",35350,32087
"2024-12-30 00:00:00",34791,32024
"2024-12-30 01:00:00",36821,31980
"2024-12-30 02:00:00",40293,31934
"2024-12-30 03:00:00",40382,31901
"2024-12-30 04:00:00",39219,31890
"2024-12-30 05:00:00",34924,31866
"2024-12-30 06:00:00",28065,31831
"2024-12-30 07:00:00",22906,31807
"2024-12-30 08:00:00",20077,31779
"2024-12-30 09:00:00",19123,31772
"2024-12-30 10:00:00",18322,31787
"2024-12-30 11:00:00",23000,31794
"2024-12-30 12:00:00",29542,31804
"2024-12-30 13:00:00",35185,31860
"2024-12-30 14:00:00",36347,31932
"2024-12-30 15:00:00",35439,32075
"2024-12-30 16:00:00",31753,32246
"2024-12-30 17:00:00",29553,32441
"2024-12-30 18:00:00",29660,32636
"2024-12-30 19:00:00",30721,32756
"2024-12-30 20:00:00",32477,32771
"2024-12-30 21:00:00",33064,32726
"2024-12-30 22:00:00",33034,32654
"2024-12-30 23:00:00",32504,32575
"2024-12-31 00:00:00",32861,32504
"2024-12-31 01:00:00",35242,32395
"2024-12-31 02:00:00",39876,32221
"2024-12-31 03:00:00",41124,31944
"2024-12-31 04:00:00",40545,31647
"2024-12-31 05:00:00",37003,31374
"2024-12-31 06:00:00",30871,31275
"2024-12-31 07:00:00",25570,31465
"2024-12-31 08:00:00",22599,31800
"2024-12-31 09:00:00",21094,32152
"2024-12-31 10:00:00",19867,32411
"2024-12-31 11:00:00",24635,32557
"2024-12-31 12:00:00",32417,32635
"2024-12-31 13:00:00",38361,32670
"2024-12-31 14:00:00",41942,32686
"2024-12-31 15:00:00",42070,32625
"2024-12-31 16:00:00",39508,32542
"2024-12-31 17:00:00",37402,32422
"2024-12-31 18:00:00",35247,32297
"2024-12-31 19:00:00",32497,32199
"2024-12-31 20:00:00",32061,32193
"2024-12-31 21:00:00",31787,32240
"2024-12-31 22:00:00",31708,32324
