"DateTime","Players","Average Players"
"2024-12-21 00:00:00",13312,16504
"2024-12-21 01:00:00",14501,16582
"2024-12-21 02:00:00",17323,16591
"2024-12-21 03:00:00",19121,16581
"2024-12-21 04:00:00",19389,16600
"2024-12-21 05:00:00",18828,16603
"2024-12-21 06:00:00",16849,16596
"2024-12-21 07:00:00",13875,16616
"2024-12-21 08:00:00",11185,16647
"2024-12-21 09:00:00",8933,16683
"2024-12-21 10:00:00",8224,16718
"2024-12-21 11:00:00",10698,16752
"2024-12-21 12:00:00",14728,16804
"2024-12-21 13:00:00",18300,16852
"2024-12-21 14:00:00",19807,16862
"2024-12-21 15:00:00",19733,16823
"2024-12-21 16:00:00",18469,16748
"2024-12-21 17:00:00",17317,16633
"2024-12-21 18:00:00",16937,16558
"2024-12-21 19:00:00",18653,16539
"2024-12-21 20:00:00",20548,16568
"2024-12-21 21:00:00",21075,16609
"2024-12-21 22:00:00",20431,16632
"2024-12-21 23:00:00",17866,16649
"2024-12-22 00:00:00",15255,16656
"2024-12-22 01:00:00",14733,16657
"2024-12-22 02:00:00",17040,16711
"2024-12-22 03:00:00",19499,16761
"2024-12-22 04:00:00",19406,16731
"2024-12-22 05:00:00",18643,16699
"2024-12-22 06:00:00",17425,16637
"2024-12-22 07:00:00",14778,16507
"2024-12-22 08:00:00",12308,16358
"2024-12-22 09:00:00",10033,16202
"2024-12-22 10:00:00",9246,16061
"2024-12-22 11:00:00",12042,15946
"2024-12-22 12:00:00",15873,15812
"2024-12-22 13:00:00",18444,15660
"2024-12-22 14:00:00",18778,15526
"2024-12-22 15:00:00",17828,15392
"2024-12-22 16:00:00",15630,15265
"2024-12-22 17:00:00",15463,15160
"2024-12-22 18:00:00",16421,15052
"2024-12-22 19:00:00",19241,14960
"2024-12-22 20:00:00",21398,14844
"2024-12-22 21:00:00",21524,14734
"2024-12-22 22:00:00",20826,14632
"2024-12-22 23:00:00",17963,14546
"2024-12-23 00:00:00",15269,14481
"2024-12-23 01:00:00",16098,14422
"2024-12-23 02:00:00",18266,14337
"2024-12-23 03:00:00",18756,14230
"2024-12-23 04:00:00",18619,14160
"2024-12-23 05:00:00",17084,14096
"2024-12-23 06:00:00",14117,14064
"2024-12-23 07:00:00",10979,14067
"2024-12-23 08:00:00",8333,14054
"2024-12-23 09:00:00",6404,14039
"2024-12-23 10:00:00",6267,14030
"2024-12-23 11:00:00",8551,14004
"2024-12-23 12:00:00",11990,13972
"2024-12-23 13:00:00",15047,13951
"2024-12-23 14:00:00",15445,13929
"2024-12-23 15:00:00",14715,13926
"2024-12-23 16:00:00",13011,13938
"2024-12-23 17:00:00",12713,13927
"2024-12-23 18:00:00",13975,13873
"2024-12-23 19:00:00",16146,13743
"2024-12-23 20:00:00",18493,13544
"2024-12-23 21:00:00",18830,13276
"2024-12-23 22:00:00",18530,13011
"2024-12-23 23:00:00",16197,12756
"2024-12-24 00:00:00",13584,12557
"2024-12-24 01:00:00",13712,12381
"2024-12-24 02:00:00",15469,12167
"2024-12-24 03:00:00",16922,11920
"2024-12-24 04:00:00",16997,11666
"2024-12-24 05:00:00",16408,11447
"2024-12-24 06:00:00",14421,11258
"2024-12-24 07:00:00",10883,11138
"2024-12-24 08:00:00",8166,11098
"2024-12-24 09:00:00",6360,11108
"2024-12-24 10:00:00",5821,11124
"2024-12-24 11:00:00",7978,11157
"2024-12-24 12:00:00",11699,11205
"2024-12-24 13:00:00",14710,11230
"2024-12-24 14:00:00",15611,11245
"2024-12-24 15:00:00",15231,11238
"2024-12-24 16:00:00",12944,11217
"2024-12-24 17:00:00",11494,11192
"2024-12-24 18:00:00",10807,11214
"2024-12-24 19:00:00",11143,11301
"2024-12-24 20:00:00",11640,11424
"2024-12-24 21:00:00",11989,11577
"2024-12-24 22:00:00",11884,11750
"2024-12-24 23:00:00",10992,11933
"2024-12-25 00:00:00",9109,12103
"2024-12-25 01:00:00",8214,12267
"2024-12-25 02:00:00",9007,12460
"2024-12-25 03:00:00",10218,12679
"2024-12-25 04:00:00",11118,12899
"2024-12-25 05:00:00",11164,13098
"2024-12-25 06:00:00",11099,13285
"2024-12-25 07:00:00",9720,13394
"2024-12-25 08:00:00",8324,13461
"2024-12-25 09:00:00",6743,13493
"2024-12-25 10:00:00",6667,13511
"2024-12-25 11:00:00",9215,13505
"2024-12-25 12:00:00",12313,13478
"2024-12-25 13:00:00",14979,13465
"2024-12-25 14:00:00",15231,13461
"2024-12-25 15:00:00",14561,13472
"2024-12-25 16:00:00",12311,13497
"2024-12-25 17:00:00",12448,13549
"2024-12-25 18:00:00",13795,13623
"2024-12-25 19:00:00",15427,13695
"2024-12-25 20:00:00",16795,13792
"2024-12-25 21:00:00",17674,13918
"2024-12-25 22:00:00",17682,14047
"2024-12-25 23:00:00",16362,14160
"2024-12-26 00:00:00",14509,14256
"2024-12-26 01:00:00",14569,14353
"2024-12-26 02:00:00",16196,14469
"2024-12-26 03:00:00",17344,14584
"2024-12-26 04:00:00",17595,14688
"2024-12-26 05:00:00",17020,14782
"2024-12-26 06:00:00",14437,14844
"2024-12-26 07:00:00",11696,14903
"2024-12-26 08:00:00",9292,14931
"2024-12-26 09:00:00",7230,14947
"2024-12-26 10:00:00",6402,14958
"2024-12-26 11:00:00",8460,14974
"2024-12-26 12:00:00",12004,14995
"2024-12-26 13:00:00",15058,15030
"2024-12-26 14:00:00",15798,15082
"2024-12-26 15:00:00",15496,15163
"2024-12-26 16:00:00",13744,15257
"2024-12-26 17:00:00",14125,15362
"2024-12-26 18:00:00",15147,15414
"2024-12-26 19:00:00",17349,15470
"2024-12-26 20:00:00",19424,15536
"2024-12-26 21:00:00",20333,15598
"2024-12-26 22:00:00",19974,15642
"2024-12-26 23:00:00",18176,15686
"2024-12-27 00:00:00",16119,15723
"2024-12-27 01:00:00",16537,15747
"2024-12-27 02:00:00",18139,15768
"2024-12-27 03:00:00",19103,15822
"2024-12-27 04:00:00",19154,15905
"2024-12-27 05:00:00",18174,15990
"2024-12-27 06:00:00",15791,16100
"2024-12-27 07:00:00",12341,16214
"2024-12-27 08:00:00",9702,16318
"2024-12-27 09:00:00",7644,16412
"2024-12-27 10:00:00",7091,16486
"2024-12-27 11:00:00",9196,16536
"2024-12-27 12:00:00",13066,16596
"2024-12-27 13:00:00",16516,16667
"2024-12-27 14:00:00",18030,16775
"2024-12-27 15:00:00",18023,16873
"2024-12-27 16:00:00",16504,16967
"2024-12-27 17:00:00",15413,17052
"2024-12-27 18:00:00",16429,17119
"2024-12-27 19:00:00",18740,17164
"2024-12-27 20:00:00",20688,17200
"2024-12-27 21:00:00",21144,17252
"2024-12-27 22:00:00",20908,17316
"2024-12-27 23:00:00",18935,17377
"2024-12-28 00:00:00",16396,17436
"2024-12-28 01:00:00",16736,17485
"2024-12-28 02:00:00",19351,17526
"2024-12-28 03:00:00",21240,17559
"2024-12-28 04:00:00",21471,17601
"2024-12-28 05:00:00",21222,17657
"2024-12-28 06:00:00",19111,17719
"2024-12-28 07:00:00",15457,17786
"2024-12-28 08:00:00",12504,17831
"2024-12-28 09:00:00",9782,17894
"2024-12-28 10:00:00",8496,17948
"2024-12-28 11:00:00",10807,17996
"2024-12-28 12:00:00",14884,18044
"2024-12-28 13:00:00",19298,18097
"2024-12-28 14:00:00",20404,18096
"2024-12-28 15:00:00",20208,18079
"2024-12-28 16:00:00",18840,18053
"2024-12-28 17:00:00",17183,17994
"2024-12-28 18:00:00",17477,17984
"2024-12-28 19:00:00",19579,18026
"2024-12-28 20:00:00",22140,18097
"2024-12-28 21:00:00",22920,18173
"2024-12-28 22:00:00",22664,18241
"2024-12-28 23:00:00",20785,18314
"2024-12-29 00:00:00",17926,18355
"2024-12-29 01:00:00",17731,18399
"2024-12-29 02:00:00",19840,18475
"2024-12-29 03:00:00",21903,18555
"2024-12-29 04:00:00",22375,18582
"2024-12-29 05:00:00",22192,18591
"2024-12-29 06:00:00",20316,18551
"2024-12-29 07:00:00",16052,18465
"2024-12-29 08:00:00",13889,18410
"2024-12-29 09:00:00",11081,18317
"2024-12-29 10:00:00",9556,18243
"2024-12-29 11:00:00",11827,18198
"2024-12-29 12:00:00",15697,18148
"2024-12-29 13:00:00",18525,18061
"2024-12-29 14:00:00",19181,17974
"2024-12-29 15:00:00",18611,17883
"2024-12-29 16:00:00",16388,17796
"2024-12-29 17:00:00",16526,17758
"2024-12-29 18:00:00",18565,17733
"2024-12-29 19:00:00",21410,17694
"2024-12-29 20:00:00",23979,17650
"2024-12-29 21:00:00",24555,17618
"2024-12-29 22:00:00",24391,17583
"2024-12-29 23:00:00",21628,17534
"2024-12-30 00:00:00",19003,17512
"2024-12-30 01:00:00",20082,17508
"2024-12-30 02:00:00",22254,17488
"2024-12-30 03:00:00",22493,17458
"2024-12-30 04:00:00",22320,17439
"2024-12-30 05:00:00",20458,17403
"2024-12-30 06:00:00",17290,17376
"2024-12-30 07:00:00",13708,17361
"2024-12-30 08:00:00",10331,17321
"2024-12-30 09:00:00",8211,17295
"2024-12-30 10:00:00",7635,17275
"2024-12-30 11:00:00",9822,17227
"2024-12-30 12:00:00",13081,17157
"2024-12-30 13:00:00",16079,17103
"2024-12-30 14:00:00",16747,17059
"2024-12-30 15:00:00",16642,17054
"2024-12-30 16:00:00",15338,17064
"2024-12-30 17:00:00",15212,17105
"2024-12-30 18:00:00",16486,17088
"2024-12-30 19:00:00",19114,16979
"2024-12-30 20:00:00",22183,16769
"2024-12-30 21:00:00",22573,16480
"2024-12-30 22:00:00",22303,16196
"2024-12-30 23:00:00",20358,15934
"2024-12-31 00:00:00",17803,15718
"2024-12-31 01:00:00",18286,15573
"2024-12-31 02:00:00",20862,15439
"2024-12-31 03:00:00",21800,15268
"2024-12-31 04:00:00",21726,15102
"2024-12-31 05:00:00",20787,14962
"2024-12-31 06:00:00",17718,14849
"2024-12-31 07:00:00",13826,14817
"2024-12-31 08:00:00",10643,14888
"2024-12-31 09:00:00",8332,14985
"2024-12-31 10:00:00",6805,15065
"2024-12-31 11:00:00",8518,15124
"2024-12-31 12:00:00",12261,15197
"2024-12-31 13:00:00",15615,15269
"2024-12-31 14:00:00",17418,15335
"2024-12-31 15:00:00",17463,15383
"2024-12-31 16:00:00",17365,15439
"2024-12-31 17:00:00",15550,15420
"2024-12-31 18:00:00",13690,15395
"2024-12-31 19:00:00",12488,15429
"2024-12-31 20:00:00",12805,15535
"2024-12-31 21:00:00",13404,15691
"2024-12-31 22:00:00",13492,15845
"2024-12-31 23:00:00",13123,16005
"2025-01-01 00:00:00",13391,16155
"2025-01-01 01:00:00",14046,16251
"2025-01-01 02:00:00",14928,16348
"2025-01-01 03:00:00",16003,16464
"2025-01-01 04:00:00",16359,16558
"2025-01-01 05:00:00",16323,16646
"2025-01-01 06:00:00",16317,16732
"2025-01-01 07:00:00",16108,16785
"2025-01-01 08:00:00",13985,16756
"2025-01-01 09:00:00",11529,16707
"2025-01-01 10:00:00",9530,16655
"2025-01-01 11:00:00",11505,16635
"2025-01-01 12:00:00",15030,16615
"2025-01-01 13:00:00",17602,16588
"2025-01-01 14:00:00",18608,16564
"2025-01-01 15:00:00",18352,16535
"2025-01-01 16:00:00",16348,16479
"2025-01-01 17:00:00",16029,16470
"2025-01-01 18:00:00",18539,16530
"2025-01-01 19:00:00",21579,16635
"2025-01-01 20:00:00",23758,16769
"2025-01-01 21:00:00",24163,16909
"2025-01-01 22:00:00",23661,17036
"2025-01-01 23:00:00",21379,17135
"2025-01-02 00:00:00",19547,17190
"2025-01-02 01:00:00",21265,17245
"2025-01-02 02:00:00",22890,17306
"2025-01-02 03:00:00",22896,17356
"2025-01-02 04:00:00",22541,17414
"2025-01-02 05:00:00",20691,17450
"2025-01-02 06:00:00",17224,17436
"2025-01-02 07:00:00",13250,17368
"2025-01-02 08:00:00",10398,17310
"2025-01-02 09:00:00",8118,17252
"2025-01-02 10:00:00",7142,17216
"2025-01-02 11:00:00",9215,17183
"2025-01-02 12:00:00",12938,17160
"2025-01-02 13:00:00",16120,17160
"2025-01-02 14:00:00",17092,17171
"2025-01-02 15:00:00",16945,17207
"2025-01-02 16:00:00",15871,17261
"2025-01-02 17:00:00",15451,17316
"2025-01-02 18:00:00",17037,17336
"2025-01-02 19:00:00",19930,17321
"2025-01-02 20:00:00",22444,17311
"2025-01-02 21:00:00",22643,17310
"2025-01-02 22:00:00",22236,17319
