"DateTime","Players","Average Players"
"2023-02-26 00:00:00",3940,2502
"2023-02-27 00:00:00",23435,15465
"2023-02-28 00:00:00",22681,15061
"2023-03-01 00:00:00",19312,13701
"2023-03-02 00:00:00",20018,12547
"2023-03-03 00:00:00",16677,11113
"2023-03-04 00:00:00",16072,11670
"2023-03-05 00:00:00",14941,10175
"2023-03-06 00:00:00",11675,7392
"2023-03-07 00:00:00",10908,6796
"2023-03-08 00:00:00",12725,6865
"2023-03-09 00:00:00",14879,10207
"2023-03-10 00:00:00",12516,8054
"2023-03-11 00:00:00",11267,8386
"2023-03-12 00:00:00",10104,7160
"2023-03-13 00:00:00",8476,5392
"2023-03-14 00:00:00",8255,4980
"2023-03-15 00:00:00",8198,5123
"2023-03-16 00:00:00",16780,10418
"2023-03-17 00:00:00",13089,8552
"2023-03-18 00:00:00",12053,8976
"2023-03-19 00:00:00",10871,7810
"2023-03-20 00:00:00",10286,6497
"2023-03-21 00:00:00",9558,6274
"2023-03-22 00:00:00",8569,5725
"2023-03-23 00:00:00",19456,12199
"2023-03-24 00:00:00",14486,9687
"2023-03-25 00:00:00",13028,9917
"2023-03-26 00:00:00",12065,8450
"2023-03-27 00:00:00",10244,6622
"2023-03-28 00:00:00",10548,6546
"2023-03-29 00:00:00",9480,6293
"2023-03-30 00:00:00",14048,8631
"2023-03-31 00:00:00",17187,8676
"2023-04-01 00:00:00",12711,9619
"2023-04-02 00:00:00",11082,7865
"2023-04-03 00:00:00",10304,6304
"2023-04-04 00:00:00",10790,6608
"2023-04-05 00:00:00",9092,6602
"2023-04-06 00:00:00",30225,18150
"2023-04-07 00:00:00",24968,14064
"2023-04-08 00:00:00",18272,13585
"2023-04-09 00:00:00",14702,10569
"2023-04-10 00:00:00",12907,7845
"2023-04-11 00:00:00",11697,7140
"2023-04-12 00:00:00",10891,6785
"2023-04-13 00:00:00",11783,7004
"2023-04-14 00:00:00",11701,7163
"2023-04-15 00:00:00",10519,7816
"2023-04-16 00:00:00",9418,6671
"2023-04-17 00:00:00",8561,5241
"2023-04-18 00:00:00",8502,5337
"2023-04-19 00:00:00",8774,5503
"2023-04-20 00:00:00",26915,15926
"2023-04-21 00:00:00",21197,12275
"2023-04-22 00:00:00",16526,12423
"2023-04-23 00:00:00",14007,9877
"2023-04-24 00:00:00",13271,7955
"2023-04-25 00:00:00",13665,8206
"2023-04-26 00:00:00",11427,6898
"2023-04-27 00:00:00",12505,7154
"2023-04-28 00:00:00",12432,7626
"2023-04-29 00:00:00",10709,7829
"2023-04-30 00:00:00",9510,7047
"2023-05-01 00:00:00",8939,6212
"2023-05-02 00:00:00",8615,5659
"2023-05-03 00:00:00",8394,5587
"2023-05-04 00:00:00",16669,8818
"2023-05-05 00:00:00",9296,6639
"2023-05-06 00:00:00",9450,6309
"2023-05-07 00:00:00",8246,5877
"2023-05-08 00:00:00",8948,5370
"2023-05-09 00:00:00",8272,4885
"2023-05-10 00:00:00",7914,4743
"2023-05-11 00:00:00",9627,5767
"2023-05-12 00:00:00",9225,5783
"2023-05-13 00:00:00",8626,6313
"2023-05-14 00:00:00",7804,5542
"2023-05-15 00:00:00",7477,4557
"2023-05-16 00:00:00",7859,4710
"2023-05-17 00:00:00",8309,5167
"2023-05-18 00:00:00",11580,5889
"2023-05-19 00:00:00",7527,4688
"2023-05-20 00:00:00",6464,4848
"2023-05-21 00:00:00",6036,4141
"2023-05-22 00:00:00",5242,3271
"2023-05-23 00:00:00",5246,3250
"2023-05-24 00:00:00",5061,3219
"2023-05-25 00:00:00",7832,4839
"2023-05-26 00:00:00",7015,4454
"2023-05-27 00:00:00",6358,4666
"2023-05-28 00:00:00",5788,4068
"2023-05-29 00:00:00",5041,3513
"2023-05-30 00:00:00",5233,3277
"2023-05-31 00:00:00",5363,3288
"2023-06-01 00:00:00",24808,14198
"2023-06-02 00:00:00",12296,8004
"2023-06-03 00:00:00",9483,6880
"2023-06-04 00:00:00",7820,5436
"2023-06-05 00:00:00",6742,4508
"2023-06-06 00:00:00",6198,4366
"2023-06-07 00:00:00",5934,3851
"2023-06-08 00:00:00",21032,11637
"2023-06-09 00:00:00",12132,7736
"2023-06-10 00:00:00",9349,6869
"2023-06-11 00:00:00",8438,5779
"2023-06-12 00:00:00",7503,4648
"2023-06-13 00:00:00",7304,4399
"2023-06-14 00:00:00",7055,4405
"2023-06-15 00:00:00",25364,14635
"2023-06-16 00:00:00",13201,8540
"2023-06-17 00:00:00",10579,7803
"2023-06-18 00:00:00",9127,6392
"2023-06-19 00:00:00",7877,5002
"2023-06-20 00:00:00",7755,4825
"2023-06-21 00:00:00",7899,4911
"2023-06-22 00:00:00",9608,6001
"2023-06-23 00:00:00",8247,5543
"2023-06-24 00:00:00",7322,5323
"2023-06-25 00:00:00",6580,4851
"2023-06-26 00:00:00",6860,4380
"2023-06-27 00:00:00",6322,4182
"2023-06-28 00:00:00",7249,4511
"2023-06-29 00:00:00",25830,12866
"2023-06-30 00:00:00",13748,9019
"2023-07-01 00:00:00",11469,8382
"2023-07-02 00:00:00",10124,7162
"2023-07-03 00:00:00",9697,6005
"2023-07-04 00:00:00",8895,5754
"2023-07-05 00:00:00",8556,5577
"2023-07-06 00:00:00",18944,9541
"2023-07-07 00:00:00",11543,7465
"2023-07-08 00:00:00",9979,7198
"2023-07-09 00:00:00",9026,6393
"2023-07-10 00:00:00",8627,5424
"2023-07-11 00:00:00",8236,5206
"2023-07-12 00:00:00",8184,5121
"2023-07-13 00:00:00",21484,11412
"2023-07-14 00:00:00",12418,8242
"2023-07-15 00:00:00",10120,7517
"2023-07-16 00:00:00",8921,6545
"2023-07-17 00:00:00",9636,5889
"2023-07-18 00:00:00",8898,5778
"2023-07-19 00:00:00",8604,5479
"2023-07-20 00:00:00",21586,10899
"2023-07-21 00:00:00",11524,7694
"2023-07-22 00:00:00",9537,7023
"2023-07-23 00:00:00",8387,6209
"2023-07-24 00:00:00",9608,6104
"2023-07-25 00:00:00",8312,5565
"2023-07-26 00:00:00",6926,4798
"2023-07-27 00:00:00",29517,15974
"2023-07-28 00:00:00",14812,10800
"2023-07-29 00:00:00",11851,8994
"2023-07-30 00:00:00",10459,7809
"2023-07-31 00:00:00",9556,6665
"2023-08-01 00:00:00",8808,6154
"2023-08-02 00:00:00",8676,5965
"2023-08-03 00:00:00",11189,6725
"2023-08-04 00:00:00",8484,5927
"2023-08-05 00:00:00",7737,5828
"2023-08-06 00:00:00",7357,5482
"2023-08-07 00:00:00",7260,4993
"2023-08-08 00:00:00",7253,5002
"2023-08-09 00:00:00",7858,5424
"2023-08-10 00:00:00",12830,6266
"2023-08-11 00:00:00",5912,4356
"2023-08-12 00:00:00",5287,3968
"2023-08-13 00:00:00",4759,3572
"2023-08-14 00:00:00",4568,3267
"2023-08-15 00:00:00",4359,3127
"2023-08-16 00:00:00",4292,2998
"2023-08-17 00:00:00",7131,4067
"2023-08-18 00:00:00",5411,3536
"2023-08-19 00:00:00",4650,3504
"2023-08-20 00:00:00",4308,3138
"2023-08-21 00:00:00",4446,2879
"2023-08-22 00:00:00",4235,2847
"2023-08-23 00:00:00",4414,3006
"2023-08-24 00:00:00",12861,6235
"2023-08-25 00:00:00",5710,4000
"2023-08-26 00:00:00",5119,3790
"2023-08-27 00:00:00",4620,3299
"2023-08-28 00:00:00",5484,3622
"2023-08-29 00:00:00",4740,3230
"2023-08-30 00:00:00",4821,3224
"2023-08-31 00:00:00",7830,4394
"2023-09-01 00:00:00",6099,3743
"2023-09-02 00:00:00",5268,3888
"2023-09-03 00:00:00",4733,3277
"2023-09-04 00:00:00",4235,2705
"2023-09-05 00:00:00",4189,2639
"2023-09-06 00:00:00",4285,2700
"2023-09-07 00:00:00",10209,5277
"2023-09-08 00:00:00",6524,4121
"2023-09-09 00:00:00",5716,4253
"2023-09-10 00:00:00",5326,3653
"2023-09-11 00:00:00",4468,2801
"2023-09-12 00:00:00",4441,2791
"2023-09-13 00:00:00",4700,2970
"2023-09-14 00:00:00",14752,8692
"2023-09-15 00:00:00",13372,7734
"2023-09-16 00:00:00",11420,8286
"2023-09-17 00:00:00",9484,6538
"2023-09-18 00:00:00",7808,4754
"2023-09-19 00:00:00",7331,4452
"2023-09-20 00:00:00",7000,4362
"2023-09-21 00:00:00",11281,6666
"2023-09-22 00:00:00",10485,5935
"2023-09-23 00:00:00",9268,6664
"2023-09-24 00:00:00",8063,5484
"2023-09-25 00:00:00",6419,3934
"2023-09-26 00:00:00",6086,3789
"2023-09-27 00:00:00",6011,3822
"2023-09-28 00:00:00",7774,5019
"2023-09-29 00:00:00",6673,4772
"2023-09-30 00:00:00",6227,4675
"2023-10-01 00:00:00",5591,4195
"2023-10-02 00:00:00",5060,3701
"2023-10-03 00:00:00",4843,3633
"2023-10-04 00:00:00",5486,3865
"2023-10-05 00:00:00",8238,4826
"2023-10-06 00:00:00",5635,3958
"2023-10-07 00:00:00",5375,3796
"2023-10-08 00:00:00",4779,3439
"2023-10-09 00:00:00",4361,2961
"2023-10-10 00:00:00",4316,2755
"2023-10-11 00:00:00",4405,2807
"2023-10-12 00:00:00",7156,4263
"2023-10-13 00:00:00",6519,3866
"2023-10-14 00:00:00",5790,4199
"2023-10-15 00:00:00",5243,3666
"2023-10-16 00:00:00",4148,2550
"2023-10-17 00:00:00",3953,2442
"2023-10-18 00:00:00",4093,2559
"2023-10-19 00:00:00",7116,4152
"2023-10-20 00:00:00",6338,3858
"2023-10-21 00:00:00",5852,4276
"2023-10-22 00:00:00",5085,3502
"2023-10-23 00:00:00",4236,2632
"2023-10-24 00:00:00",4267,2631
"2023-10-25 00:00:00",4586,2831
"2023-10-26 00:00:00",13448,6203
"2023-10-27 00:00:00",6859,4256
"2023-10-28 00:00:00",6180,4574
"2023-10-29 00:00:00",5510,3738
"2023-10-30 00:00:00",4480,2780
"2023-10-31 00:00:00",4353,2748
"2023-11-01 00:00:00",4578,2953
"2023-11-02 00:00:00",6812,4087
"2023-11-03 00:00:00",5755,3667
"2023-11-04 00:00:00",5349,3999
"2023-11-05 00:00:00",4882,3301
"2023-11-06 00:00:00",4103,2547
"2023-11-07 00:00:00",4075,2548
"2023-11-08 00:00:00",4097,2621
"2023-11-09 00:00:00",8194,4372
"2023-11-10 00:00:00",5915,3598
"2023-11-11 00:00:00",5447,3945
"2023-11-12 00:00:00",4731,3367
"2023-11-13 00:00:00",4344,2648
"2023-11-14 00:00:00",4452,2821
"2023-11-15 00:00:00",5217,3187
"2023-11-16 00:00:00",20266,9880
"2023-11-17 00:00:00",9649,6143
"2023-11-18 00:00:00",8295,5974
"2023-11-19 00:00:00",6902,4623
"2023-11-20 00:00:00",5260,3437
"2023-11-21 00:00:00",4953,3218
"2023-11-22 00:00:00",4818,3212
"2023-11-23 00:00:00",18271,9780
"2023-11-24 00:00:00",9031,5988
"2023-11-25 00:00:00",7912,5879
"2023-11-26 00:00:00",6962,4728
"2023-11-27 00:00:00",5977,3772
"2023-11-28 00:00:00",5541,3552
"2023-11-29 00:00:00",5801,3719
"2023-11-30 00:00:00",22307,13727
"2023-12-01 00:00:00",12664,8130
"2023-12-02 00:00:00",11098,8058
"2023-12-03 00:00:00",9054,6172
"2023-12-04 00:00:00",7630,4698
"2023-12-05 00:00:00",6707,4322
"2023-12-06 00:00:00",6502,4224
"2023-12-07 00:00:00",13524,6631
"2023-12-08 00:00:00",8131,5155
"2023-12-09 00:00:00",7423,5505
"2023-12-10 00:00:00",6858,4616
"2023-12-11 00:00:00",5789,3692
"2023-12-12 00:00:00",5485,3597
"2023-12-13 00:00:00",5992,4027
"2023-12-14 00:00:00",16011,9147
"2023-12-15 00:00:00",11748,7657
"2023-12-16 00:00:00",10839,7719
"2023-12-17 00:00:00",9396,6395
"2023-12-18 00:00:00",8206,5157
"2023-12-19 00:00:00",7904,5003
"2023-12-20 00:00:00",7658,4829
"2023-12-21 00:00:00",16735,9054
"2023-12-22 00:00:00",11691,7316
"2023-12-23 00:00:00",10383,7386
"2023-12-24 00:00:00",9215,6336
"2023-12-25 00:00:00",7734,5308
"2023-12-26 00:00:00",7435,4909
"2023-12-27 00:00:00",7252,4778
"2023-12-28 00:00:00",19154,11793
"2023-12-29 00:00:00",14558,9724
"2023-12-30 00:00:00",12711,9295
"2023-12-31 00:00:00",11474,8378
"2024-01-01 00:00:00",10191,7209
"2024-01-02 00:00:00",8696,5903
"2024-01-03 00:00:00",8715,5848
"2024-01-04 00:00:00",11843,7451
"2024-01-05 00:00:00",11982,7487
"2024-01-06 00:00:00",11006,7949
"2024-01-07 00:00:00",9956,6941
"2024-01-08 00:00:00",9123,5937
"2024-01-09 00:00:00",8613,5793
"2024-01-10 00:00:00",8736,5724
"2024-01-11 00:00:00",28563,15049
"2024-01-12 00:00:00",14777,10014
"2024-01-13 00:00:00",13051,9559
