"DateTime","Players","Average Players"
"2024-12-06 00:00:00",444286,303973
"2024-12-07 00:00:00",430435,348788
"2024-12-08 00:00:00",480990,387044
"2024-12-09 00:00:00",452007,328342
"2024-12-10 00:00:00",460883,313471
"2024-12-11 00:00:00",441152,319868
"2024-12-12 00:00:00",449895,317095
"2024-12-13 00:00:00",382389,307581
"2024-12-14 00:00:00",442993,360449
"2024-12-15 00:00:00",440444,363301
"2024-12-16 00:00:00",421545,301422
"2024-12-17 00:00:00",420236,294611
"2024-12-18 00:00:00",402705,283339
"2024-12-19 00:00:00",395880,277482
"2024-12-20 00:00:00",378972,288454
"2024-12-21 00:00:00",357432,321825
"2024-12-21 01:00:00",357214,320844
"2024-12-21 02:00:00",382005,320212
"2024-12-21 03:00:00",397239,319345
"2024-12-21 04:00:00",397148,318521
"2024-12-21 05:00:00",388121,317746
"2024-12-21 06:00:00",354940,317181
"2024-12-21 07:00:00",310419,316904
"2024-12-21 08:00:00",266329,316789
"2024-12-21 09:00:00",225382,316768
"2024-12-21 10:00:00",200719,316766
"2024-12-21 11:00:00",206024,316756
"2024-12-21 12:00:00",231288,316849
"2024-12-21 13:00:00",262824,317003
"2024-12-21 14:00:00",289310,317097
"2024-12-21 15:00:00",304399,316842
"2024-12-21 16:00:00",313996,316202
"2024-12-21 17:00:00",322211,315557
"2024-12-21 18:00:00",334390,315233
"2024-12-21 19:00:00",350785,315237
"2024-12-21 20:00:00",368180,315580
"2024-12-21 21:00:00",378652,316065
"2024-12-21 22:00:00",375668,316472
"2024-12-21 23:00:00",349123,316876
"2024-12-22 00:00:00",332680,317329
"2024-12-22 01:00:00",340257,317887
"2024-12-22 02:00:00",358807,318765
"2024-12-22 03:00:00",374922,319455
"2024-12-22 04:00:00",376134,319517
"2024-12-22 05:00:00",373074,319304
"2024-12-22 06:00:00",348170,318204
"2024-12-22 07:00:00",308917,316336
"2024-12-22 08:00:00",268437,314159
"2024-12-22 09:00:00",228781,312098
"2024-12-22 10:00:00",203828,310341
"2024-12-22 11:00:00",210930,308961
"2024-12-22 12:00:00",236749,307773
"2024-12-22 13:00:00",266015,306575
"2024-12-22 14:00:00",283485,305367
"2024-12-22 15:00:00",288807,304181
"2024-12-22 16:00:00",297979,302963
"2024-12-22 17:00:00",313655,301698
"2024-12-22 18:00:00",333353,300360
"2024-12-22 19:00:00",357539,298874
"2024-12-22 20:00:00",378119,297160
"2024-12-22 21:00:00",386782,295283
"2024-12-22 22:00:00",384593,293361
"2024-12-22 23:00:00",361034,291527
"2024-12-23 00:00:00",347030,290448
"2024-12-23 01:00:00",362903,289790
"2024-12-23 02:00:00",376854,289183
"2024-12-23 03:00:00",377355,288873
"2024-12-23 04:00:00",371513,288829
"2024-12-23 05:00:00",345919,288916
"2024-12-23 06:00:00",301473,289295
"2024-12-23 07:00:00",254165,289747
"2024-12-23 08:00:00",216374,290182
"2024-12-23 09:00:00",184230,290320
"2024-12-23 10:00:00",168560,290290
"2024-12-23 11:00:00",180339,290144
"2024-12-23 12:00:00",205937,289822
"2024-12-23 13:00:00",235359,289429
"2024-12-23 14:00:00",253856,288983
"2024-12-23 15:00:00",258349,288531
"2024-12-23 16:00:00",265853,288063
"2024-12-23 17:00:00",279121,287538
"2024-12-23 18:00:00",294461,286880
"2024-12-23 19:00:00",312487,286070
"2024-12-23 20:00:00",328838,285034
"2024-12-23 21:00:00",336159,283553
"2024-12-23 22:00:00",335804,281777
"2024-12-23 23:00:00",331319,279941
"2024-12-24 00:00:00",327434,277781
"2024-12-24 01:00:00",344798,275047
"2024-12-24 02:00:00",367514,271318
"2024-12-24 03:00:00",375405,267270
