"DateTime","Players","Average Players"
"2024-12-21 00:00:00",23884,35344
"2024-12-21 01:00:00",26172,35380
"2024-12-21 02:00:00",29144,35424
"2024-12-21 03:00:00",30861,35472
"2024-12-21 04:00:00",32657,35540
"2024-12-21 05:00:00",33900,35605
"2024-12-21 06:00:00",34536,35688
"2024-12-21 07:00:00",35030,35793
"2024-12-21 08:00:00",35112,35902
"2024-12-21 09:00:00",35102,36006
"2024-12-21 10:00:00",36738,36108
"2024-12-21 11:00:00",40101,36191
"2024-12-21 12:00:00",43905,36280
"2024-12-21 13:00:00",46999,36364
"2024-12-21 14:00:00",47927,36405
"2024-12-21 15:00:00",47613,36413
"2024-12-21 16:00:00",45427,36393
"2024-12-21 17:00:00",41204,36288
"2024-12-21 18:00:00",37069,36158
"2024-12-21 19:00:00",33414,36043
"2024-12-21 20:00:00",30708,35970
"2024-12-21 21:00:00",28654,35933
"2024-12-21 22:00:00",26816,35902
"2024-12-21 23:00:00",25286,35864
"2024-12-22 00:00:00",25077,35818
"2024-12-22 01:00:00",27499,35731
"2024-12-22 02:00:00",30476,35590
"2024-12-22 03:00:00",32635,35390
"2024-12-22 04:00:00",34320,35117
"2024-12-22 05:00:00",35957,34814
"2024-12-22 06:00:00",37143,34448
"2024-12-22 07:00:00",37715,33998
"2024-12-22 08:00:00",37669,33534
"2024-12-22 09:00:00",37580,33095
"2024-12-22 10:00:00",38664,32718
"2024-12-22 11:00:00",42036,32429
"2024-12-22 12:00:00",45622,32178
"2024-12-22 13:00:00",47643,31969
"2024-12-22 14:00:00",47788,31794
"2024-12-22 15:00:00",46817,31625
"2024-12-22 16:00:00",42706,31443
"2024-12-22 17:00:00",37966,31261
"2024-12-22 18:00:00",34324,31073
"2024-12-22 19:00:00",31797,30907
"2024-12-22 20:00:00",30031,30759
"2024-12-22 21:00:00",28169,30608
"2024-12-22 22:00:00",26221,30465
"2024-12-22 23:00:00",24119,30336
"2024-12-23 00:00:00",22887,30238
"2024-12-23 01:00:00",23959,30176
"2024-12-23 02:00:00",25428,30124
"2024-12-23 03:00:00",25729,30065
"2024-12-23 04:00:00",26654,30013
"2024-12-23 05:00:00",26635,29973
"2024-12-23 06:00:00",25699,29925
"2024-12-23 07:00:00",25886,29879
"2024-12-23 08:00:00",26412,29826
"2024-12-23 09:00:00",27892,29780
"2024-12-23 10:00:00",31151,29727
"2024-12-23 11:00:00",35466,29664
"2024-12-23 12:00:00",40125,29591
"2024-12-23 13:00:00",43073,29508
"2024-12-23 14:00:00",43359,29418
"2024-12-23 15:00:00",42191,29327
