"DateTime","Players","Average Players"
"2024-01-19 00:00:00",370128,293611
"2024-01-20 00:00:00",855706,624388
"2024-01-21 00:00:00",1291967,963467
"2024-01-22 00:00:00",1582482,1019526
"2024-01-23 00:00:00",1864421,1176696
"2024-01-24 00:00:00",2018905,1259001
"2024-01-25 00:00:00",1999272,1278377
"2024-01-26 00:00:00",2033118,1319744
"2024-01-27 00:00:00",2101867,1499127
"2024-01-28 00:00:00",2101393,1501493
"2024-01-29 00:00:00",1790933,1148826
"2024-01-30 00:00:00",1651846,1044773
"2024-01-31 00:00:00",1471270,940535
"2024-02-01 00:00:00",1355332,865276
"2024-02-02 00:00:00",1309623,867966
"2024-02-03 00:00:00",1359957,982614
"2024-02-04 00:00:00",1315791,945736
"2024-02-05 00:00:00",1047323,716691
"2024-02-06 00:00:00",944328,640928
"2024-02-07 00:00:00",861917,583968
"2024-02-08 00:00:00",784385,550441
"2024-02-09 00:00:00",682032,512044
"2024-02-10 00:00:00",757508,562572
"2024-02-11 00:00:00",756764,559924
"2024-02-12 00:00:00",610050,458791
"2024-02-13 00:00:00",574423,405566
"2024-02-14 00:00:00",512859,359199
"2024-02-15 00:00:00",501365,340755
"2024-02-16 00:00:00",499873,345722
"2024-02-17 00:00:00",535048,385336
"2024-02-18 00:00:00",527994,372365
"2024-02-19 00:00:00",430723,287856
"2024-02-20 00:00:00",400674,255799
"2024-02-21 00:00:00",375651,235525
"2024-02-22 00:00:00",345846,217448
"2024-02-23 00:00:00",337775,217515
"2024-02-24 00:00:00",349911,243426
"2024-02-25 00:00:00",339873,235892
"2024-02-26 00:00:00",283406,169122
"2024-02-27 00:00:00",282235,163192
"2024-02-28 00:00:00",268046,158333
"2024-02-29 00:00:00",254460,148122
"2024-03-01 00:00:00",254814,154596
"2024-03-02 00:00:00",273204,184125
"2024-03-03 00:00:00",256556,176241
"2024-03-04 00:00:00",209692,121589
"2024-03-05 00:00:00",197822,112360
"2024-03-06 00:00:00",182449,104269
"2024-03-07 00:00:00",169325,97623
"2024-03-08 00:00:00",172278,101270
"2024-03-09 00:00:00",183012,123285
"2024-03-10 00:00:00",171997,119221
"2024-03-11 00:00:00",137935,80591
"2024-03-12 00:00:00",128895,73606
"2024-03-13 00:00:00",119277,68552
"2024-03-14 00:00:00",110237,64153
"2024-03-15 00:00:00",124582,71713
"2024-03-16 00:00:00",141987,93723
"2024-03-17 00:00:00",138585,94528
"2024-03-18 00:00:00",115863,66192
"2024-03-19 00:00:00",112381,63201
"2024-03-20 00:00:00",106980,61871
"2024-03-21 00:00:00",98004,56205
"2024-03-22 00:00:00",100918,58820
"2024-03-23 00:00:00",111338,74319
"2024-03-24 00:00:00",104943,72216
"2024-03-25 00:00:00",85363,49619
"2024-03-26 00:00:00",80356,45887
"2024-03-27 00:00:00",74502,42688
"2024-03-28 00:00:00",68865,40678
"2024-03-29 00:00:00",73851,44189
"2024-03-30 00:00:00",75944,51279
"2024-03-31 00:00:00",69850,49405
"2024-04-01 00:00:00",63603,37205
"2024-04-02 00:00:00",56031,33070
"2024-04-03 00:00:00",57256,33804
"2024-04-04 00:00:00",106225,59057
"2024-04-05 00:00:00",120352,75622
"2024-04-06 00:00:00",128855,83967
"2024-04-07 00:00:00",126026,77556
"2024-04-08 00:00:00",106246,59467
"2024-04-09 00:00:00",100056,55785
"2024-04-10 00:00:00",92607,53644
"2024-04-11 00:00:00",84268,48699
"2024-04-12 00:00:00",87362,50874
"2024-04-13 00:00:00",96456,63886
"2024-04-14 00:00:00",90931,62638
"2024-04-15 00:00:00",73562,42424
"2024-04-16 00:00:00",70847,40552
"2024-04-17 00:00:00",65668,38080
"2024-04-18 00:00:00",61722,35876
"2024-04-19 00:00:00",63881,37812
"2024-04-20 00:00:00",71899,47915
"2024-04-21 00:00:00",67032,46718
"2024-04-22 00:00:00",53180,31393
"2024-04-23 00:00:00",52164,30193
"2024-04-24 00:00:00",47437,28030
"2024-04-25 00:00:00",44542,26852
"2024-04-26 00:00:00",46332,27987
"2024-04-27 00:00:00",49991,34668
"2024-04-28 00:00:00",49518,33216
"2024-04-29 00:00:00",40359,25915
"2024-04-30 00:00:00",42927,26566
"2024-05-01 00:00:00",45125,30236
"2024-05-02 00:00:00",40016,26891
"2024-05-03 00:00:00",41227,27869
"2024-05-04 00:00:00",44627,31394
"2024-05-05 00:00:00",44885,31336
"2024-05-06 00:00:00",36126,23702
"2024-05-07 00:00:00",34124,20481
"2024-05-08 00:00:00",31971,19389
"2024-05-09 00:00:00",31842,19321
"2024-05-10 00:00:00",32211,19688
"2024-05-11 00:00:00",37376,24311
"2024-05-12 00:00:00",35493,25254
"2024-05-13 00:00:00",28535,17730
"2024-05-14 00:00:00",28673,17398
"2024-05-15 00:00:00",28122,17968
"2024-05-16 00:00:00",26537,16638
"2024-05-17 00:00:00",28399,17672
"2024-05-18 00:00:00",33338,23050
"2024-05-19 00:00:00",32092,23557
"2024-05-20 00:00:00",28082,17423
"2024-05-21 00:00:00",25440,15904
"2024-05-22 00:00:00",24853,15542
"2024-05-23 00:00:00",22297,14290
"2024-05-24 00:00:00",23980,15116
"2024-05-25 00:00:00",27782,19427
"2024-05-26 00:00:00",27302,19885
"2024-05-27 00:00:00",23206,15507
"2024-05-28 00:00:00",22726,14473
"2024-05-29 00:00:00",22779,14351
"2024-05-30 00:00:00",23102,14589
"2024-05-31 00:00:00",24889,15496
"2024-06-01 00:00:00",29012,19955
"2024-06-02 00:00:00",29115,20800
"2024-06-03 00:00:00",23990,15160
"2024-06-04 00:00:00",23802,14557
"2024-06-05 00:00:00",23187,14166
"2024-06-06 00:00:00",22300,14142
"2024-06-07 00:00:00",23210,14671
"2024-06-08 00:00:00",29567,20543
"2024-06-09 00:00:00",31913,23035
"2024-06-10 00:00:00",26846,18941
"2024-06-11 00:00:00",26362,16660
"2024-06-12 00:00:00",25893,16516
"2024-06-13 00:00:00",24831,15834
"2024-06-14 00:00:00",26220,16635
"2024-06-15 00:00:00",30477,21156
"2024-06-16 00:00:00",30434,21843
"2024-06-17 00:00:00",26334,16936
"2024-06-18 00:00:00",26583,16612
"2024-06-19 00:00:00",25291,16179
"2024-06-20 00:00:00",24575,15890
"2024-06-21 00:00:00",26443,16782
"2024-06-22 00:00:00",30180,20993
"2024-06-23 00:00:00",31074,22095
"2024-06-24 00:00:00",26472,17152
"2024-06-25 00:00:00",29146,18107
"2024-06-26 00:00:00",31508,19791
"2024-06-27 00:00:00",100676,55030
"2024-06-28 00:00:00",109346,69153
"2024-06-29 00:00:00",135480,92589
"2024-06-30 00:00:00",143369,100869
"2024-07-01 00:00:00",128632,81356
"2024-07-02 00:00:00",124839,78590
"2024-07-03 00:00:00",115945,73562
"2024-07-04 00:00:00",103691,68342
"2024-07-05 00:00:00",103682,67518
"2024-07-06 00:00:00",110736,77741
"2024-07-07 00:00:00",110182,78990
"2024-07-08 00:00:00",93662,60304
"2024-07-09 00:00:00",91799,58541
"2024-07-10 00:00:00",85481,54671
"2024-07-11 00:00:00",82217,52776
"2024-07-12 00:00:00",84826,54581
"2024-07-13 00:00:00",94211,65557
"2024-07-14 00:00:00",96526,68518
"2024-07-15 00:00:00",82986,54599
"2024-07-16 00:00:00",80575,51106
"2024-07-17 00:00:00",75863,48620
"2024-07-18 00:00:00",70626,45637
"2024-07-19 00:00:00",68308,44641
"2024-07-20 00:00:00",73061,51579
"2024-07-21 00:00:00",72195,52466
"2024-07-22 00:00:00",61291,40217
"2024-07-23 00:00:00",59702,38842
"2024-07-24 00:00:00",57896,38213
"2024-07-25 00:00:00",55159,36517
"2024-07-26 00:00:00",54730,35972
"2024-07-27 00:00:00",58860,41834
"2024-07-28 00:00:00",59456,43370
"2024-07-29 00:00:00",52515,34431
"2024-07-30 00:00:00",52981,34471
"2024-07-31 00:00:00",49209,32731
"2024-08-01 00:00:00",46522,31028
"2024-08-02 00:00:00",46359,30909
"2024-08-03 00:00:00",50703,36274
"2024-08-04 00:00:00",51402,37996
"2024-08-05 00:00:00",43743,29563
"2024-08-06 00:00:00",42139,28161
"2024-08-07 00:00:00",40107,26663
"2024-08-08 00:00:00",39524,26633
"2024-08-09 00:00:00",40303,27257
"2024-08-10 00:00:00",43900,31800
"2024-08-11 00:00:00",45436,33452
"2024-08-12 00:00:00",39893,27302
"2024-08-13 00:00:00",39079,26025
"2024-08-14 00:00:00",38517,25714
"2024-08-15 00:00:00",38421,25950
"2024-08-16 00:00:00",38334,25601
"2024-08-17 00:00:00",42246,29804
"2024-08-18 00:00:00",42626,30892
"2024-08-19 00:00:00",35929,23769
"2024-08-20 00:00:00",31878,21392
"2024-08-21 00:00:00",30607,20595
"2024-08-22 00:00:00",29938,19988
"2024-08-23 00:00:00",30903,21723
"2024-08-24 00:00:00",34855,25248
"2024-08-25 00:00:00",35697,26864
"2024-08-26 00:00:00",30153,20839
"2024-08-27 00:00:00",29719,20033
"2024-08-28 00:00:00",28552,19405
"2024-08-29 00:00:00",27584,18731
"2024-08-30 00:00:00",28177,19180
"2024-08-31 00:00:00",31804,23037
"2024-09-01 00:00:00",31673,23717
"2024-09-02 00:00:00",27784,19385
"2024-09-03 00:00:00",26075,17301
"2024-09-04 00:00:00",25401,16678
"2024-09-05 00:00:00",25049,16379
"2024-09-06 00:00:00",26395,17221
"2024-09-07 00:00:00",30789,21846
"2024-09-08 00:00:00",31170,22908
"2024-09-09 00:00:00",26179,16691
"2024-09-10 00:00:00",25365,15848
"2024-09-11 00:00:00",24432,15507
"2024-09-12 00:00:00",24204,15264
"2024-09-13 00:00:00",24922,15852
"2024-09-14 00:00:00",28790,19557
"2024-09-15 00:00:00",31962,22711
