"DateTime","Players","Average Players"
"2024-12-06 00:00:00",459263,361987
"2024-12-07 00:00:00",539149,400335
"2024-12-08 00:00:00",578569,416599
"2024-12-09 00:00:00",498966,338601
"2024-12-10 00:00:00",480368,327702
"2024-12-11 00:00:00",464713,319154
"2024-12-12 00:00:00",447104,301671
"2024-12-13 00:00:00",450993,311230
"2024-12-14 00:00:00",504880,372121
"2024-12-15 00:00:00",517541,385294
"2024-12-16 00:00:00",437530,303226
"2024-12-17 00:00:00",414846,288716
"2024-12-18 00:00:00",405148,274012
"2024-12-19 00:00:00",385392,275342
"2024-12-20 00:00:00",392900,279499
"2024-12-21 00:00:00",321925,326783
"2024-12-21 01:00:00",292510,327309
"2024-12-21 02:00:00",276082,327747
"2024-12-21 03:00:00",266745,328015
"2024-12-21 04:00:00",257547,328160
"2024-12-21 05:00:00",246861,328249
"2024-12-21 06:00:00",234903,328364
"2024-12-21 07:00:00",226260,328506
"2024-12-21 08:00:00",236465,328844
"2024-12-21 09:00:00",253996,329308
"2024-12-21 10:00:00",274029,329956
"2024-12-21 11:00:00",293968,330706
"2024-12-21 12:00:00",318452,331539
"2024-12-21 13:00:00",343375,332433
"2024-12-21 14:00:00",367227,333336
"2024-12-21 15:00:00",386190,334106
"2024-12-21 16:00:00",396725,334701
"2024-12-21 17:00:00",403342,335270
"2024-12-21 18:00:00",411467,335806
"2024-12-21 19:00:00",420094,336345
"2024-12-21 20:00:00",420339,336794
"2024-12-21 21:00:00",418490,337219
"2024-12-21 22:00:00",403387,337394
"2024-12-21 23:00:00",372406,337143
"2024-12-22 00:00:00",335220,336583
"2024-12-22 01:00:00",304411,335815
"2024-12-22 02:00:00",284312,335105
"2024-12-22 03:00:00",272393,334360
"2024-12-22 04:00:00",262213,333444
"2024-12-22 05:00:00",252554,332256
"2024-12-22 06:00:00",241596,330699
"2024-12-22 07:00:00",237445,328887
"2024-12-22 08:00:00",250236,326754
"2024-12-22 09:00:00",271691,324348
"2024-12-22 10:00:00",293639,321708
"2024-12-22 11:00:00",314880,318961
"2024-12-22 12:00:00",340101,316150
"2024-12-22 13:00:00",364553,313289
"2024-12-22 14:00:00",384579,310367
"2024-12-22 15:00:00",398914,307501
"2024-12-22 16:00:00",408631,304727
"2024-12-22 17:00:00",414179,302085
"2024-12-22 18:00:00",422107,299614
"2024-12-22 19:00:00",428508,297228
"2024-12-22 20:00:00",428237,294937
"2024-12-22 21:00:00",420716,292709
"2024-12-22 22:00:00",396037,290720
"2024-12-22 23:00:00",358435,289131
"2024-12-23 00:00:00",316032,287888
"2024-12-23 01:00:00",286714,287006
"2024-12-23 02:00:00",265764,286246
"2024-12-23 03:00:00",249562,285661
"2024-12-23 04:00:00",232454,285297
"2024-12-23 05:00:00",213395,285094
"2024-12-23 06:00:00",195725,285047
"2024-12-23 07:00:00",183230,284944
"2024-12-23 08:00:00",188781,284887
"2024-12-23 09:00:00",204016,284744
"2024-12-23 10:00:00",222939,284550
"2024-12-23 11:00:00",242286,284292
"2024-12-23 12:00:00",265973,284045
"2024-12-23 13:00:00",288823,283725
"2024-12-23 14:00:00",310247,283212
"2024-12-23 15:00:00",326714,282241
"2024-12-23 16:00:00",339638,280777
"2024-12-23 17:00:00",349287,278872
"2024-12-23 18:00:00",359313,276677
"2024-12-23 19:00:00",367975,274270
"2024-12-23 20:00:00",369482,271652
"2024-12-23 21:00:00",368533,269007
"2024-12-23 22:00:00",354467,266385
"2024-12-23 23:00:00",326032,263935
"2024-12-24 00:00:00",292783,261792
"2024-12-24 01:00:00",266670,259895
"2024-12-24 02:00:00",250531,258088
"2024-12-24 03:00:00",240623,256349
"2024-12-24 04:00:00",228476,254796
"2024-12-24 05:00:00",214104,253599
"2024-12-24 06:00:00",195787,252784
"2024-12-24 07:00:00",185265,252379
"2024-12-24 08:00:00",189324,252142
"2024-12-24 09:00:00",203657,252050
"2024-12-24 10:00:00",221295,251953
"2024-12-24 11:00:00",241306,251776
"2024-12-24 12:00:00",263428,251422
"2024-12-24 13:00:00",281298,250861
"2024-12-24 14:00:00",290688,250232
"2024-12-24 15:00:00",294032,249766
"2024-12-24 16:00:00",295038,249587
"2024-12-24 17:00:00",296888,249782
"2024-12-24 18:00:00",301102,250321
"2024-12-24 19:00:00",304006,251029
"2024-12-24 20:00:00",304069,251897
"2024-12-24 21:00:00",302575,252766
"2024-12-24 22:00:00",292038,253617
"2024-12-24 23:00:00",270654,254422
"2024-12-25 00:00:00",243521,255168
"2024-12-25 01:00:00",219174,255904
"2024-12-25 02:00:00",204047,256654
"2024-12-25 03:00:00",198407,257409
"2024-12-25 04:00:00",195157,257981
"2024-12-25 05:00:00",191013,258313
"2024-12-25 06:00:00",183446,258396
"2024-12-25 07:00:00",177591,258333
"2024-12-25 08:00:00",185649,258201
"2024-12-25 09:00:00",199987,258121
"2024-12-25 10:00:00",215389,258099
"2024-12-25 11:00:00",230780,258194
"2024-12-25 12:00:00",247907,258361
"2024-12-25 13:00:00",265517,258644
"2024-12-25 14:00:00",281148,259041
"2024-12-25 15:00:00",294049,259583
"2024-12-25 16:00:00",306526,260265
"2024-12-25 17:00:00",318786,260974
"2024-12-25 18:00:00",328749,261612
"2024-12-25 19:00:00",336548,262214
"2024-12-25 20:00:00",337013,262853
"2024-12-25 21:00:00",334830,263515
"2024-12-25 22:00:00",322259,264175
"2024-12-25 23:00:00",298560,264792
"2024-12-26 00:00:00",271143,265418
"2024-12-26 01:00:00",247266,266025
"2024-12-26 02:00:00",231825,266628
"2024-12-26 03:00:00",219900,267159
"2024-12-26 04:00:00",208489,267625
"2024-12-26 05:00:00",195756,267964
"2024-12-26 06:00:00",183391,268213
"2024-12-26 07:00:00",174949,268357
"2024-12-26 08:00:00",184469,268465
"2024-12-26 09:00:00",200828,268367
"2024-12-26 10:00:00",220342,268205
"2024-12-26 11:00:00",238672,267998
"2024-12-26 12:00:00",259222,267815
"2024-12-26 13:00:00",279026,267687
"2024-12-26 14:00:00",297109,267681
"2024-12-26 15:00:00",311953,267827
"2024-12-26 16:00:00",323272,268090
"2024-12-26 17:00:00",332449,268383
"2024-12-26 18:00:00",340419,268595
"2024-12-26 19:00:00",349098,268820
"2024-12-26 20:00:00",350316,268999
"2024-12-26 21:00:00",348393,269154
"2024-12-26 22:00:00",334995,269324
"2024-12-26 23:00:00",311574,269617
"2024-12-27 00:00:00",283445,269957
"2024-12-27 01:00:00",259485,270307
"2024-12-27 02:00:00",243187,270612
"2024-12-27 03:00:00",231026,270943
"2024-12-27 04:00:00",217697,271322
"2024-12-27 05:00:00",203376,271861
"2024-12-27 06:00:00",188561,272522
"2024-12-27 07:00:00",178740,273274
"2024-12-27 08:00:00",181858,273946
"2024-12-27 09:00:00",195425,274556
"2024-12-27 10:00:00",212946,275138
"2024-12-27 11:00:00",231167,275715
"2024-12-27 12:00:00",252779,276297
"2024-12-27 13:00:00",275562,276905
"2024-12-27 14:00:00",297588,277554
"2024-12-27 15:00:00",316099,278211
"2024-12-27 16:00:00",328996,278832
"2024-12-27 17:00:00",336230,279381
"2024-12-27 18:00:00",344311,279906
"2024-12-27 19:00:00",351431,280364
"2024-12-27 20:00:00",351826,280807
"2024-12-27 21:00:00",350530,281264
"2024-12-27 22:00:00",340679,281769
"2024-12-27 23:00:00",318844,282270
"2024-12-28 00:00:00",291004,282708
"2024-12-28 01:00:00",265875,283063
"2024-12-28 02:00:00",250444,283356
"2024-12-28 03:00:00",240181,283582
"2024-12-28 04:00:00",232079,283856
"2024-12-28 05:00:00",222130,284157
"2024-12-28 06:00:00",210481,284497
"2024-12-28 07:00:00",199972,284887
"2024-12-28 08:00:00",202069,285296
"2024-12-28 09:00:00",215374,285869
"2024-12-28 10:00:00",232883,286530
"2024-12-28 11:00:00",251057,287235
"2024-12-28 12:00:00",272737,287978
"2024-12-28 13:00:00",295787,288751
"2024-12-28 14:00:00",317068,289502
"2024-12-28 15:00:00",334098,290163
"2024-12-28 16:00:00",345357,290772
"2024-12-28 17:00:00",351878,291357
"2024-12-28 18:00:00",358359,291931
"2024-12-28 19:00:00",365297,292523
"2024-12-28 20:00:00",365998,293122
"2024-12-28 21:00:00",365185,293708
"2024-12-28 22:00:00",354767,294204
"2024-12-28 23:00:00",330928,294466
"2024-12-29 00:00:00",300817,294528
"2024-12-29 01:00:00",273510,294437
"2024-12-29 02:00:00",255402,294336
"2024-12-29 03:00:00",244994,294245
"2024-12-29 04:00:00",236351,294026
"2024-12-29 05:00:00",226588,293637
"2024-12-29 06:00:00",216661,293114
"2024-12-29 07:00:00",207037,292470
"2024-12-29 08:00:00",214382,291901
"2024-12-29 09:00:00",230434,291321
"2024-12-29 10:00:00",249372,290653
"2024-12-29 11:00:00",268720,289902
"2024-12-29 12:00:00",291253,289082
"2024-12-29 13:00:00",313824,288160
"2024-12-29 14:00:00",332742,287133
"2024-12-29 15:00:00",348643,286103
"2024-12-29 16:00:00",359356,285054
"2024-12-29 17:00:00",366060,284024
"2024-12-29 18:00:00",373182,283039
"2024-12-29 19:00:00",380263,282092
"2024-12-29 20:00:00",380369,281181
"2024-12-29 21:00:00",376843,280307
"2024-12-29 22:00:00",359505,279445
"2024-12-29 23:00:00",329907,278724
"2024-12-30 00:00:00",295554,278158
"2024-12-30 01:00:00",268858,277776
"2024-12-30 02:00:00",251073,277514
"2024-12-30 03:00:00",236657,277263
"2024-12-30 04:00:00",222276,277029
"2024-12-30 05:00:00",207358,276794
"2024-12-30 06:00:00",193037,276540
"2024-12-30 07:00:00",183766,276284
"2024-12-30 08:00:00",189541,275955
"2024-12-30 09:00:00",202004,275482
"2024-12-30 10:00:00",217521,274930
"2024-12-30 11:00:00",234038,274315
"2024-12-30 12:00:00",253153,273648
"2024-12-30 13:00:00",272933,272937
"2024-12-30 14:00:00",291973,272135
"2024-12-30 15:00:00",307238,271149
"2024-12-30 16:00:00",318331,269854
"2024-12-30 17:00:00",326048,268255
"2024-12-30 18:00:00",334186,266307
"2024-12-30 19:00:00",342545,263883
"2024-12-30 20:00:00",344802,261020
"2024-12-30 21:00:00",344406,257988
"2024-12-30 22:00:00",334161,254874
"2024-12-30 23:00:00",311560,252055
"2024-12-31 00:00:00",283185,249609
"2024-12-31 01:00:00",260440,247872
"2024-12-31 02:00:00",244734,246576
"2024-12-31 03:00:00",233444,245497
"2024-12-31 04:00:00",221307,244518
"2024-12-31 05:00:00",207729,243729
"2024-12-31 06:00:00",193261,243153
"2024-12-31 07:00:00",182297,242854
