"DateTime","Players","Average Players"
"2024-12-21 00:00:00",21920,21519
"2024-12-21 01:00:00",21515,21581
"2024-12-21 02:00:00",23279,21592
"2024-12-21 03:00:00",24768,21580
"2024-12-21 04:00:00",24702,21549
"2024-12-21 05:00:00",23500,21530
"2024-12-21 06:00:00",20578,21526
"2024-12-21 07:00:00",18130,21533
"2024-12-21 08:00:00",13219,21493
"2024-12-21 09:00:00",11343,21517
"2024-12-21 10:00:00",11225,21527
"2024-12-21 11:00:00",13017,21551
"2024-12-21 12:00:00",15292,21578
"2024-12-21 13:00:00",17329,21610
"2024-12-21 14:00:00",19266,21665
"2024-12-21 15:00:00",20316,21700
"2024-12-21 16:00:00",21523,21726
"2024-12-21 17:00:00",22714,21748
"2024-12-21 18:00:00",25221,21819
"2024-12-21 19:00:00",28831,21910
"2024-12-21 20:00:00",30977,22004
"2024-12-21 21:00:00",31179,22098
"2024-12-21 22:00:00",29846,22176
"2024-12-21 23:00:00",26758,22253
"2024-12-22 00:00:00",23418,22299
"2024-12-22 01:00:00",21723,22318
"2024-12-22 02:00:00",22917,22423
"2024-12-22 03:00:00",23935,22519
"2024-12-22 04:00:00",24163,22571
"2024-12-22 05:00:00",23420,22584
"2024-12-22 06:00:00",20848,22529
"2024-12-22 07:00:00",17405,22422
"2024-12-22 08:00:00",14111,22291
"2024-12-22 09:00:00",11903,22174
"2024-12-22 10:00:00",12088,22077
"2024-12-22 11:00:00",13871,21993
"2024-12-22 12:00:00",16224,21904
"2024-12-22 13:00:00",18749,21815
"2024-12-22 14:00:00",20169,21720
"2024-12-22 15:00:00",20973,21610
"2024-12-22 16:00:00",22034,21495
"2024-12-22 17:00:00",24353,21379
"2024-12-22 18:00:00",27242,21257
"2024-12-22 19:00:00",30867,21151
"2024-12-22 20:00:00",33015,21007
"2024-12-22 21:00:00",32856,20912
"2024-12-22 22:00:00",31612,20847
"2024-12-22 23:00:00",27872,20800
"2024-12-23 00:00:00",23897,20775
"2024-12-23 01:00:00",24395,20775
"2024-12-23 02:00:00",25367,20713
"2024-12-23 03:00:00",25273,20638
"2024-12-23 04:00:00",24532,20586
"2024-12-23 05:00:00",22088,20557
"2024-12-23 06:00:00",18218,20542
"2024-12-23 07:00:00",14102,20548
"2024-12-23 08:00:00",11192,20563
"2024-12-23 09:00:00",9437,20567
"2024-12-23 10:00:00",9931,20560
"2024-12-23 11:00:00",11587,20541
"2024-12-23 12:00:00",13909,20516
"2024-12-23 13:00:00",16290,20505
"2024-12-23 14:00:00",17364,20469
"2024-12-23 15:00:00",18006,20413
"2024-12-23 16:00:00",18969,20321
"2024-12-23 17:00:00",21115,20175
"2024-12-23 18:00:00",24364,19973
"2024-12-23 19:00:00",27033,19704
"2024-12-23 20:00:00",30427,19417
"2024-12-23 21:00:00",31034,19066
