"DateTime","Players","Average Players"
"2024-12-21 00:00:00",26692,39210
"2024-12-21 01:00:00",28078,39320
"2024-12-21 02:00:00",30896,39401
"2024-12-21 03:00:00",32291,39496
"2024-12-21 04:00:00",33960,39605
"2024-12-21 05:00:00",35099,39722
"2024-12-21 06:00:00",35479,39852
"2024-12-21 07:00:00",36028,40003
"2024-12-21 08:00:00",36725,40147
"2024-12-21 09:00:00",36944,40289
"2024-12-21 10:00:00",39225,40426
"2024-12-21 11:00:00",43551,40551
"2024-12-21 12:00:00",48157,40682
"2024-12-21 13:00:00",51825,40816
"2024-12-21 14:00:00",52879,40947
"2024-12-21 15:00:00",52773,41043
"2024-12-21 16:00:00",49635,41079
"2024-12-21 17:00:00",45289,41032
"2024-12-21 18:00:00",41662,40997
"2024-12-21 19:00:00",40044,41045
"2024-12-21 20:00:00",38860,41119
"2024-12-21 21:00:00",37435,41217
"2024-12-21 22:00:00",35228,41302
"2024-12-21 23:00:00",32287,41383
"2024-12-22 00:00:00",29723,41441
"2024-12-22 01:00:00",30360,41475
"2024-12-22 02:00:00",33444,41449
"2024-12-22 03:00:00",35131,41322
"2024-12-22 04:00:00",36968,41126
"2024-12-22 05:00:00",38403,40861
"2024-12-22 06:00:00",39291,40529
"2024-12-22 07:00:00",39650,40077
"2024-12-22 08:00:00",40298,39568
"2024-12-22 09:00:00",40334,39104
"2024-12-22 10:00:00",42205,38703
"2024-12-22 11:00:00",46534,38347
"2024-12-22 12:00:00",51097,38036
"2024-12-22 13:00:00",54667,37773
"2024-12-22 14:00:00",54849,37534
"2024-12-22 15:00:00",53408,37308
"2024-12-22 16:00:00",48349,37101
"2024-12-22 17:00:00",44402,36900
"2024-12-22 18:00:00",42881,36704
"2024-12-22 19:00:00",41931,36499
"2024-12-22 20:00:00",41419,36312
"2024-12-22 21:00:00",39723,36140
"2024-12-22 22:00:00",37543,35997
"2024-12-22 23:00:00",33702,35858
"2024-12-23 00:00:00",30568,35767
"2024-12-23 01:00:00",29681,35707
"2024-12-23 02:00:00",30249,35650
"2024-12-23 03:00:00",30161,35620
"2024-12-23 04:00:00",30252,35592
"2024-12-23 05:00:00",29974,35593
"2024-12-23 06:00:00",27819,35587
"2024-12-23 07:00:00",26701,35585
"2024-12-23 08:00:00",28441,35585
"2024-12-23 09:00:00",30025,35566
"2024-12-23 10:00:00",33011,35547
"2024-12-23 11:00:00",38429,35544
"2024-12-23 12:00:00",44195,35535
"2024-12-23 13:00:00",48383,35526
"2024-12-23 14:00:00",48961,35528
"2024-12-23 15:00:00",48082,35537
"2024-12-23 16:00:00",43143,35517
"2024-12-23 17:00:00",39168,35481
"2024-12-23 18:00:00",37371,35424
"2024-12-23 19:00:00",36814,35350
"2024-12-23 20:00:00",36700,35262
"2024-12-23 21:00:00",35698,35160
"2024-12-23 22:00:00",33673,35060
"2024-12-23 23:00:00",31079,34983
"2024-12-24 00:00:00",28866,34901
"2024-12-24 01:00:00",28226,34796
"2024-12-24 02:00:00",29636,34668
"2024-12-24 03:00:00",29720,34547
"2024-12-24 04:00:00",30759,34473
"2024-12-24 05:00:00",30550,34439
"2024-12-24 06:00:00",28654,34416
"2024-12-24 07:00:00",27542,34431
"2024-12-24 08:00:00",28669,34467
"2024-12-24 09:00:00",30212,34500
"2024-12-24 10:00:00",33541,34534
"2024-12-24 11:00:00",38744,34552
"2024-12-24 12:00:00",44457,34559
"2024-12-24 13:00:00",48911,34557
"2024-12-24 14:00:00",49640,34537
"2024-12-24 15:00:00",48004,34506
"2024-12-24 16:00:00",42647,34480
"2024-12-24 17:00:00",38179,34471
"2024-12-24 18:00:00",35903,34513
"2024-12-24 19:00:00",34952,34586
"2024-12-24 20:00:00",34404,34687
"2024-12-24 21:00:00",33430,34808
"2024-12-24 22:00:00",31885,34947
"2024-12-24 23:00:00",29078,35077
"2024-12-25 00:00:00",26197,35227
"2024-12-25 01:00:00",24868,35377
"2024-12-25 02:00:00",26438,35530
"2024-12-25 03:00:00",27626,35660
"2024-12-25 04:00:00",29769,35754
"2024-12-25 05:00:00",29787,35800
"2024-12-25 06:00:00",28927,35846
"2024-12-25 07:00:00",28451,35860
"2024-12-25 08:00:00",29503,35854
"2024-12-25 09:00:00",31021,35865
"2024-12-25 10:00:00",33947,35882
"2024-12-25 11:00:00",38872,35901
"2024-12-25 12:00:00",44301,35930
"2024-12-25 13:00:00",48232,35955
"2024-12-25 14:00:00",48777,35998
"2024-12-25 15:00:00",47328,36053
"2024-12-25 16:00:00",42510,36134
"2024-12-25 17:00:00",39492,36244
"2024-12-25 18:00:00",38132,36336
"2024-12-25 19:00:00",38043,36434
"2024-12-25 20:00:00",38047,36524
"2024-12-25 21:00:00",37520,36606
"2024-12-25 22:00:00",35782,36674
"2024-12-25 23:00:00",33626,36755
"2024-12-26 00:00:00",30884,36821
"2024-12-26 01:00:00",29668,36895
"2024-12-26 02:00:00",30405,36958
"2024-12-26 03:00:00",30466,37012
"2024-12-26 04:00:00",31241,37059
"2024-12-26 05:00:00",31083,37092
"2024-12-26 06:00:00",29238,37124
"2024-12-26 07:00:00",28211,37158
"2024-12-26 08:00:00",29749,37196
"2024-12-26 09:00:00",31503,37207
"2024-12-26 10:00:00",34530,37206
"2024-12-26 11:00:00",39757,37220
"2024-12-26 12:00:00",45199,37242
"2024-12-26 13:00:00",49689,37280
"2024-12-26 14:00:00",50534,37319
"2024-12-26 15:00:00",49708,37372
"2024-12-26 16:00:00",45499,37456
"2024-12-26 17:00:00",41776,37584
"2024-12-26 18:00:00",40415,37714
"2024-12-26 19:00:00",40010,37810
"2024-12-26 20:00:00",39688,37871
"2024-12-26 21:00:00",38786,37921
"2024-12-26 22:00:00",37307,37977
"2024-12-26 23:00:00",34667,38011
"2024-12-27 00:00:00",32120,38043
"2024-12-27 01:00:00",30740,38078
"2024-12-27 02:00:00",31438,38159
"2024-12-27 03:00:00",31578,38293
"2024-12-27 04:00:00",31964,38452
"2024-12-27 05:00:00",31981,38634
"2024-12-27 06:00:00",30345,38832
"2024-12-27 07:00:00",29307,39089
"2024-12-27 08:00:00",30030,39356
"2024-12-27 09:00:00",31385,39607
"2024-12-27 10:00:00",34808,39835
"2024-12-27 11:00:00",40267,40020
"2024-12-27 12:00:00",46036,40181
"2024-12-27 13:00:00",50481,40318
"2024-12-27 14:00:00",51592,40446
"2024-12-27 15:00:00",51556,40596
"2024-12-27 16:00:00",48805,40756
"2024-12-27 17:00:00",45129,40925
"2024-12-27 18:00:00",42847,41072
"2024-12-27 19:00:00",41467,41196
"2024-12-27 20:00:00",40917,41312
"2024-12-27 21:00:00",40141,41420
"2024-12-27 22:00:00",38129,41527
"2024-12-27 23:00:00",35362,41636
"2024-12-28 00:00:00",32942,41728
"2024-12-28 01:00:00",32958,41820
"2024-12-28 02:00:00",35232,41903
"2024-12-28 03:00:00",36237,42015
"2024-12-28 04:00:00",37304,42148
"2024-12-28 05:00:00",37738,42281
"2024-12-28 06:00:00",37916,42449
"2024-12-28 07:00:00",37450,42621
"2024-12-28 08:00:00",37770,42795
"2024-12-28 09:00:00",38380,42954
"2024-12-28 10:00:00",40445,43078
"2024-12-28 11:00:00",45113,43185
"2024-12-28 12:00:00",50146,43275
"2024-12-28 13:00:00",54259,43368
"2024-12-28 14:00:00",55828,43454
"2024-12-28 15:00:00",55731,43508
"2024-12-28 16:00:00",53213,43540
"2024-12-28 17:00:00",49143,43520
"2024-12-28 18:00:00",46416,43533
"2024-12-28 19:00:00",44870,43582
"2024-12-28 20:00:00",44067,43663
"2024-12-28 21:00:00",43403,43763
"2024-12-28 22:00:00",41483,43854
"2024-12-28 23:00:00",38190,43932
"2024-12-29 00:00:00",35321,43999
"2024-12-29 01:00:00",34607,44045
"2024-12-29 02:00:00",37484,44062
"2024-12-29 03:00:00",38947,44008
"2024-12-29 04:00:00",39881,43909
"2024-12-29 05:00:00",40823,43763
"2024-12-29 06:00:00",40966,43584
"2024-12-29 07:00:00",40631,43343
"2024-12-29 08:00:00",40700,43067
"2024-12-29 09:00:00",40636,42813
"2024-12-29 10:00:00",42420,42594
"2024-12-29 11:00:00",46741,42412
"2024-12-29 12:00:00",52022,42248
"2024-12-29 13:00:00",55718,42093
"2024-12-29 14:00:00",56278,41951
"2024-12-29 15:00:00",55348,41812
"2024-12-29 16:00:00",51313,41665
"2024-12-29 17:00:00",48429,41535
"2024-12-29 18:00:00",46916,41415
"2024-12-29 19:00:00",46465,41303
"2024-12-29 20:00:00",46236,41213
"2024-12-29 21:00:00",45252,41122
"2024-12-29 22:00:00",43095,41040
"2024-12-29 23:00:00",39570,40967
"2024-12-30 00:00:00",36308,40918
"2024-12-30 01:00:00",34400,40875
"2024-12-30 02:00:00",34791,40820
"2024-12-30 03:00:00",34794,40771
"2024-12-30 04:00:00",33984,40700
"2024-12-30 05:00:00",33787,40638
"2024-12-30 06:00:00",31784,40553
"2024-12-30 07:00:00",30382,40461
"2024-12-30 08:00:00",31350,40378
"2024-12-30 09:00:00",32537,40288
"2024-12-30 10:00:00",35632,40205
"2024-12-30 11:00:00",40416,40112
"2024-12-30 12:00:00",46173,40013
"2024-12-30 13:00:00",50638,39904
"2024-12-30 14:00:00",51619,39797
"2024-12-30 15:00:00",51007,39717
"2024-12-30 16:00:00",47068,39658
"2024-12-30 17:00:00",44027,39644
"2024-12-30 18:00:00",42306,39592
"2024-12-30 19:00:00",42312,39502
"2024-12-30 20:00:00",42198,39332
"2024-12-30 21:00:00",41560,39123
"2024-12-30 22:00:00",39807,38902
"2024-12-30 23:00:00",37247,38706
"2024-12-31 00:00:00",34696,38531
"2024-12-31 01:00:00",33444,38388
"2024-12-31 02:00:00",34653,38312
"2024-12-31 03:00:00",34667,38249
"2024-12-31 04:00:00",34733,38238
"2024-12-31 05:00:00",34683,38262
"2024-12-31 06:00:00",32942,38342
"2024-12-31 07:00:00",31511,38500
"2024-12-31 08:00:00",31726,38698
"2024-12-31 09:00:00",32570,38885
"2024-12-31 10:00:00",35174,39039
"2024-12-31 11:00:00",39504,39146
"2024-12-31 12:00:00",44623,39241
"2024-12-31 13:00:00",48942,39317
"2024-12-31 14:00:00",50777,39387
"2024-12-31 15:00:00",50844,39441
"2024-12-31 16:00:00",48593,39510
"2024-12-31 17:00:00",44328,39539
"2024-12-31 18:00:00",41044,39596
"2024-12-31 19:00:00",38183,39688
"2024-12-31 20:00:00",36488,39840
"2024-12-31 21:00:00",35262,40033
"2024-12-31 22:00:00",33892,40246
"2024-12-31 23:00:00",31708,40437
"2025-01-01 00:00:00",29963,40609
"2025-01-01 01:00:00",30697,40772
"2025-01-01 02:00:00",32380,40880
"2025-01-01 03:00:00",33800,40950
"2025-01-01 04:00:00",35094,40993
"2025-01-01 05:00:00",36885,40998
"2025-01-01 06:00:00",38026,40985
"2025-01-01 07:00:00",38482,40921
"2025-01-01 08:00:00",38467,40807
"2025-01-01 09:00:00",38413,40700
"2025-01-01 10:00:00",39539,40607
"2025-01-01 11:00:00",43804,40570
"2025-01-01 12:00:00",48314,40535
"2025-01-01 13:00:00",51994,40532
"2025-01-01 14:00:00",52864,40535
"2025-01-01 15:00:00",52572,40536
"2025-01-01 16:00:00",49536,40515
"2025-01-01 17:00:00",47140,40517
"2025-01-01 18:00:00",46820,40549
"2025-01-01 19:00:00",47102,40619
"2025-01-01 20:00:00",47301,40738
"2025-01-01 21:00:00",46725,40866
"2025-01-01 22:00:00",44379,40926
"2025-01-01 23:00:00",41088,40991
"2025-01-02 00:00:00",37926,40996
"2025-01-02 01:00:00",36369,40972
"2025-01-02 02:00:00",35790,40974
"2025-01-02 03:00:00",35472,40975
"2025-01-02 04:00:00",34296,40937
"2025-01-02 05:00:00",33617,40872
"2025-01-02 06:00:00",31696,40733
"2025-01-02 07:00:00",30292,40591
"2025-01-02 08:00:00",30995,40478
"2025-01-02 09:00:00",32374,40399
"2025-01-02 10:00:00",35622,40359
"2025-01-02 11:00:00",40292,40333
"2025-01-02 12:00:00",46411,40355
"2025-01-02 13:00:00",50900,40377
"2025-01-02 14:00:00",51918,40406
"2025-01-02 15:00:00",51252,40438
"2025-01-02 16:00:00",47926,40477
"2025-01-02 17:00:00",44774,40517
"2025-01-02 18:00:00",43933,40528
"2025-01-02 19:00:00",44840,40509
"2025-01-02 20:00:00",44972,40441
"2025-01-02 21:00:00",42214,40320
"2025-01-02 22:00:00",40786,40263
"2025-01-02 23:00:00",35937,40179
"2025-01-03 00:00:00",33060,40153
"2025-01-03 01:00:00",34030,40163
"2025-01-03 02:00:00",34568,40159
"2025-01-03 03:00:00",34274,40190
"2025-01-03 04:00:00",33717,40264
"2025-01-03 05:00:00",32162,40346
"2025-01-03 06:00:00",31392,40489
"2025-01-03 07:00:00",30704,40658
"2025-01-03 08:00:00",31826,40841
"2025-01-03 09:00:00",33384,41013
"2025-01-03 10:00:00",36914,41170
"2025-01-03 11:00:00",42418,41322
"2025-01-03 12:00:00",48031,41437
"2025-01-03 13:00:00",52688,41544
"2025-01-03 14:00:00",54123,41645
"2025-01-03 15:00:00",53942,41757
"2025-01-03 16:00:00",51232,41886
"2025-01-03 17:00:00",47306,42009
"2025-01-03 18:00:00",44789,42115
"2025-01-03 19:00:00",43716,42184
"2025-01-03 20:00:00",43229,42236
"2025-01-03 21:00:00",42506,42324
"2025-01-03 22:00:00",41100,42398
"2025-01-03 23:00:00",38550,42507
"2025-01-04 00:00:00",35276,42594
"2025-01-04 01:00:00",34846,42650
"2025-01-04 02:00:00",36862,42724
"2025-01-04 03:00:00",37886,42837
"2025-01-04 04:00:00",38416,42967
"2025-01-04 05:00:00",38609,43133
"2025-01-04 06:00:00",38410,43314
"2025-01-04 07:00:00",37998,43505
"2025-01-04 08:00:00",38585,43692
"2025-01-04 09:00:00",39237,43847
"2025-01-04 10:00:00",41962,43982
"2025-01-04 11:00:00",46284,44085
"2025-01-04 12:00:00",51385,44181
"2025-01-04 13:00:00",55453,44261
"2025-01-04 14:00:00",56985,44328
"2025-01-04 15:00:00",57047,44370
"2025-01-04 16:00:00",54715,44407
"2025-01-04 17:00:00",51461,44436
"2025-01-04 18:00:00",48948,44469
"2025-01-04 19:00:00",47699,44523
"2025-01-04 20:00:00",47109,44602
"2025-01-04 21:00:00",45739,44674
