"DateTime","Players","Average Players"
"2021-12-18 00:00:00",11408,
"2021-12-19 00:00:00",14990,
"2021-12-20 00:00:00",14139,
"2021-12-21 00:00:00",13759,
"2021-12-22 00:00:00",13310,
"2021-12-23 00:00:00",14620,
"2021-12-24 00:00:00",13697,
"2021-12-25 00:00:00",16707,
"2021-12-26 00:00:00",19621,
"2021-12-27 00:00:00",18708,
"2021-12-28 00:00:00",17551,
"2021-12-29 00:00:00",17830,
"2021-12-30 00:00:00",17174,
"2021-12-31 00:00:00",16356,
"2022-01-01 00:00:00",17918,
"2022-01-02 00:00:00",17278,
"2022-01-03 00:00:00",15055,
"2022-01-04 00:00:00",13411,
"2022-01-05 00:00:00",12044,
"2022-01-06 00:00:00",11625,
"2022-01-07 00:00:00",12258,
"2022-01-08 00:00:00",14063,
"2022-01-09 00:00:00",13445,
"2022-01-10 00:00:00",10325,
"2022-01-11 00:00:00",10307,
"2022-01-12 00:00:00",9029,
"2022-01-13 00:00:00",8915,
"2022-01-14 00:00:00",9396,
"2022-01-15 00:00:00",11012,
"2022-01-16 00:00:00",10587,
"2022-01-17 00:00:00",9051,
"2022-01-18 00:00:00",8305,
"2022-01-19 00:00:00",7364,
"2022-01-20 00:00:00",6990,
"2022-01-21 00:00:00",7543,
"2022-01-22 00:00:00",8639,
"2022-01-23 00:00:00",8214,
"2022-01-24 00:00:00",6625,
"2022-01-25 00:00:00",6102,
"2022-01-26 00:00:00",5480,
"2022-01-27 00:00:00",5258,
"2022-01-28 00:00:00",6125,
"2022-01-29 00:00:00",13463,
"2022-01-30 00:00:00",13331,
"2022-01-31 00:00:00",9412,
"2022-02-01 00:00:00",8260,
"2022-02-02 00:00:00",7835,
"2022-02-03 00:00:00",7752,
"2022-02-04 00:00:00",8343,
"2022-02-05 00:00:00",8652,
"2022-02-06 00:00:00",8182,
"2022-02-07 00:00:00",5753,
"2022-02-08 00:00:00",5241,
"2022-02-09 00:00:00",4862,
"2022-02-10 00:00:00",4607,
"2022-02-11 00:00:00",5286,
"2022-02-12 00:00:00",5784,
"2022-02-13 00:00:00",5550,
"2022-02-14 00:00:00",3967,
"2022-02-15 00:00:00",3799,
"2022-02-16 00:00:00",4006,
"2022-02-17 00:00:00",3825,
"2022-02-18 00:00:00",4421,
"2022-02-19 00:00:00",5061,
"2022-02-20 00:00:00",4770,
"2022-02-21 00:00:00",3936,
"2022-02-22 00:00:00",3544,
"2022-02-23 00:00:00",3276,
"2022-02-24 00:00:00",3085,
"2022-02-25 00:00:00",3475,
"2022-02-26 00:00:00",3991,
"2022-02-27 00:00:00",3952,
"2022-02-28 00:00:00",3132,
"2022-03-01 00:00:00",4644,
"2022-03-02 00:00:00",4386,
"2022-03-03 00:00:00",4103,
"2022-03-04 00:00:00",4361,
"2022-03-05 00:00:00",4977,
"2022-03-06 00:00:00",4624,
"2022-03-07 00:00:00",3447,
"2022-03-08 00:00:00",3253,
"2022-03-09 00:00:00",3179,
"2022-03-10 00:00:00",3229,
"2022-03-11 00:00:00",3641,
"2022-03-12 00:00:00",4424,
"2022-03-13 00:00:00",4105,
"2022-03-14 00:00:00",3239,
"2022-03-15 00:00:00",2934,
"2022-03-16 00:00:00",2836,
"2022-03-17 00:00:00",2925,
"2022-03-18 00:00:00",3177,
"2022-03-19 00:00:00",3790,
"2022-03-20 00:00:00",3453,
"2022-03-21 00:00:00",2676,
"2022-03-22 00:00:00",2459,
"2022-03-23 00:00:00",2386,
"2022-03-24 00:00:00",2378,
"2022-03-25 00:00:00",2823,
"2022-03-26 00:00:00",3252,
"2022-03-27 00:00:00",3184,
"2022-03-28 00:00:00",2419,
"2022-03-29 00:00:00",2318,
"2022-03-30 00:00:00",2197,
"2022-03-31 00:00:00",3715,
"2022-04-01 00:00:00",4175,
"2022-04-02 00:00:00",4772,
"2022-04-03 00:00:00",4450,
"2022-04-04 00:00:00",3228,
"2022-04-05 00:00:00",2922,
"2022-04-06 00:00:00",2785,
"2022-04-07 00:00:00",2711,
"2022-04-08 00:00:00",3085,
"2022-04-09 00:00:00",3554,
"2022-04-10 00:00:00",3495,
"2022-04-11 00:00:00",2630,
"2022-04-12 00:00:00",2358,
"2022-04-13 00:00:00",2321,
"2022-04-14 00:00:00",2603,
"2022-04-15 00:00:00",3099,
"2022-04-16 00:00:00",3112,
"2022-04-17 00:00:00",3178,
"2022-04-18 00:00:00",2748,
"2022-04-19 00:00:00",2370,
"2022-04-20 00:00:00",2185,
"2022-04-21 00:00:00",2169,
"2022-04-22 00:00:00",2437,
"2022-04-23 00:00:00",2764,
"2022-04-24 00:00:00",2851,
"2022-04-25 00:00:00",2348,
"2022-04-26 00:00:00",2193,
"2022-04-27 00:00:00",2185,
"2022-04-28 00:00:00",2254,
"2022-04-29 00:00:00",2680,
"2022-04-30 00:00:00",3117,
"2022-05-01 00:00:00",3420,
"2022-05-02 00:00:00",2668,
"2022-05-03 00:00:00",2482,
"2022-05-04 00:00:00",2236,
"2022-05-05 00:00:00",2124,
"2022-05-06 00:00:00",2553,
"2022-05-07 00:00:00",2889,
"2022-05-08 00:00:00",2771,
"2022-05-09 00:00:00",2320,
"2022-05-10 00:00:00",2048,
"2022-05-11 00:00:00",2018,
"2022-05-12 00:00:00",2108,
"2022-05-13 00:00:00",2552,
"2022-05-14 00:00:00",2835,
"2022-05-15 00:00:00",2874,
"2022-05-16 00:00:00",2343,
"2022-05-17 00:00:00",2148,
"2022-05-18 00:00:00",2054,
"2022-05-19 00:00:00",2011,
"2022-05-20 00:00:00",2393,
"2022-05-21 00:00:00",2869,
"2022-05-22 00:00:00",2805,
"2022-05-23 00:00:00",2379,
"2022-05-24 00:00:00",2181,
"2022-05-25 00:00:00",2257,
"2022-05-26 00:00:00",2153,
"2022-05-27 00:00:00",2256,
"2022-05-28 00:00:00",2521,
"2022-05-29 00:00:00",2434,
"2022-05-30 00:00:00",2571,
"2022-05-31 00:00:00",1998,
"2022-06-01 00:00:00",1848,
"2022-06-02 00:00:00",1950,
"2022-06-03 00:00:00",2086,
"2022-06-04 00:00:00",2353,
"2022-06-05 00:00:00",3016,
"2022-06-06 00:00:00",2608,
"2022-06-07 00:00:00",2341,
"2022-06-08 00:00:00",2354,
"2022-06-09 00:00:00",2235,
"2022-06-10 00:00:00",2538,
"2022-06-11 00:00:00",2857,
"2022-06-12 00:00:00",4275,
"2022-06-13 00:00:00",3546,
"2022-06-14 00:00:00",3148,
"2022-06-15 00:00:00",3087,
"2022-06-16 00:00:00",2964,
"2022-06-17 00:00:00",2827,
"2022-06-18 00:00:00",3637,
"2022-06-19 00:00:00",3574,
"2022-06-20 00:00:00",3168,
"2022-06-21 00:00:00",2895,
"2022-06-22 00:00:00",2807,
"2022-06-23 00:00:00",2688,
"2022-06-24 00:00:00",3508,
