"DateTime","Players","Average Players"
"2024-12-21 00:00:00",23498,29813
"2024-12-21 01:00:00",22456,29847
"2024-12-21 02:00:00",23688,29864
"2024-12-21 03:00:00",24128,29881
"2024-12-21 04:00:00",24822,29913
"2024-12-21 05:00:00",24951,29955
"2024-12-21 06:00:00",24608,30006
"2024-12-21 07:00:00",23761,30065
"2024-12-21 08:00:00",24938,30124
"2024-12-21 09:00:00",26419,30170
"2024-12-21 10:00:00",29747,30234
"2024-12-21 11:00:00",32850,30299
"2024-12-21 12:00:00",35725,30372
"2024-12-21 13:00:00",37922,30458
"2024-12-21 14:00:00",39564,30551
"2024-12-21 15:00:00",39435,30609
"2024-12-21 16:00:00",38111,30665
"2024-12-21 17:00:00",35355,30654
"2024-12-21 18:00:00",33144,30622
"2024-12-21 19:00:00",32277,30660
"2024-12-21 20:00:00",31531,30726
"2024-12-21 21:00:00",30425,30812
"2024-12-21 22:00:00",29001,30887
"2024-12-21 23:00:00",27145,30951
"2024-12-22 00:00:00",24542,31009
"2024-12-22 01:00:00",23087,31050
"2024-12-22 02:00:00",24291,31083
"2024-12-22 03:00:00",25084,31085
"2024-12-22 04:00:00",26021,31051
"2024-12-22 05:00:00",26360,30981
"2024-12-22 06:00:00",26237,30891
"2024-12-22 07:00:00",25376,30718
"2024-12-22 08:00:00",26196,30512
"2024-12-22 09:00:00",27995,30335
"2024-12-22 10:00:00",31267,30166
"2024-12-22 11:00:00",34488,30029
"2024-12-22 12:00:00",37606,29915
"2024-12-22 13:00:00",39917,29810
"2024-12-22 14:00:00",40706,29744
"2024-12-22 15:00:00",40575,29699
"2024-12-22 16:00:00",37696,29648
"2024-12-22 17:00:00",34495,29599
"2024-12-22 18:00:00",34039,29563
"2024-12-22 19:00:00",33878,29518
"2024-12-22 20:00:00",33657,29485
"2024-12-22 21:00:00",32352,29445
"2024-12-22 22:00:00",30699,29428
"2024-12-22 23:00:00",28588,29432
"2024-12-23 00:00:00",25596,29443
"2024-12-23 01:00:00",23933,29462
"2024-12-23 02:00:00",24340,29456
"2024-12-23 03:00:00",24233,29458
"2024-12-23 04:00:00",24229,29468
"2024-12-23 05:00:00",24079,29500
"2024-12-23 06:00:00",21862,29525
"2024-12-23 07:00:00",20147,29526
"2024-12-23 08:00:00",21698,29528
"2024-12-23 09:00:00",23655,29528
"2024-12-23 10:00:00",27718,29541
"2024-12-23 11:00:00",31517,29552
"2024-12-23 12:00:00",34803,29570
"2024-12-23 13:00:00",38166,29614
"2024-12-23 14:00:00",39471,29657
"2024-12-23 15:00:00",39267,29707
"2024-12-23 16:00:00",36452,29753
"2024-12-23 17:00:00",33480,29753
"2024-12-23 18:00:00",32755,29735
"2024-12-23 19:00:00",32849,29666
"2024-12-23 20:00:00",32465,29582
"2024-12-23 21:00:00",31747,29478
"2024-12-23 22:00:00",30637,29368
"2024-12-23 23:00:00",28722,29267
"2024-12-24 00:00:00",25959,29168
"2024-12-24 01:00:00",23715,29075
"2024-12-24 02:00:00",24408,28987
"2024-12-24 03:00:00",24551,28883
"2024-12-24 04:00:00",25180,28784
"2024-12-24 05:00:00",25036,28752
"2024-12-24 06:00:00",22269,28720
"2024-12-24 07:00:00",20534,28726
"2024-12-24 08:00:00",22043,28754
"2024-12-24 09:00:00",24266,28769
"2024-12-24 10:00:00",28249,28771
"2024-12-24 11:00:00",32236,28764
"2024-12-24 12:00:00",36107,28739
"2024-12-24 13:00:00",39408,28657
"2024-12-24 14:00:00",40916,28532
"2024-12-24 15:00:00",40585,28394
"2024-12-24 16:00:00",36576,28257
"2024-12-24 17:00:00",33125,28177
"2024-12-24 18:00:00",31051,28139
"2024-12-24 19:00:00",30750,28173
"2024-12-24 20:00:00",29795,28226
"2024-12-24 21:00:00",28841,28310
"2024-12-24 22:00:00",27940,28407
"2024-12-24 23:00:00",26040,28491
"2024-12-25 00:00:00",23487,28560
"2024-12-25 01:00:00",21345,28645
"2024-12-25 02:00:00",21572,28738
"2024-12-25 03:00:00",21758,28852
"2024-12-25 04:00:00",24201,28966
"2024-12-25 05:00:00",24095,29005
"2024-12-25 06:00:00",22361,29052
"2024-12-25 07:00:00",21206,29064
"2024-12-25 08:00:00",22336,29052
"2024-12-25 09:00:00",24234,29051
"2024-12-25 10:00:00",27938,29042
"2024-12-25 11:00:00",31345,29036
"2024-12-25 12:00:00",33670,29031
"2024-12-25 13:00:00",35763,29062
"2024-12-25 14:00:00",36928,29115
"2024-12-25 15:00:00",36772,29189
"2024-12-25 16:00:00",34363,29276
"2024-12-25 17:00:00",32263,29364
"2024-12-25 18:00:00",32231,29438
"2024-12-25 19:00:00",32524,29500
"2024-12-25 20:00:00",32479,29558
"2024-12-25 21:00:00",31863,29622
"2024-12-25 22:00:00",30641,29671
"2024-12-25 23:00:00",28291,29718
"2024-12-26 00:00:00",26170,29792
"2024-12-26 01:00:00",24372,29847
"2024-12-26 02:00:00",25159,29910
"2024-12-26 03:00:00",25107,29943
"2024-12-26 04:00:00",25453,29965
"2024-12-26 05:00:00",25407,30000
"2024-12-26 06:00:00",22599,30022
"2024-12-26 07:00:00",20847,30062
"2024-12-26 08:00:00",22330,30108
"2024-12-26 09:00:00",24045,30139
"2024-12-26 10:00:00",27947,30180
"2024-12-26 11:00:00",31644,30213
"2024-12-26 12:00:00",35228,30270
"2024-12-26 13:00:00",37992,30320
"2024-12-26 14:00:00",39753,30379
"2024-12-26 15:00:00",39689,30435
"2024-12-26 16:00:00",37094,30501
"2024-12-26 17:00:00",34232,30593
"2024-12-26 18:00:00",33732,30689
"2024-12-26 19:00:00",33728,30743
"2024-12-26 20:00:00",33782,30776
"2024-12-26 21:00:00",32829,30782
"2024-12-26 22:00:00",31609,30796
"2024-12-26 23:00:00",29945,30826
"2024-12-27 00:00:00",27194,30843
"2024-12-27 01:00:00",25512,30876
"2024-12-27 02:00:00",25478,30903
"2024-12-27 03:00:00",25531,30958
"2024-12-27 04:00:00",26258,31034
"2024-12-27 05:00:00",26027,31100
"2024-12-27 06:00:00",23895,31180
"2024-12-27 07:00:00",22220,31311
"2024-12-27 08:00:00",23319,31455
"2024-12-27 09:00:00",25312,31571
"2024-12-27 10:00:00",28895,31660
"2024-12-27 11:00:00",33016,31744
"2024-12-27 12:00:00",36260,31817
"2024-12-27 13:00:00",39139,31885
"2024-12-27 14:00:00",40772,31942
"2024-12-27 15:00:00",41064,32012
"2024-12-27 16:00:00",39394,32081
"2024-12-27 17:00:00",36760,32168
"2024-12-27 18:00:00",35109,32226
"2024-12-27 19:00:00",34451,32270
"2024-12-27 20:00:00",33759,32295
"2024-12-27 21:00:00",33077,32326
"2024-12-27 22:00:00",32130,32363
"2024-12-27 23:00:00",30233,32390
"2024-12-28 00:00:00",27946,32415
"2024-12-28 01:00:00",26278,32443
"2024-12-28 02:00:00",27075,32472
"2024-12-28 03:00:00",27647,32511
"2024-12-28 04:00:00",28148,32550
"2024-12-28 05:00:00",28156,32599
"2024-12-28 06:00:00",27559,32662
"2024-12-28 07:00:00",26363,32733
"2024-12-28 08:00:00",26557,32784
"2024-12-28 09:00:00",27842,32833
"2024-12-28 10:00:00",31153,32880
"2024-12-28 11:00:00",35025,32930
"2024-12-28 12:00:00",38092,32964
"2024-12-28 13:00:00",40678,33002
"2024-12-28 14:00:00",42599,33033
"2024-12-28 15:00:00",42631,33040
"2024-12-28 16:00:00",41424,33052
"2024-12-28 17:00:00",38219,33023
"2024-12-28 18:00:00",36326,33022
"2024-12-28 19:00:00",35292,33056
"2024-12-28 20:00:00",34728,33129
"2024-12-28 21:00:00",34143,33218
"2024-12-28 22:00:00",32969,33301
"2024-12-28 23:00:00",30874,33368
"2024-12-29 00:00:00",28649,33426
"2024-12-29 01:00:00",26771,33458
"2024-12-29 02:00:00",27721,33490
"2024-12-29 03:00:00",28373,33491
"2024-12-29 04:00:00",29078,33472
"2024-12-29 05:00:00",29071,33412
"2024-12-29 06:00:00",28538,33348
"2024-12-29 07:00:00",27023,33226
"2024-12-29 08:00:00",27339,33108
"2024-12-29 09:00:00",28641,33029
"2024-12-29 10:00:00",32153,32968
"2024-12-29 11:00:00",35542,32912
"2024-12-29 12:00:00",38851,32879
"2024-12-29 13:00:00",41091,32845
"2024-12-29 14:00:00",42320,32815
"2024-12-29 15:00:00",42380,32807
"2024-12-29 16:00:00",40001,32775
"2024-12-29 17:00:00",37824,32762
"2024-12-29 18:00:00",37131,32749
"2024-12-29 19:00:00",37360,32750
"2024-12-29 20:00:00",37268,32765
"2024-12-29 21:00:00",36548,32780
"2024-12-29 22:00:00",34964,32803
"2024-12-29 23:00:00",32562,32827
"2024-12-30 00:00:00",29532,32861
"2024-12-30 01:00:00",27621,32900
"2024-12-30 02:00:00",27520,32921
"2024-12-30 03:00:00",27457,32937
"2024-12-30 04:00:00",26778,32940
"2024-12-30 05:00:00",26625,32952
"2024-12-30 06:00:00",24267,32946
"2024-12-30 07:00:00",22814,32941
"2024-12-30 08:00:00",24416,32939
"2024-12-30 09:00:00",26238,32941
"2024-12-30 10:00:00",30068,32937
"2024-12-30 11:00:00",34109,32938
"2024-12-30 12:00:00",37538,32936
"2024-12-30 13:00:00",40192,32947
"2024-12-30 14:00:00",42098,32986
"2024-12-30 15:00:00",41860,33023
"2024-12-30 16:00:00",39698,33068
"2024-12-30 17:00:00",37043,33128
"2024-12-30 18:00:00",36266,33178
"2024-12-30 19:00:00",36801,33177
"2024-12-30 20:00:00",36735,33078
"2024-12-30 21:00:00",36450,32920
"2024-12-30 22:00:00",35033,32716
"2024-12-30 23:00:00",33274,32551
"2024-12-31 00:00:00",30454,32387
"2024-12-31 01:00:00",28389,32274
"2024-12-31 02:00:00",28403,32197
"2024-12-31 03:00:00",28510,32125
"2024-12-31 04:00:00",28216,32066
"2024-12-31 05:00:00",28253,32046
"2024-12-31 06:00:00",25954,32046
"2024-12-31 07:00:00",24029,32101
"2024-12-31 08:00:00",25578,32201
"2024-12-31 09:00:00",27022,32231
"2024-12-31 10:00:00",30765,32219
"2024-12-31 11:00:00",34650,32164
"2024-12-31 12:00:00",38383,32096
"2024-12-31 13:00:00",41668,32019
"2024-12-31 14:00:00",43671,31920
"2024-12-31 15:00:00",43626,31821
"2024-12-31 16:00:00",42208,31734
"2024-12-31 17:00:00",39269,31643
"2024-12-31 18:00:00",36556,31568
"2024-12-31 19:00:00",33564,31521
"2024-12-31 20:00:00",31220,31544
"2024-12-31 21:00:00",29153,31606
"2024-12-31 22:00:00",28814,31734
"2024-12-31 23:00:00",26937,31837
"2025-01-01 00:00:00",25997,31942
"2025-01-01 01:00:00",25142,32009
"2025-01-01 02:00:00",25248,32054
"2025-01-01 03:00:00",25623,32084
"2025-01-01 04:00:00",26586,32121
"2025-01-01 05:00:00",27350,32110
