"DateTime","Players","Average Players"
"2024-12-21 00:00:00",28897,31273
"2024-12-21 01:00:00",28272,31400
"2024-12-21 02:00:00",28287,31506
"2024-12-21 03:00:00",28147,31584
"2024-12-21 04:00:00",27525,31660
"2024-12-21 05:00:00",25239,31708
"2024-12-21 06:00:00",23594,31775
"2024-12-21 07:00:00",21936,31830
"2024-12-21 08:00:00",21710,31884
"2024-12-21 09:00:00",25097,32036
"2024-12-21 10:00:00",25755,32094
"2024-12-21 11:00:00",26082,32108
"2024-12-21 12:00:00",28822,32203
"2024-12-21 13:00:00",31671,32318
"2024-12-21 14:00:00",34590,32424
"2024-12-21 15:00:00",35909,32524
"2024-12-21 16:00:00",38772,32696
"2024-12-21 17:00:00",37394,32721
"2024-12-21 18:00:00",37986,32948
"2024-12-21 19:00:00",39083,33154
"2024-12-21 20:00:00",41492,33272
"2024-12-21 21:00:00",41068,33292
"2024-12-21 22:00:00",38939,33285
"2024-12-21 23:00:00",34275,33274
"2024-12-22 00:00:00",32050,33326
"2024-12-22 01:00:00",30932,33382
"2024-12-22 02:00:00",30275,33420
"2024-12-22 03:00:00",30095,33462
"2024-12-22 04:00:00",28895,33472
"2024-12-22 05:00:00",27097,33450
"2024-12-22 06:00:00",25248,33403
"2024-12-22 07:00:00",23554,33308
"2024-12-22 08:00:00",25648,33199
"2024-12-22 09:00:00",26720,32966
"2024-12-22 10:00:00",26294,32722
"2024-12-22 11:00:00",28526,32576
"2024-12-22 12:00:00",31664,32436
"2024-12-22 13:00:00",34213,32287
"2024-12-22 14:00:00",36952,32149
"2024-12-22 15:00:00",39938,32061
"2024-12-22 16:00:00",39237,31814
"2024-12-22 17:00:00",42821,31644
"2024-12-22 18:00:00",42891,31385
"2024-12-22 19:00:00",41735,31258
"2024-12-22 20:00:00",41736,31180
"2024-12-22 21:00:00",40711,31011
"2024-12-22 22:00:00",38629,30883
"2024-12-22 23:00:00",35544,30784
"2024-12-23 00:00:00",33412,30715
"2024-12-23 01:00:00",31865,30639
"2024-12-23 02:00:00",31326,30562
"2024-12-23 03:00:00",30336,30489
"2024-12-23 04:00:00",28332,30423
"2024-12-23 05:00:00",25909,30369
"2024-12-23 06:00:00",22862,30338
"2024-12-23 07:00:00",20680,30323
"2024-12-23 08:00:00",19744,30309
"2024-12-23 09:00:00",20592,30292
"2024-12-23 10:00:00",22495,30256
"2024-12-23 11:00:00",24851,30215
"2024-12-23 12:00:00",27772,30189
"2024-12-23 13:00:00",30578,30148
"2024-12-23 14:00:00",34470,30088
"2024-12-23 15:00:00",33603,30010
"2024-12-23 16:00:00",34550,29975
"2024-12-23 17:00:00",35880,29800
"2024-12-23 18:00:00",39398,29590
"2024-12-23 19:00:00",39670,29260
"2024-12-23 20:00:00",37331,28911
"2024-12-23 21:00:00",37380,28655
"2024-12-23 22:00:00",35903,28472
"2024-12-23 23:00:00",33574,28305
"2024-12-24 00:00:00",31282,28037
"2024-12-24 01:00:00",29700,27763
"2024-12-24 02:00:00",29297,27500
"2024-12-24 03:00:00",28573,27259
"2024-12-24 04:00:00",26893,27046
"2024-12-24 05:00:00",25190,26888
"2024-12-24 06:00:00",22580,26784
"2024-12-24 07:00:00",20713,26735
"2024-12-24 08:00:00",19699,26720
"2024-12-24 09:00:00",19905,26806
"2024-12-24 10:00:00",21662,26811
"2024-12-24 11:00:00",24430,26812
"2024-12-24 12:00:00",26948,26770
"2024-12-24 13:00:00",29153,26722
"2024-12-24 14:00:00",32937,26674
"2024-12-24 15:00:00",33063,26564
"2024-12-24 16:00:00",30580,26487
"2024-12-24 17:00:00",30601,26640
"2024-12-24 18:00:00",30827,26744
"2024-12-24 19:00:00",30821,26900
"2024-12-24 20:00:00",30816,27117
"2024-12-24 21:00:00",32727,27368
"2024-12-24 22:00:00",31585,27545
"2024-12-24 23:00:00",26573,27779
"2024-12-25 00:00:00",24123,28159
"2024-12-25 01:00:00",22805,28474
"2024-12-25 02:00:00",22926,28790
"2024-12-25 03:00:00",22897,29080
"2024-12-25 04:00:00",22616,29338
"2024-12-25 05:00:00",22310,29550
"2024-12-25 06:00:00",21115,29706
"2024-12-25 07:00:00",20176,29832
"2024-12-25 08:00:00",21968,29929
"2024-12-25 09:00:00",20005,29908
"2024-12-25 10:00:00",21592,29987
"2024-12-25 11:00:00",23269,30068
"2024-12-25 12:00:00",25697,30173
"2024-12-25 13:00:00",27922,30299
"2024-12-25 14:00:00",29879,30434
"2024-12-25 15:00:00",31375,30608
"2024-12-25 16:00:00",35347,30832
"2024-12-25 17:00:00",34553,30950
"2024-12-25 18:00:00",36276,31174
"2024-12-25 19:00:00",37656,31403
"2024-12-25 20:00:00",38343,31619
"2024-12-25 21:00:00",38220,31904
"2024-12-25 22:00:00",39075,32203
"2024-12-25 23:00:00",38160,32437
"2024-12-26 00:00:00",33966,32531
"2024-12-26 01:00:00",32612,32693
"2024-12-26 02:00:00",31966,32845
"2024-12-26 03:00:00",30862,32984
"2024-12-26 04:00:00",29119,33115
"2024-12-26 05:00:00",27045,33215
"2024-12-26 06:00:00",24885,33292
