"DateTime","Players","Average Players"
"2024-08-27 00:00:00",12242,8058
"2024-08-28 00:00:00",12549,6133
"2024-08-29 00:00:00",9075,4842
"2024-08-30 00:00:00",7708,4401
"2024-08-31 00:00:00",6825,4352
"2024-09-01 00:00:00",6313,4445
"2024-09-02 00:00:00",6531,4295
"2024-09-03 00:00:00",6331,3193
"2024-09-04 00:00:00",5225,2775
"2024-09-05 00:00:00",4530,2473
"2024-09-06 00:00:00",3763,2259
"2024-09-07 00:00:00",3801,2612
"2024-09-08 00:00:00",3729,2641
"2024-09-09 00:00:00",3440,1918
"2024-09-10 00:00:00",3100,1745
"2024-09-11 00:00:00",2760,1638
"2024-09-12 00:00:00",2721,1606
"2024-09-13 00:00:00",2625,1672
"2024-09-14 00:00:00",2885,1949
"2024-09-15 00:00:00",2741,1956
"2024-09-16 00:00:00",2690,1434
"2024-09-17 00:00:00",3323,1805
"2024-09-18 00:00:00",3485,1900
"2024-09-19 00:00:00",2952,1608
"2024-09-20 00:00:00",2659,1654
"2024-09-21 00:00:00",2932,1992
"2024-09-22 00:00:00",2951,2072
"2024-09-23 00:00:00",2775,1566
"2024-09-24 00:00:00",2650,1494
"2024-09-25 00:00:00",2568,1423
"2024-09-26 00:00:00",2283,1388
"2024-09-27 00:00:00",2355,1416
"2024-09-28 00:00:00",2420,1637
"2024-09-29 00:00:00",2315,1665
"2024-09-30 00:00:00",2145,1207
"2024-10-01 00:00:00",1869,1088
"2024-10-02 00:00:00",1675,1029
"2024-10-03 00:00:00",2156,1056
"2024-10-04 00:00:00",2260,1369
"2024-10-05 00:00:00",2304,1559
"2024-10-06 00:00:00",2345,1567
"2024-10-07 00:00:00",2122,1188
"2024-10-08 00:00:00",1937,1084
"2024-10-09 00:00:00",1866,1056
"2024-10-10 00:00:00",1730,1015
"2024-10-11 00:00:00",1589,1023
"2024-10-12 00:00:00",1753,1218
"2024-10-13 00:00:00",1823,1285
"2024-10-14 00:00:00",1634,1028
"2024-10-15 00:00:00",1609,950
"2024-10-16 00:00:00",1482,939
"2024-10-17 00:00:00",1914,924
"2024-10-18 00:00:00",2072,1260
"2024-10-19 00:00:00",1956,1347
"2024-10-20 00:00:00",1978,1425
"2024-10-21 00:00:00",1832,1097
"2024-10-22 00:00:00",1865,1073
"2024-10-23 00:00:00",1781,1029
"2024-10-24 00:00:00",1759,1018
"2024-10-25 00:00:00",1666,992
"2024-10-26 00:00:00",1490,1101
"2024-10-27 00:00:00",1563,1135
"2024-10-28 00:00:00",1521,928
"2024-10-29 00:00:00",1818,1098
"2024-10-30 00:00:00",2070,1241
"2024-10-31 00:00:00",1809,1151
"2024-11-01 00:00:00",1769,1105
"2024-11-02 00:00:00",1880,1334
"2024-11-03 00:00:00",2023,1379
"2024-11-04 00:00:00",1749,1094
"2024-11-05 00:00:00",1585,1040
"2024-11-06 00:00:00",1601,1053
"2024-11-07 00:00:00",1624,1037
"2024-11-08 00:00:00",1584,1056
"2024-11-09 00:00:00",1849,1300
"2024-11-10 00:00:00",1915,1360
"2024-11-11 00:00:00",1787,1150
"2024-11-12 00:00:00",2234,1313
"2024-11-13 00:00:00",2438,1363
"2024-11-14 00:00:00",2213,1248
"2024-11-15 00:00:00",1977,1272
