"DateTime","Players","Average Players"
"2023-02-23 00:00:00",269563,185475
"2023-02-24 00:00:00",350105,260148
"2023-02-25 00:00:00",411999,314027
"2023-02-26 00:00:00",414257,312366
"2023-02-27 00:00:00",263545,200978
"2023-02-28 00:00:00",231612,172498
"2023-03-01 00:00:00",200570,148927
"2023-03-02 00:00:00",172193,129072
"2023-03-03 00:00:00",183997,129054
"2023-03-04 00:00:00",199061,154803
"2023-03-05 00:00:00",190711,148432
"2023-03-06 00:00:00",125063,89793
"2023-03-07 00:00:00",107830,76050
"2023-03-08 00:00:00",93969,67021
"2023-03-09 00:00:00",106259,63852
"2023-03-10 00:00:00",118735,79980
"2023-03-11 00:00:00",127513,97048
"2023-03-12 00:00:00",122631,95075
"2023-03-13 00:00:00",81165,56157
"2023-03-14 00:00:00",72914,47957
"2023-03-15 00:00:00",62572,42992
"2023-03-16 00:00:00",56552,38384
"2023-03-17 00:00:00",60859,39756
"2023-03-18 00:00:00",66039,48648
"2023-03-19 00:00:00",65386,49256
"2023-03-20 00:00:00",46517,30491
"2023-03-21 00:00:00",40501,27122
"2023-03-22 00:00:00",36792,24303
"2023-03-23 00:00:00",34841,22892
"2023-03-24 00:00:00",43724,28147
"2023-03-25 00:00:00",48923,35759
"2023-03-26 00:00:00",50020,36326
"2023-03-27 00:00:00",34284,22905
"2023-03-28 00:00:00",31056,20153
"2023-03-29 00:00:00",28158,18574
"2023-03-30 00:00:00",27018,17479
"2023-03-31 00:00:00",31114,19428
"2023-04-01 00:00:00",34935,25027
"2023-04-02 00:00:00",34736,25474
"2023-04-03 00:00:00",25133,16478
"2023-04-04 00:00:00",23029,15246
"2023-04-05 00:00:00",21392,15063
"2023-04-06 00:00:00",23809,14771
"2023-04-07 00:00:00",33242,22903
"2023-04-08 00:00:00",31406,23525
"2023-04-09 00:00:00",31764,22653
"2023-04-10 00:00:00",26168,18368
"2023-04-11 00:00:00",20790,13882
"2023-04-12 00:00:00",19370,12406
"2023-04-13 00:00:00",18290,11408
"2023-04-14 00:00:00",20610,12522
"2023-04-15 00:00:00",23168,16074
"2023-04-16 00:00:00",22762,16292
"2023-04-17 00:00:00",16166,10303
"2023-04-18 00:00:00",14581,9238
"2023-04-19 00:00:00",13812,8622
"2023-04-20 00:00:00",13707,8505
"2023-04-21 00:00:00",16998,10441
"2023-04-22 00:00:00",19587,13354
"2023-04-23 00:00:00",20705,14370
"2023-04-24 00:00:00",14738,9567
"2023-04-25 00:00:00",13643,8719
"2023-04-26 00:00:00",12243,7800
"2023-04-27 00:00:00",11971,7428
"2023-04-28 00:00:00",13478,8187
"2023-04-29 00:00:00",15562,10659
"2023-04-30 00:00:00",17928,11943
"2023-05-01 00:00:00",14054,10027
"2023-05-02 00:00:00",11299,7323
"2023-05-03 00:00:00",9979,6549
"2023-05-04 00:00:00",9748,6100
"2023-05-05 00:00:00",11066,6769
"2023-05-06 00:00:00",12784,8716
"2023-05-07 00:00:00",13173,9427
"2023-05-08 00:00:00",9842,6419
"2023-05-09 00:00:00",8920,5622
"2023-05-10 00:00:00",8801,5344
"2023-05-11 00:00:00",8609,5320
"2023-05-12 00:00:00",12158,7520
"2023-05-13 00:00:00",13823,9797
"2023-05-14 00:00:00",14132,10184
"2023-05-15 00:00:00",11513,7020
"2023-05-16 00:00:00",10978,6693
"2023-05-17 00:00:00",10694,6708
"2023-05-18 00:00:00",10662,7145
"2023-05-19 00:00:00",11439,7079
"2023-05-20 00:00:00",12478,8449
"2023-05-21 00:00:00",12409,8756
"2023-05-22 00:00:00",9459,5931
"2023-05-23 00:00:00",8778,5546
"2023-05-24 00:00:00",8509,5304
"2023-05-25 00:00:00",8074,5144
"2023-05-26 00:00:00",11166,6212
"2023-05-27 00:00:00",13491,9275
"2023-05-28 00:00:00",14912,10373
"2023-05-29 00:00:00",14348,9385
"2023-05-30 00:00:00",10997,6974
"2023-05-31 00:00:00",10365,6496
"2023-06-01 00:00:00",9730,6163
"2023-06-02 00:00:00",10304,6495
"2023-06-03 00:00:00",11646,7977
"2023-06-04 00:00:00",12336,8670
"2023-06-05 00:00:00",9267,6120
"2023-06-06 00:00:00",8707,5640
"2023-06-07 00:00:00",8458,5447
"2023-06-08 00:00:00",8543,5713
"2023-06-09 00:00:00",8570,5691
"2023-06-10 00:00:00",9176,6742
"2023-06-11 00:00:00",10021,7285
"2023-06-12 00:00:00",7929,5270
"2023-06-13 00:00:00",7275,4782
"2023-06-14 00:00:00",6820,4623
"2023-06-15 00:00:00",6821,4474
"2023-06-16 00:00:00",7253,4750
