"DateTime","Users","Average Users"
"2017-08-13 00:00:00",174,
"2017-08-14 00:00:00",148,
"2017-08-15 00:00:00",1318,
"2017-08-16 00:00:00",705,
"2017-08-17 00:00:00",876,
"2017-08-18 00:00:00",147,
"2017-08-19 00:00:00",164,
"2017-08-20 00:00:00",201,
"2017-08-21 00:00:00",183,
"2017-08-22 00:00:00",1837,
"2017-08-23 00:00:00",1166,
"2017-08-24 00:00:00",144,
"2017-08-25 00:00:00",164,
"2017-08-26 00:00:00",230,
"2017-08-27 00:00:00",234,
"2017-08-28 00:00:00",246,
"2017-08-29 00:00:00",1910,
"2017-08-30 00:00:00",888,
"2017-08-31 00:00:00",151,
"2017-09-01 00:00:00",137,
"2017-09-02 00:00:00",174,
"2017-09-03 00:00:00",162,
"2017-09-04 00:00:00",156,
"2017-09-05 00:00:00",1812,
"2017-09-06 00:00:00",1110,
"2017-09-07 00:00:00",1666,
"2017-09-08 00:00:00",158,
"2017-09-09 00:00:00",273,
"2017-09-10 00:00:00",203,
"2017-09-11 00:00:00",147,
"2017-09-12 00:00:00",1887,
"2017-09-13 00:00:00",1304,
"2017-09-14 00:00:00",869,
"2017-09-15 00:00:00",158,
"2017-09-16 00:00:00",221,
"2017-09-17 00:00:00",208,
"2017-09-18 00:00:00",153,
"2017-09-19 00:00:00",2108,
"2017-09-20 00:00:00",995,
"2017-09-21 00:00:00",160,
"2017-09-22 00:00:00",155,
"2017-09-23 00:00:00",162,
"2017-09-24 00:00:00",431,
"2017-09-25 00:00:00",269,
"2017-09-26 00:00:00",2043,
"2017-09-27 00:00:00",1130,
"2017-09-28 00:00:00",209,
"2017-09-29 00:00:00",178,
"2017-09-30 00:00:00",175,
"2017-10-01 00:00:00",347,
"2017-10-02 00:00:00",163,
"2017-10-03 00:00:00",2318,
"2017-10-04 00:00:00",1196,
"2017-10-05 00:00:00",148,
"2017-10-06 00:00:00",1725,
"2017-10-07 00:00:00",907,
"2017-10-08 00:00:00",280,
"2017-10-09 00:00:00",166,
"2017-10-10 00:00:00",161,
"2017-10-11 00:00:00",2154,
"2017-10-12 00:00:00",1733,
"2017-10-13 00:00:00",199,
"2017-10-14 00:00:00",200,
"2017-10-15 00:00:00",217,
"2017-10-16 00:00:00",171,
"2017-10-17 00:00:00",2342,
"2017-10-18 00:00:00",2023,
"2017-10-19 00:00:00",1083,
"2017-10-20 00:00:00",204,
"2017-10-21 00:00:00",225,
"2017-10-22 00:00:00",227,
"2017-10-23 00:00:00",206,
"2017-10-24 00:00:00",2770,
"2017-10-25 00:00:00",2134,
"2017-10-26 00:00:00",1670,
"2017-10-27 00:00:00",205,
"2017-10-28 00:00:00",2337,
"2017-10-29 00:00:00",256,
"2017-10-30 00:00:00",230,
"2017-10-31 00:00:00",3311,
"2017-11-01 00:00:00",1676,
"2017-11-02 00:00:00",238,
"2017-11-03 00:00:00",254,
"2017-11-04 00:00:00",271,
"2017-11-05 00:00:00",282,
"2017-11-06 00:00:00",225,
"2017-11-07 00:00:00",259,
"2017-11-08 00:00:00",2462,
"2017-11-09 00:00:00",245,
"2017-11-10 00:00:00",237,
"2017-11-11 00:00:00",267,
"2017-11-12 00:00:00",303,
"2017-11-13 00:00:00",2707,
"2017-11-14 00:00:00",1729,
"2017-11-15 00:00:00",708,
"2017-11-16 00:00:00",2060,
"2017-11-17 00:00:00",415,
"2017-11-18 00:00:00",211,
"2017-11-19 00:00:00",229,
"2017-11-20 00:00:00",231,
"2017-11-21 00:00:00",238,
"2017-11-22 00:00:00",2371,
"2017-11-23 00:00:00",294,
"2017-11-24 00:00:00",240,
"2017-11-25 00:00:00",267,
"2017-11-26 00:00:00",367,
"2017-11-27 00:00:00",238,
"2017-11-28 00:00:00",235,
"2017-11-29 00:00:00",2896,
"2017-11-30 00:00:00",222,
"2017-12-01 00:00:00",270,
"2017-12-02 00:00:00",282,
"2017-12-03 00:00:00",235,
"2017-12-04 00:00:00",1035,
"2017-12-05 00:00:00",466,
"2017-12-06 00:00:00",2770,
"2017-12-07 00:00:00",854,
"2017-12-08 00:00:00",226,
"2017-12-09 00:00:00",259,
"2017-12-10 00:00:00",338,
"2017-12-11 00:00:00",238,
"2017-12-12 00:00:00",413,
"2017-12-13 00:00:00",2756,
"2017-12-14 00:00:00",1915,
"2017-12-15 00:00:00",218,
"2017-12-16 00:00:00",229,
"2017-12-17 00:00:00",240,
"2017-12-18 00:00:00",221,
"2017-12-19 00:00:00",207,
"2017-12-20 00:00:00",3341,
"2017-12-21 00:00:00",225,
"2017-12-22 00:00:00",209,
"2017-12-23 00:00:00",267,
"2017-12-24 00:00:00",198,
"2017-12-25 00:00:00",228,
"2017-12-26 00:00:00",243,
"2017-12-27 00:00:00",265,
"2017-12-28 00:00:00",630,
"2017-12-29 00:00:00",279,
"2017-12-30 00:00:00",304,
"2017-12-31 00:00:00",241,
"2018-01-01 00:00:00",302,
"2018-01-02 00:00:00",314,
"2018-01-03 00:00:00",293,
"2018-01-04 00:00:00",479,
"2018-01-05 00:00:00",497,
"2018-01-06 00:00:00",583,
"2018-01-07 00:00:00",368,
"2018-01-08 00:00:00",412,
"2018-01-09 00:00:00",363,
"2018-01-10 00:00:00",4334,
"2018-01-11 00:00:00",337,
"2018-01-12 00:00:00",3225,
"2018-01-13 00:00:00",606,
"2018-01-14 00:00:00",475,
"2018-01-15 00:00:00",473,
"2018-01-16 00:00:00",396,
"2018-01-17 00:00:00",5163,
"2018-01-18 00:00:00",443,
"2018-01-19 00:00:00",360,
"2018-01-20 00:00:00",387,
"2018-01-21 00:00:00",430,
"2018-01-22 00:00:00",359,
"2018-01-23 00:00:00",570,
"2018-01-24 00:00:00",5177,
"2018-01-25 00:00:00",362,
"2018-01-26 00:00:00",367,
"2018-01-27 00:00:00",340,
"2018-01-28 00:00:00",468,
"2018-01-29 00:00:00",1944,
"2018-01-30 00:00:00",5862,
"2018-01-31 00:00:00",3637,
"2018-02-01 00:00:00",397,
"2018-02-02 00:00:00",580,
"2018-02-03 00:00:00",466,
"2018-02-04 00:00:00",414,
"2018-02-05 00:00:00",343,
"2018-02-06 00:00:00",5681,
