"DateTime","Players","Average Players"
"2024-12-21 00:00:00",21953,31627
"2024-12-21 01:00:00",22699,31684
"2024-12-21 02:00:00",25042,31739
"2024-12-21 03:00:00",26405,31796
"2024-12-21 04:00:00",27788,31868
"2024-12-21 05:00:00",29050,31937
"2024-12-21 06:00:00",29187,32020
"2024-12-21 07:00:00",29532,32120
"2024-12-21 08:00:00",29691,32223
"2024-12-21 09:00:00",29699,32316
"2024-12-21 10:00:00",29912,32395
"2024-12-21 11:00:00",33612,32417
"2024-12-21 12:00:00",37920,32439
"2024-12-21 13:00:00",41788,32453
"2024-12-21 14:00:00",43529,32474
"2024-12-21 15:00:00",43322,32457
"2024-12-21 16:00:00",40612,32427
"2024-12-21 17:00:00",36674,32300
"2024-12-21 18:00:00",34008,32189
"2024-12-21 19:00:00",32295,32127
"2024-12-21 20:00:00",31231,32119
"2024-12-21 21:00:00",29743,32140
"2024-12-21 22:00:00",27692,32166
"2024-12-21 23:00:00",25653,32218
"2024-12-22 00:00:00",23641,32267
"2024-12-22 01:00:00",24285,32319
"2024-12-22 02:00:00",26603,32313
"2024-12-22 03:00:00",28311,32262
"2024-12-22 04:00:00",29563,32160
"2024-12-22 05:00:00",31173,32037
"2024-12-22 06:00:00",31709,31845
"2024-12-22 07:00:00",32127,31550
"2024-12-22 08:00:00",32052,31176
"2024-12-22 09:00:00",31711,30831
"2024-12-22 10:00:00",30427,30529
"2024-12-22 11:00:00",33982,30330
"2024-12-22 12:00:00",37990,30154
"2024-12-22 13:00:00",41956,30019
"2024-12-22 14:00:00",42776,29919
"2024-12-22 15:00:00",42330,29839
"2024-12-22 16:00:00",37361,29750
"2024-12-22 17:00:00",33898,29673
"2024-12-22 18:00:00",32478,29590
"2024-12-22 19:00:00",32125,29525
"2024-12-22 20:00:00",31826,29460
"2024-12-22 21:00:00",30533,29391
"2024-12-22 22:00:00",29190,29339
"2024-12-22 23:00:00",26835,29273
"2024-12-23 00:00:00",24887,29238
"2024-12-23 01:00:00",24096,29208
"2024-12-23 02:00:00",25290,29198
"2024-12-23 03:00:00",25701,29207
"2024-12-23 04:00:00",26399,29216
"2024-12-23 05:00:00",26270,29239
"2024-12-23 06:00:00",24167,29252
"2024-12-23 07:00:00",22618,29263
"2024-12-23 08:00:00",23242,29279
"2024-12-23 09:00:00",24010,29267
"2024-12-23 10:00:00",25317,29237
"2024-12-23 11:00:00",29463,29210
"2024-12-23 12:00:00",34473,29187
"2024-12-23 13:00:00",39376,29169
"2024-12-23 14:00:00",40703,29146
"2024-12-23 15:00:00",40179,29125
"2024-12-23 16:00:00",35456,29102
"2024-12-23 17:00:00",31798,29054
"2024-12-23 18:00:00",30722,29004
"2024-12-23 19:00:00",30333,28937
"2024-12-23 20:00:00",29900,28847
"2024-12-23 21:00:00",29000,28752
"2024-12-23 22:00:00",27316,28644
"2024-12-23 23:00:00",25733,28524
"2024-12-24 00:00:00",24009,28376
"2024-12-24 01:00:00",23804,28213
"2024-12-24 02:00:00",25611,28001
"2024-12-24 03:00:00",26077,27769
"2024-12-24 04:00:00",27247,27574
"2024-12-24 05:00:00",27132,27449
"2024-12-24 06:00:00",25147,27348
"2024-12-24 07:00:00",23685,27307
"2024-12-24 08:00:00",23527,27286
"2024-12-24 09:00:00",23624,27282
"2024-12-24 10:00:00",24969,27276
"2024-12-24 11:00:00",29169,27263
"2024-12-24 12:00:00",34201,27240
"2024-12-24 13:00:00",38947,27204
"2024-12-24 14:00:00",40328,27167
"2024-12-24 15:00:00",39737,27121
"2024-12-24 16:00:00",34381,27066
"2024-12-24 17:00:00",30642,27031
"2024-12-24 18:00:00",29117,27005
"2024-12-24 19:00:00",28144,26988
"2024-12-24 20:00:00",27511,27000
"2024-12-24 21:00:00",26308,27028
"2024-12-24 22:00:00",24243,27060
"2024-12-24 23:00:00",21872,27126
"2024-12-25 00:00:00",19646,27222
"2024-12-25 01:00:00",18075,27328
"2024-12-25 02:00:00",19319,27493
"2024-12-25 03:00:00",20695,27674
"2024-12-25 04:00:00",23730,27821
"2024-12-25 05:00:00",24232,27915
"2024-12-25 06:00:00",23849,28000
"2024-12-25 07:00:00",23006,28043
"2024-12-25 08:00:00",23390,28079
"2024-12-25 09:00:00",23427,28116
"2024-12-25 10:00:00",24571,28160
"2024-12-25 11:00:00",28499,28223
"2024-12-25 12:00:00",33216,28279
"2024-12-25 13:00:00",37888,28336
"2024-12-25 14:00:00",39071,28406
"2024-12-25 15:00:00",38293,28486
"2024-12-25 16:00:00",33509,28586
"2024-12-25 17:00:00",30056,28703
"2024-12-25 18:00:00",28896,28813
"2024-12-25 19:00:00",28744,28925
"2024-12-25 20:00:00",28600,29035
"2024-12-25 21:00:00",27572,29134
"2024-12-25 22:00:00",26601,29246
"2024-12-25 23:00:00",25128,29355
"2024-12-26 00:00:00",23423,29455
"2024-12-26 01:00:00",23610,29567
"2024-12-26 02:00:00",25203,29660
"2024-12-26 03:00:00",25362,29737
"2024-12-26 04:00:00",26841,29822
"2024-12-26 05:00:00",26848,29886
"2024-12-26 06:00:00",25193,29944
"2024-12-26 07:00:00",24087,30017
"2024-12-26 08:00:00",24525,30091
"2024-12-26 09:00:00",24775,30166
"2024-12-26 10:00:00",26509,30250
"2024-12-26 11:00:00",30313,30336
"2024-12-26 12:00:00",35076,30429
"2024-12-26 13:00:00",40137,30524
"2024-12-26 14:00:00",41689,30609
"2024-12-26 15:00:00",41367,30977
"2024-12-26 16:00:00",37019,31335
"2024-12-26 17:00:00",33309,31619
"2024-12-26 18:00:00",32078,31825
"2024-12-26 19:00:00",31800,31963
"2024-12-26 20:00:00",31294,32067
"2024-12-26 21:00:00",30425,32152
"2024-12-26 22:00:00",29185,32234
"2024-12-26 23:00:00",27359,32296
"2024-12-27 00:00:00",25661,32349
"2024-12-27 01:00:00",25215,32398
"2024-12-27 02:00:00",26561,32458
"2024-12-27 03:00:00",27267,32543
"2024-12-27 04:00:00",28234,32638
"2024-12-27 05:00:00",28329,32738
"2024-12-27 06:00:00",27176,32877
"2024-12-27 07:00:00",26091,33066
"2024-12-27 08:00:00",26506,33287
"2024-12-27 09:00:00",26890,33495
"2024-12-27 10:00:00",28732,33689
"2024-12-27 11:00:00",32707,33841
"2024-12-27 12:00:00",37469,33985
"2024-12-27 13:00:00",42117,34108
"2024-12-27 14:00:00",51940,34285
"2024-12-27 15:00:00",51238,34194
"2024-12-27 16:00:00",44772,34106
"2024-12-27 17:00:00",38791,34123
"2024-12-27 18:00:00",35574,34175
"2024-12-27 19:00:00",34364,34242
"2024-12-27 20:00:00",33277,34310
"2024-12-27 21:00:00",32366,34392
"2024-12-27 22:00:00",30613,34450
"2024-12-27 23:00:00",28521,34499
"2024-12-28 00:00:00",26834,34536
"2024-12-28 01:00:00",26818,34567
"2024-12-28 02:00:00",28746,34607
"2024-12-28 03:00:00",29913,34659
"2024-12-28 04:00:00",30979,34719
"2024-12-28 05:00:00",32145,34795
"2024-12-28 06:00:00",32501,34900
"2024-12-28 07:00:00",32435,35008
"2024-12-28 08:00:00",32394,35127
"2024-12-28 09:00:00",32353,35230
"2024-12-28 10:00:00",32872,35306
"2024-12-28 11:00:00",36621,35324
"2024-12-28 12:00:00",40868,35324
"2024-12-28 13:00:00",44851,35326
"2024-12-28 14:00:00",46544,35234
"2024-12-28 15:00:00",46458,35122
"2024-12-28 16:00:00",43830,35042
"2024-12-28 17:00:00",39488,34942
"2024-12-28 18:00:00",36994,34894
"2024-12-28 19:00:00",35995,34895
"2024-12-28 20:00:00",35314,34933
"2024-12-28 21:00:00",33849,34979
"2024-12-28 22:00:00",31870,35041
"2024-12-28 23:00:00",29410,35104
"2024-12-29 00:00:00",27421,35167
"2024-12-29 01:00:00",27473,35230
"2024-12-29 02:00:00",29657,35267
"2024-12-29 03:00:00",31034,35280
"2024-12-29 04:00:00",32245,35255
"2024-12-29 05:00:00",33855,35206
"2024-12-29 06:00:00",33955,35105
"2024-12-29 07:00:00",34393,34957
"2024-12-29 08:00:00",33963,34757
"2024-12-29 09:00:00",33459,34579
"2024-12-29 10:00:00",32204,34412
"2024-12-29 11:00:00",35509,34320
"2024-12-29 12:00:00",40043,34250
"2024-12-29 13:00:00",43730,34178
"2024-12-29 14:00:00",44586,34101
"2024-12-29 15:00:00",44257,34035
"2024-12-29 16:00:00",40389,33952
"2024-12-29 17:00:00",37466,33895
"2024-12-29 18:00:00",36456,33851
"2024-12-29 19:00:00",36521,33811
"2024-12-29 20:00:00",36292,33777
"2024-12-29 21:00:00",35445,33754
"2024-12-29 22:00:00",33599,33740
"2024-12-29 23:00:00",31270,33736
"2024-12-30 00:00:00",29250,33739
"2024-12-30 01:00:00",28347,33730
"2024-12-30 02:00:00",29684,33728
"2024-12-30 03:00:00",29748,33705
"2024-12-30 04:00:00",29998,33684
"2024-12-30 05:00:00",29985,33658
"2024-12-30 06:00:00",28305,33610
"2024-12-30 07:00:00",27136,33546
"2024-12-30 08:00:00",27578,33481
"2024-12-30 09:00:00",28130,33419
