"DateTime","Players","Average Players"
"2023-12-08 00:00:00",200677,141867
"2023-12-09 00:00:00",221396,161219
"2023-12-10 00:00:00",242619,176503
"2023-12-11 00:00:00",207921,146029
"2023-12-12 00:00:00",217059,151056
"2023-12-13 00:00:00",203224,145736
"2023-12-14 00:00:00",190995,139245
"2023-12-15 00:00:00",181726,135065
"2023-12-16 00:00:00",195003,147623
"2023-12-17 00:00:00",189644,149635
"2023-12-18 00:00:00",151225,123014
"2023-12-19 00:00:00",145329,119106
"2023-12-20 00:00:00",131647,110865
"2023-12-21 00:00:00",135162,109661
"2023-12-22 00:00:00",138340,104133
"2023-12-23 00:00:00",143510,111587
"2023-12-24 00:00:00",127352,104387
"2023-12-25 00:00:00",110519,90055
"2023-12-26 00:00:00",121202,96310
"2023-12-27 00:00:00",121045,97727
"2023-12-28 00:00:00",122194,96233
"2023-12-29 00:00:00",117975,96431
"2023-12-30 00:00:00",120439,98249
"2023-12-31 00:00:00",102207,85215
"2024-01-01 00:00:00",117038,84466
"2024-01-02 00:00:00",105988,85325
"2024-01-03 00:00:00",100458,81289
"2024-01-04 00:00:00",98425,78452
"2024-01-05 00:00:00",103993,81169
"2024-01-06 00:00:00",114647,90458
"2024-01-07 00:00:00",116194,92289
"2024-01-08 00:00:00",90029,72757
"2024-01-09 00:00:00",89487,69201
"2024-01-10 00:00:00",78403,63389
"2024-01-11 00:00:00",76105,59667
"2024-01-12 00:00:00",85379,63718
"2024-01-13 00:00:00",91547,73513
"2024-01-14 00:00:00",93224,73474
"2024-01-15 00:00:00",86498,62077
"2024-01-16 00:00:00",75968,58279
"2024-01-17 00:00:00",73245,56476
"2024-01-18 00:00:00",66762,53483
"2024-01-19 00:00:00",70795,54099
"2024-01-20 00:00:00",74873,60658
"2024-01-21 00:00:00",74877,58869
"2024-01-22 00:00:00",57285,44979
"2024-01-23 00:00:00",53490,41890
"2024-01-24 00:00:00",51314,39596
"2024-01-25 00:00:00",49542,38501
"2024-01-26 00:00:00",50441,38999
"2024-01-27 00:00:00",54860,43476
"2024-01-28 00:00:00",57887,44104
"2024-01-29 00:00:00",44178,34130
"2024-01-30 00:00:00",41869,32393
"2024-01-31 00:00:00",44624,32658
"2024-02-01 00:00:00",41467,33177
"2024-02-02 00:00:00",43455,33225
"2024-02-03 00:00:00",47807,37877
"2024-02-04 00:00:00",49394,38371
"2024-02-05 00:00:00",39040,30319
"2024-02-06 00:00:00",36894,28154
"2024-02-07 00:00:00",34630,26933
"2024-02-08 00:00:00",34093,26196
"2024-02-09 00:00:00",34508,26440
"2024-02-10 00:00:00",37860,29716
"2024-02-11 00:00:00",40673,29912
"2024-02-12 00:00:00",32220,23308
"2024-02-13 00:00:00",30024,23406
"2024-02-14 00:00:00",27306,21520
"2024-02-15 00:00:00",29667,21515
"2024-02-16 00:00:00",31005,23575
"2024-02-17 00:00:00",33963,26356
"2024-02-18 00:00:00",34678,26321
"2024-02-19 00:00:00",30072,22033
"2024-02-20 00:00:00",26609,20682
"2024-02-21 00:00:00",25362,19582
"2024-02-22 00:00:00",25844,19461
"2024-02-23 00:00:00",25359,19607
"2024-02-24 00:00:00",26717,21631
"2024-02-25 00:00:00",28050,21873
"2024-02-26 00:00:00",23720,17774
"2024-02-27 00:00:00",21929,17012
"2024-02-28 00:00:00",22400,17212
"2024-02-29 00:00:00",24793,17748
"2024-03-01 00:00:00",25592,19831
"2024-03-02 00:00:00",26874,22179
"2024-03-03 00:00:00",27530,21973
"2024-03-04 00:00:00",21990,16936
"2024-03-05 00:00:00",21504,16336
"2024-03-06 00:00:00",21167,16061
"2024-03-07 00:00:00",20552,16040
"2024-03-08 00:00:00",24733,17746
"2024-03-09 00:00:00",23954,19920
"2024-03-10 00:00:00",24535,19547
"2024-03-11 00:00:00",22478,15877
"2024-03-12 00:00:00",22258,16617
"2024-03-13 00:00:00",22833,16527
"2024-03-14 00:00:00",48519,28820
"2024-03-15 00:00:00",41740,32772
"2024-03-16 00:00:00",40898,34222
"2024-03-17 00:00:00",41666,32922
"2024-03-18 00:00:00",33898,24852
"2024-03-19 00:00:00",31240,23312
"2024-03-20 00:00:00",28669,21531
"2024-03-21 00:00:00",28876,21319
"2024-03-22 00:00:00",30548,22123
"2024-03-23 00:00:00",32428,26037
"2024-03-24 00:00:00",33513,26111
"2024-03-25 00:00:00",27395,19648
"2024-03-26 00:00:00",25025,18597
"2024-03-27 00:00:00",29117,19940
