"DateTime","Players","Average Players"
"2024-06-30 00:00:00",1422,1055
"2024-07-01 00:00:00",1975,1141
"2024-07-02 00:00:00",229257,137306
"2024-07-03 00:00:00",224229,132826
"2024-07-04 00:00:00",239513,162988
"2024-07-05 00:00:00",218728,173156
"2024-07-06 00:00:00",248149,205016
"2024-07-07 00:00:00",264860,219788
"2024-07-08 00:00:00",215572,178119
"2024-07-09 00:00:00",203244,165233
"2024-07-10 00:00:00",177085,146485
"2024-07-11 00:00:00",167225,138050
"2024-07-12 00:00:00",180332,145065
"2024-07-13 00:00:00",196866,162949
"2024-07-14 00:00:00",201888,167071
"2024-07-15 00:00:00",160745,133792
"2024-07-16 00:00:00",154943,125640
"2024-07-17 00:00:00",143166,116458
"2024-07-18 00:00:00",142140,94212
"2024-07-19 00:00:00",136179,109105
"2024-07-20 00:00:00",151504,124761
"2024-07-21 00:00:00",152805,127650
"2024-07-22 00:00:00",126014,100976
"2024-07-23 00:00:00",123231,97257
"2024-07-24 00:00:00",117301,92987
"2024-07-25 00:00:00",109572,87577
"2024-07-26 00:00:00",111056,86446
"2024-07-27 00:00:00",120478,97249
"2024-07-28 00:00:00",120841,99264
"2024-07-29 00:00:00",100351,79279
"2024-07-30 00:00:00",98208,76077
"2024-07-31 00:00:00",118351,70997
"2024-08-01 00:00:00",105292,84477
"2024-08-02 00:00:00",108157,83759
"2024-08-03 00:00:00",115559,94176
"2024-08-04 00:00:00",115700,95578
"2024-08-05 00:00:00",95756,76109
"2024-08-06 00:00:00",89981,70117
"2024-08-07 00:00:00",82916,64779
"2024-08-08 00:00:00",78825,61639
"2024-08-09 00:00:00",79037,61818
"2024-08-10 00:00:00",83178,67850
"2024-08-11 00:00:00",82544,68062
"2024-08-12 00:00:00",68124,54232
"2024-08-13 00:00:00",67469,51784
"2024-08-14 00:00:00",65150,50553
"2024-08-15 00:00:00",62793,49542
"2024-08-16 00:00:00",62500,48766
"2024-08-17 00:00:00",70545,56561
"2024-08-18 00:00:00",70453,57636
"2024-08-19 00:00:00",57669,45181
"2024-08-20 00:00:00",52525,40656
"2024-08-21 00:00:00",49214,38290
"2024-08-22 00:00:00",47281,36515
"2024-08-23 00:00:00",47400,35541
"2024-08-24 00:00:00",52450,41442
"2024-08-25 00:00:00",52042,42947
"2024-08-26 00:00:00",42553,33269
"2024-08-27 00:00:00",40546,31324
"2024-08-28 00:00:00",38137,29702
"2024-08-29 00:00:00",63014,33415
"2024-08-30 00:00:00",53063,41716
"2024-08-31 00:00:00",58899,47050
"2024-09-01 00:00:00",58430,47580
"2024-09-02 00:00:00",51498,40515
"2024-09-03 00:00:00",46521,35920
"2024-09-04 00:00:00",43538,33881
"2024-09-05 00:00:00",43319,32574
"2024-09-06 00:00:00",42764,32594
"2024-09-07 00:00:00",47363,37689
"2024-09-08 00:00:00",47512,38178
"2024-09-09 00:00:00",38036,28853
"2024-09-10 00:00:00",35510,26673
"2024-09-11 00:00:00",33275,25092
"2024-09-12 00:00:00",32243,24527
"2024-09-13 00:00:00",34611,26015
"2024-09-14 00:00:00",37771,29501
"2024-09-15 00:00:00",38687,30225
"2024-09-16 00:00:00",30839,24798
"2024-09-17 00:00:00",29460,23215
"2024-09-18 00:00:00",28519,21647
"2024-09-19 00:00:00",27373,20082
"2024-09-20 00:00:00",27764,20251
"2024-09-21 00:00:00",30407,23660
"2024-09-22 00:00:00",30613,23940
"2024-09-23 00:00:00",24476,18457
"2024-09-24 00:00:00",23623,17286
"2024-09-25 00:00:00",22382,16364
"2024-09-26 00:00:00",24592,17249
"2024-09-27 00:00:00",23088,17331
"2024-09-28 00:00:00",26190,20378
"2024-09-29 00:00:00",26042,20129
"2024-09-30 00:00:00",20951,15814
"2024-10-01 00:00:00",19917,15517
"2024-10-02 00:00:00",18716,14366
"2024-10-03 00:00:00",18732,14550
"2024-10-04 00:00:00",19268,14498
"2024-10-05 00:00:00",21594,16613
"2024-10-06 00:00:00",21568,16756
"2024-10-07 00:00:00",17286,13128
"2024-10-08 00:00:00",16986,12156
"2024-10-09 00:00:00",16189,12035
"2024-10-10 00:00:00",35056,16066
"2024-10-11 00:00:00",31407,22572
"2024-10-12 00:00:00",31713,23868
"2024-10-13 00:00:00",32822,25291
"2024-10-14 00:00:00",27376,20403
"2024-10-15 00:00:00",26381,18604
"2024-10-16 00:00:00",24775,17631
"2024-10-17 00:00:00",23475,16633
"2024-10-18 00:00:00",24553,17440
"2024-10-19 00:00:00",26320,19941
"2024-10-20 00:00:00",25616,19641
"2024-10-21 00:00:00",20977,14938
"2024-10-22 00:00:00",20167,14182
"2024-10-23 00:00:00",19046,13484
"2024-10-24 00:00:00",18729,12988
"2024-10-25 00:00:00",18931,13236
"2024-10-26 00:00:00",20195,14919
"2024-10-27 00:00:00",19597,14898
"2024-10-28 00:00:00",16250,11433
"2024-10-29 00:00:00",15410,10864
"2024-10-30 00:00:00",17724,11892
"2024-10-31 00:00:00",16961,12158
"2024-11-01 00:00:00",17364,12107
"2024-11-02 00:00:00",17426,13454
"2024-11-03 00:00:00",17826,13519
"2024-11-04 00:00:00",15071,10890
"2024-11-05 00:00:00",14483,10147
"2024-11-06 00:00:00",13755,9621
"2024-11-07 00:00:00",13428,9428
"2024-11-08 00:00:00",13847,9920
"2024-11-09 00:00:00",15243,11777
"2024-11-10 00:00:00",15273,11858
"2024-11-11 00:00:00",13149,9424
"2024-11-12 00:00:00",12518,8756
"2024-11-13 00:00:00",12076,8430
"2024-11-14 00:00:00",11829,8296
"2024-11-15 00:00:00",13411,9386
"2024-11-16 00:00:00",15436,11520
"2024-11-17 00:00:00",15697,12024
"2024-11-18 00:00:00",11359,9086
"2024-11-19 00:00:00",13049,9223
"2024-11-20 00:00:00",12627,8777
"2024-11-21 00:00:00",11844,8416
"2024-11-22 00:00:00",13561,9484
"2024-11-23 00:00:00",14437,11034
"2024-11-24 00:00:00",14225,10932
"2024-11-25 00:00:00",11643,8368
"2024-11-26 00:00:00",11487,8047
"2024-11-27 00:00:00",12112,7950
"2024-11-28 00:00:00",10801,7731
"2024-11-29 00:00:00",11459,8164
"2024-11-30 00:00:00",12109,9241
