"DateTime","Players","Average Players"
"2024-09-26 00:00:00",53884,47220
"2024-09-27 00:00:00",51159,31881
"2024-09-28 00:00:00",54812,40979
"2024-09-29 00:00:00",56910,42040
"2024-09-30 00:00:00",49462,30621
"2024-10-01 00:00:00",326377,100205
"2024-10-02 00:00:00",301023,211156
"2024-10-03 00:00:00",298100,170274
"2024-10-04 00:00:00",288521,205247
"2024-10-05 00:00:00",316645,206106
"2024-10-06 00:00:00",336300,241955
"2024-10-07 00:00:00",285864,195311
"2024-10-08 00:00:00",265174,182521
"2024-10-09 00:00:00",255588,177646
"2024-10-10 00:00:00",247757,148848
"2024-10-11 00:00:00",239168,165047
"2024-10-12 00:00:00",263415,187149
"2024-10-13 00:00:00",281613,205095
"2024-10-14 00:00:00",248664,175736
"2024-10-15 00:00:00",226253,163607
"2024-10-16 00:00:00",211604,153550
"2024-10-17 00:00:00",200716,118449
"2024-10-18 00:00:00",206476,148491
"2024-10-19 00:00:00",220556,165052
"2024-10-20 00:00:00",232366,170628
"2024-10-21 00:00:00",202026,143973
"2024-10-22 00:00:00",187453,135952
"2024-10-23 00:00:00",178794,127674
"2024-10-24 00:00:00",172627,122533
"2024-10-25 00:00:00",182414,114240
"2024-10-26 00:00:00",195642,141703
"2024-10-27 00:00:00",200301,145871
"2024-10-28 00:00:00",173791,123508
"2024-10-29 00:00:00",166409,118662
"2024-10-30 00:00:00",156168,111350
"2024-10-31 00:00:00",156263,93881
"2024-11-01 00:00:00",156965,114738
"2024-11-02 00:00:00",165373,121350
"2024-11-03 00:00:00",173309,123486
"2024-11-04 00:00:00",147977,103915
"2024-11-05 00:00:00",143163,98837
"2024-11-06 00:00:00",139733,94811
"2024-11-07 00:00:00",134224,86665
"2024-11-08 00:00:00",126912,91403
"2024-11-09 00:00:00",141048,101071
"2024-11-10 00:00:00",142996,102795
"2024-11-11 00:00:00",125327,87962
"2024-11-12 00:00:00",117519,81193
"2024-11-13 00:00:00",117577,79007
"2024-11-14 00:00:00",115085,66218
"2024-11-15 00:00:00",112019,79928
"2024-11-16 00:00:00",125734,86624
"2024-11-17 00:00:00",133161,93165
"2024-11-18 00:00:00",105726,72790
"2024-11-19 00:00:00",102595,69978
"2024-11-20 00:00:00",111337,69795
"2024-11-21 00:00:00",106749,60700
"2024-11-22 00:00:00",102606,75789
"2024-11-23 00:00:00",110658,80846
"2024-11-24 00:00:00",112312,81324
"2024-11-25 00:00:00",96199,67155
"2024-11-26 00:00:00",93151,64957
"2024-11-27 00:00:00",92573,63555
"2024-11-28 00:00:00",85997,56007
"2024-11-29 00:00:00",84530,60649
"2024-11-30 00:00:00",92231,66782
"2024-12-01 00:00:00",100500,70259
"2024-12-02 00:00:00",78886,55945
"2024-12-03 00:00:00",76637,53628
"2024-12-04 00:00:00",79578,51590
"2024-12-05 00:00:00",92608,49142
"2024-12-06 00:00:00",78465,60667
"2024-12-07 00:00:00",85622,62613
"2024-12-08 00:00:00",85301,63153
"2024-12-09 00:00:00",74338,52593
"2024-12-10 00:00:00",69471,49792
"2024-12-11 00:00:00",72200,48257
"2024-12-12 00:00:00",74438,37578
"2024-12-13 00:00:00",68196,50264
"2024-12-14 00:00:00",75887,54527
"2024-12-15 00:00:00",77652,56106
"2024-12-16 00:00:00",64432,44782
"2024-12-17 00:00:00",62674,43540
"2024-12-18 00:00:00",66472,43449
"2024-12-19 00:00:00",63023,35529
"2024-12-20 00:00:00",58904,42245
"2024-12-21 00:00:00",50009,47716
"2024-12-21 01:00:00",45392,47758
"2024-12-21 02:00:00",43934,47799
"2024-12-21 03:00:00",41203,47825
"2024-12-21 04:00:00",40030,47785
"2024-12-21 05:00:00",34807,47764
"2024-12-21 06:00:00",33104,47730
"2024-12-21 07:00:00",31375,47681
"2024-12-21 08:00:00",32862,47659
"2024-12-21 09:00:00",33871,47578
"2024-12-21 10:00:00",37686,47557
"2024-12-21 11:00:00",42215,47565
"2024-12-21 12:00:00",44037,47574
"2024-12-21 13:00:00",47447,47602
"2024-12-21 14:00:00",51104,47657
"2024-12-21 15:00:00",53328,47705
"2024-12-21 16:00:00",59515,47731
"2024-12-21 17:00:00",62363,47540
"2024-12-21 18:00:00",60881,47298
"2024-12-21 19:00:00",63106,47261
"2024-12-21 20:00:00",61904,47222
"2024-12-21 21:00:00",62316,47100
"2024-12-21 22:00:00",57073,46910
"2024-12-21 23:00:00",55618,46838
"2024-12-22 00:00:00",51034,46556
"2024-12-22 01:00:00",46452,46360
"2024-12-22 02:00:00",44727,46148
"2024-12-22 03:00:00",40472,45906
"2024-12-22 04:00:00",39908,45698
"2024-12-22 05:00:00",34432,45508
"2024-12-22 06:00:00",32421,45304
"2024-12-22 07:00:00",31301,45120
"2024-12-22 08:00:00",31355,44920
"2024-12-22 09:00:00",33687,44707
"2024-12-22 10:00:00",38085,44468
"2024-12-22 11:00:00",42563,44216
"2024-12-22 12:00:00",44750,43969
"2024-12-22 13:00:00",48699,43707
"2024-12-22 14:00:00",52134,43413
"2024-12-22 15:00:00",53586,43097
"2024-12-22 16:00:00",54366,42771
"2024-12-22 17:00:00",56006,42452
"2024-12-22 18:00:00",59461,42143
"2024-12-22 19:00:00",61678,41842
"2024-12-22 20:00:00",58385,41528
"2024-12-22 21:00:00",57300,41294
"2024-12-22 22:00:00",55008,41089
"2024-12-22 23:00:00",48558,40908
"2024-12-23 00:00:00",46082,40797
"2024-12-23 01:00:00",41080,40730
"2024-12-23 02:00:00",38671,40667
"2024-12-23 03:00:00",35214,40646
"2024-12-23 04:00:00",35089,40623
"2024-12-23 05:00:00",29279,40608
"2024-12-23 06:00:00",27714,40615
"2024-12-23 07:00:00",26257,40613
"2024-12-23 08:00:00",25905,40618
"2024-12-23 09:00:00",27560,40596
"2024-12-23 10:00:00",31578,40571
"2024-12-23 11:00:00",36171,40533
"2024-12-23 12:00:00",37920,40476
"2024-12-23 13:00:00",41032,40410
"2024-12-23 14:00:00",43965,40299
"2024-12-23 15:00:00",45421,40150
"2024-12-23 16:00:00",46443,39990
"2024-12-23 17:00:00",48042,39762
"2024-12-23 18:00:00",51695,39417
"2024-12-23 19:00:00",53658,38971
"2024-12-23 20:00:00",52522,38508
"2024-12-23 21:00:00",51976,38055
"2024-12-23 22:00:00",50655,37590
"2024-12-23 23:00:00",45839,37131
"2024-12-24 00:00:00",44524,36724
"2024-12-24 01:00:00",39702,36326
"2024-12-24 02:00:00",38340,35937
"2024-12-24 03:00:00",34784,35540
"2024-12-24 04:00:00",34931,35224
"2024-12-24 05:00:00",29676,34944
"2024-12-24 06:00:00",27897,34752
"2024-12-24 07:00:00",26683,34630
"2024-12-24 08:00:00",25694,34553
"2024-12-24 09:00:00",27325,34604
"2024-12-24 10:00:00",31018,34638
"2024-12-24 11:00:00",35168,34635
"2024-12-24 12:00:00",36770,34536
"2024-12-24 13:00:00",38784,34405
"2024-12-24 14:00:00",40718,34291
"2024-12-24 15:00:00",41891,34201
"2024-12-24 16:00:00",41130,34113
"2024-12-24 17:00:00",39622,34249
"2024-12-24 18:00:00",40626,34515
"2024-12-24 19:00:00",41939,34731
"2024-12-24 20:00:00",40961,34964
"2024-12-24 21:00:00",39974,35126
"2024-12-24 22:00:00",38627,35364
"2024-12-24 23:00:00",35037,35576
"2024-12-25 00:00:00",33896,35922
"2024-12-25 01:00:00",29192,36127
"2024-12-25 02:00:00",27583,36366
"2024-12-25 03:00:00",26131,36592
"2024-12-25 04:00:00",27177,36721
"2024-12-25 05:00:00",24275,36852
"2024-12-25 06:00:00",24317,36898
"2024-12-25 07:00:00",24407,36917
"2024-12-25 08:00:00",26865,36896
"2024-12-25 09:00:00",28077,36827
"2024-12-25 10:00:00",30828,36790
"2024-12-25 11:00:00",32400,36785
"2024-12-25 12:00:00",33262,36859
"2024-12-25 13:00:00",35878,36983
"2024-12-25 14:00:00",38506,37140
"2024-12-25 15:00:00",39967,37302
"2024-12-25 16:00:00",45810,37517
"2024-12-25 17:00:00",48263,37591
"2024-12-25 18:00:00",48042,37592
"2024-12-25 19:00:00",49856,37691
"2024-12-25 20:00:00",47060,37797
"2024-12-25 21:00:00",48244,37908
"2024-12-25 22:00:00",46048,38000
"2024-12-25 23:00:00",46198,38181
"2024-12-26 00:00:00",41196,38184
"2024-12-26 01:00:00",37517,38334
"2024-12-26 02:00:00",35292,38443
"2024-12-26 03:00:00",31041,38524
"2024-12-26 04:00:00",31808,38644
"2024-12-26 05:00:00",26287,38722
"2024-12-26 06:00:00",25337,38788
"2024-12-26 07:00:00",23764,38826
"2024-12-26 08:00:00",24944,38878
"2024-12-26 09:00:00",27215,38870
"2024-12-26 10:00:00",31290,38842
"2024-12-26 11:00:00",35232,38822
"2024-12-26 12:00:00",37431,38827
"2024-12-26 13:00:00",40859,38843
"2024-12-26 14:00:00",43623,38822
"2024-12-26 15:00:00",45403,38836
"2024-12-26 16:00:00",46479,38822
"2024-12-26 17:00:00",47092,38777
"2024-12-26 18:00:00",49529,38770
"2024-12-26 19:00:00",51873,38782
"2024-12-26 20:00:00",48789,38800
"2024-12-26 21:00:00",49581,38953
"2024-12-26 22:00:00",49159,39107
"2024-12-26 23:00:00",44958,39123
"2024-12-27 00:00:00",43935,39169
"2024-12-27 01:00:00",39195,39218
"2024-12-27 02:00:00",36694,39280
"2024-12-27 03:00:00",33626,39387
"2024-12-27 04:00:00",33735,39515
"2024-12-27 05:00:00",28033,39605
"2024-12-27 06:00:00",26664,39712
"2024-12-27 07:00:00",25758,39829
"2024-12-27 08:00:00",24977,39904
"2024-12-27 09:00:00",26369,39997
"2024-12-27 10:00:00",30136,40085
"2024-12-27 11:00:00",34542,40168
"2024-12-27 12:00:00",36822,40230
"2024-12-27 13:00:00",39143,40283
"2024-12-27 14:00:00",42838,40334
"2024-12-27 15:00:00",44878,40370
"2024-12-27 16:00:00",45436,40406
"2024-12-27 17:00:00",46550,40589
"2024-12-27 18:00:00",49447,40857
"2024-12-27 19:00:00",52002,41006
"2024-12-27 20:00:00",53042,41234
"2024-12-27 21:00:00",53450,41347
"2024-12-27 22:00:00",49967,41434
"2024-12-27 23:00:00",45680,41500
"2024-12-28 00:00:00",45010,41669
"2024-12-28 01:00:00",40749,41730
"2024-12-28 02:00:00",39280,41837
"2024-12-28 03:00:00",37013,41916
"2024-12-28 04:00:00",36028,41928
"2024-12-28 05:00:00",30944,41978
"2024-12-28 06:00:00",29709,42018
"2024-12-28 07:00:00",28059,42052
"2024-12-28 08:00:00",28071,42148
"2024-12-28 09:00:00",29400,42211
"2024-12-28 10:00:00",32913,42217
