"DateTime","Players","Average Players"
"2024-12-21 00:00:00",20401,31067
"2024-12-21 01:00:00",22247,31142
"2024-12-21 02:00:00",24906,31217
"2024-12-21 03:00:00",26632,31284
"2024-12-21 04:00:00",28656,31368
"2024-12-21 05:00:00",30350,31453
"2024-12-21 06:00:00",31053,31547
"2024-12-21 07:00:00",31176,31638
"2024-12-21 08:00:00",31110,31719
"2024-12-21 09:00:00",30823,31775
"2024-12-21 10:00:00",30761,31812
"2024-12-21 11:00:00",34147,31781
"2024-12-21 12:00:00",38266,31740
"2024-12-21 13:00:00",41592,31690
"2024-12-21 14:00:00",42401,31626
"2024-12-21 15:00:00",41932,31543
"2024-12-21 16:00:00",38250,31427
"2024-12-21 17:00:00",34222,31241
"2024-12-21 18:00:00",31500,31063
"2024-12-21 19:00:00",29726,30939
"2024-12-21 20:00:00",28318,30872
"2024-12-21 21:00:00",27190,30816
"2024-12-21 22:00:00",25881,30787
"2024-12-21 23:00:00",24061,30767
"2024-12-22 00:00:00",22534,30784
"2024-12-22 01:00:00",24304,30793
"2024-12-22 02:00:00",26706,30736
"2024-12-22 03:00:00",28781,30638
"2024-12-22 04:00:00",30778,30480
"2024-12-22 05:00:00",32668,30290
"2024-12-22 06:00:00",33288,30026
"2024-12-22 07:00:00",33171,29669
"2024-12-22 08:00:00",32513,29262
"2024-12-22 09:00:00",31764,28885
"2024-12-22 10:00:00",29953,28553
"2024-12-22 11:00:00",32949,28338
"2024-12-22 12:00:00",36746,28172
"2024-12-22 13:00:00",39706,28037
"2024-12-22 14:00:00",40041,27948
"2024-12-22 15:00:00",38874,27877
"2024-12-22 16:00:00",33570,27813
"2024-12-22 17:00:00",29849,27752
"2024-12-22 18:00:00",28486,27695
"2024-12-22 19:00:00",28150,27650
"2024-12-22 20:00:00",27051,27601
"2024-12-22 21:00:00",26619,27592
"2024-12-22 22:00:00",25615,27577
"2024-12-22 23:00:00",24386,27567
"2024-12-23 00:00:00",22678,27545
"2024-12-23 01:00:00",22794,27539
"2024-12-23 02:00:00",24177,27525
"2024-12-23 03:00:00",24716,27517
"2024-12-23 04:00:00",25900,27513
"2024-12-23 05:00:00",25913,27528
"2024-12-23 06:00:00",24195,27533
"2024-12-23 07:00:00",22818,27544
"2024-12-23 08:00:00",22896,27553
"2024-12-23 09:00:00",23315,27534
"2024-12-23 10:00:00",24493,27505
"2024-12-23 11:00:00",28708,27471
"2024-12-23 12:00:00",33297,27429
"2024-12-23 13:00:00",37448,27399
"2024-12-23 14:00:00",38276,27376
"2024-12-23 15:00:00",37393,27342
"2024-12-23 16:00:00",32154,27299
"2024-12-23 17:00:00",28460,27235
"2024-12-23 18:00:00",27327,27162
"2024-12-23 19:00:00",26859,27069
"2024-12-23 20:00:00",26727,26971
"2024-12-23 21:00:00",26137,26853
"2024-12-23 22:00:00",25217,26717
"2024-12-23 23:00:00",23692,26555
"2024-12-24 00:00:00",22519,26390
"2024-12-24 01:00:00",22488,26193
"2024-12-24 02:00:00",24160,25974
"2024-12-24 03:00:00",24867,25760
"2024-12-24 04:00:00",26737,25569
"2024-12-24 05:00:00",26669,25418
"2024-12-24 06:00:00",25254,25285
"2024-12-24 07:00:00",23802,25187
"2024-12-24 08:00:00",23053,25131
"2024-12-24 09:00:00",23011,25122
"2024-12-24 10:00:00",23964,25121
"2024-12-24 11:00:00",27879,25109
"2024-12-24 12:00:00",32700,25084
"2024-12-24 13:00:00",37000,25040
"2024-12-24 14:00:00",37527,24972
"2024-12-24 15:00:00",36375,24891
"2024-12-24 16:00:00",30604,24813
"2024-12-24 17:00:00",26620,24763
"2024-12-24 18:00:00",24999,24717
"2024-12-24 19:00:00",24296,24670
