"DateTime","Players","Average Players"
"2024-12-21 00:00:00",19719,67167
"2024-12-21 01:00:00",32461,67126
"2024-12-21 02:00:00",48869,67095
"2024-12-21 03:00:00",58438,67105
"2024-12-21 04:00:00",69205,67159
"2024-12-21 05:00:00",78840,67204
"2024-12-21 06:00:00",85210,67282
"2024-12-21 07:00:00",90646,67382
"2024-12-21 08:00:00",94534,67459
"2024-12-21 09:00:00",94472,67492
"2024-12-21 10:00:00",92151,67521
"2024-12-21 11:00:00",103466,67426
"2024-12-21 12:00:00",115243,67180
"2024-12-21 13:00:00",120423,66778
"2024-12-21 14:00:00",120483,66241
"2024-12-21 15:00:00",110521,65646
"2024-12-21 16:00:00",85938,64851
"2024-12-21 17:00:00",58311,63901
"2024-12-21 18:00:00",39506,63089
"2024-12-21 19:00:00",27571,62519
"2024-12-21 20:00:00",20650,62163
"2024-12-21 21:00:00",16672,61943
"2024-12-21 22:00:00",14589,61804
"2024-12-21 23:00:00",14100,61684
"2024-12-22 00:00:00",20078,61597
"2024-12-22 01:00:00",32582,61374
"2024-12-22 02:00:00",49606,60874
"2024-12-22 03:00:00",59874,59996
"2024-12-22 04:00:00",70079,58896
"2024-12-22 05:00:00",80305,57798
"2024-12-22 06:00:00",87000,56321
"2024-12-22 07:00:00",91726,54537
"2024-12-22 08:00:00",94541,52715
"2024-12-22 09:00:00",94419,50994
"2024-12-22 10:00:00",88732,49376
"2024-12-22 11:00:00",95970,48259
"2024-12-22 12:00:00",103711,47403
"2024-12-22 13:00:00",105577,46767
"2024-12-22 14:00:00",104457,46329
"2024-12-22 15:00:00",90298,45902
"2024-12-22 16:00:00",62769,45685
"2024-12-22 17:00:00",39064,45521
"2024-12-22 18:00:00",26557,45400
"2024-12-22 19:00:00",20100,45302
"2024-12-22 20:00:00",16659,45221
"2024-12-22 21:00:00",14762,45152
"2024-12-22 22:00:00",13133,45090
"2024-12-22 23:00:00",11751,45045
"2024-12-23 00:00:00",14329,45009
"2024-12-23 01:00:00",19910,44971
"2024-12-23 02:00:00",27432,44904
"2024-12-23 03:00:00",32115,44830
"2024-12-23 04:00:00",42267,44750
"2024-12-23 05:00:00",42912,44611
"2024-12-23 06:00:00",41818,44431
"2024-12-23 07:00:00",45517,44252
"2024-12-23 08:00:00",50739,44070
"2024-12-23 09:00:00",53237,43843
"2024-12-23 10:00:00",60295,43630
"2024-12-23 11:00:00",74268,43428
"2024-12-23 12:00:00",87736,43179
"2024-12-23 13:00:00",94658,42901
"2024-12-23 14:00:00",94071,42647
"2024-12-23 15:00:00",85470,42437
"2024-12-23 16:00:00",59073,42259
"2024-12-23 17:00:00",36138,42163
"2024-12-23 18:00:00",23920,42105
"2024-12-23 19:00:00",17668,42080
"2024-12-23 20:00:00",14390,42061
"2024-12-23 21:00:00",12674,42040
"2024-12-23 22:00:00",11518,42017
"2024-12-23 23:00:00",10611,42001
"2024-12-24 00:00:00",13647,41990
"2024-12-24 01:00:00",19223,41974
"2024-12-24 02:00:00",27071,41958
"2024-12-24 03:00:00",31662,41925
"2024-12-24 04:00:00",41111,41873
"2024-12-24 05:00:00",41444,41786
"2024-12-24 06:00:00",40608,41710
"2024-12-24 07:00:00",44134,41669
"2024-12-24 08:00:00",48098,41612
"2024-12-24 09:00:00",49980,41536
"2024-12-24 10:00:00",56790,41442
"2024-12-24 11:00:00",69074,41314
"2024-12-24 12:00:00",81351,41172
"2024-12-24 13:00:00",88858,41032
"2024-12-24 14:00:00",88933,40869
"2024-12-24 15:00:00",81059,40711
"2024-12-24 16:00:00",56724,40559
"2024-12-24 17:00:00",34780,40474
"2024-12-24 18:00:00",23442,40475
"2024-12-24 19:00:00",17311,40520
"2024-12-24 20:00:00",13957,40584
"2024-12-24 21:00:00",12158,40653
"2024-12-24 22:00:00",11159,40727
"2024-12-24 23:00:00",10313,40794
"2024-12-25 00:00:00",13209,40851
"2024-12-25 01:00:00",18771,40883
"2024-12-25 02:00:00",26172,40887
"2024-12-25 03:00:00",30321,40868
"2024-12-25 04:00:00",38877,40841
"2024-12-25 05:00:00",39462,40811
"2024-12-25 06:00:00",39599,40777
"2024-12-25 07:00:00",42841,40727
"2024-12-25 08:00:00",46373,40672
"2024-12-25 09:00:00",47819,40622
"2024-12-25 10:00:00",53908,40574
"2024-12-25 11:00:00",65982,40522
