Game,Mean,SD
2k25,20992.100422427036,5637.859435039617
7daystodie,28033.42058371736,4225.859487175391
ageofempires2,19006.559312596004,4036.0540851475675
apex,75615.84890232974,27551.192326657023
ark,27926.14011776754,5345.620405978735
armareforger,7432.798937532002,2269.646136757457
balatro,31546.143375576037,5544.015892763463
baldurs,71438.5782546083,13731.857982760124
banana,96794.61028545827,1927.4387643198415
beamngdrive,18043.732597286227,4782.512780345999
blackdesert,19755.54093061956,2442.7593722313068
callofduty,72834.3228718638,15145.672031872307
civ5,15413.019079621095,2643.179617479318
civ6,52865.50829493088,7622.290235548395
cookieclicker,12206.762877624169,786.4688456414814
crabgame,40386.80668842806,1677.9009531582653
crosshair,53231.10584677419,11648.59101352242
crusaderkings3,18767.81817716334,3854.4800589043066
cs2,966513.2362135177,279159.5806274229
cyberpunk,48969.39811187916,5968.798082346703
darkanddarker,12709.637435995903,1501.4695242631922
dayz,42544.799839989755,11695.961176630031
dbd,32124.126484895034,5311.337282889096
deadlock,13307.342908346132,3175.4687322349027
deltaforce,74402.53032834102,16572.843136247455
destiny2,18046.735330261137,2504.1382261389167
dontstarvetogether,34865.05960061444,13176.49093145925
dota2,464083.0569092422,128590.99963162978
dynwarriors,28999.853047288358,6737.119502339085
eldenring,53399.18874167947,7410.469936055748
europauniversalis4,16412.96829237071,3725.6870971719695
eurotrucksimulator2,37156.665604198664,16387.68145982984
factorio,27261.97018049155,5612.141571655798
fallout4,14408.871710189453,2604.3665295669043
farmingsimulator25,29446.98934971838,12177.124567517607
fc25,52191.66561699949,17093.42781309967
ff14online,18034.231573220688,3960.567769859708
footballmanager,50713.173143881206,14497.682153245716
garrysmod,22939.5118983615,5745.4684436999505
geometrydash,15090.164132104454,3458.5137454445207
governorofpoker3,14664.149039938557,241.9901772622608
gta5,136747.158093318,33646.67140841253
heartsofiron4,41581.689714541724,9637.65166680397
helldivers2,62258.86594022018,12699.694521698888
heroesofhammerwatch2,9631.200462962963,2567.475942518163
l4d2,29079.99110983103,5105.085121395312
legendsofideonmmo,7715.808915770608,700.7662421023311
lethalcompany,16868.69363159242,3929.7361805537585
limbuscompany,16136.836578341012,4979.705753929926
lostark,28247.494450844853,3916.1972578357563
marvelrivals,314438.10801011266,77135.9000819906
mir4,17650.622702252946,524.4055069239133
mountandbladebanner,23330.25027521761,5703.693598839952
naraka,98964.51306963646,69251.40147604886
oncehuman,29327.141922683048,5594.741518449247
overwatch2,21923.3607718894,4206.137357801875
palworld,112457.45622439835,24839.84410716404
pathofexile,240941.967562724,49306.68312925035
payday2,28505.98607910906,1131.7777787866282
phasmophobia,23485.46831157194,7657.745357759035
pubg,349444.7879704301,200867.4018029168
rdr2,36919.286008704556,6171.1288071772715
readyornot,12254.339791346647,2074.9759491088234
rebirth,30806.694802867383,5512.454000537629
rocketleague,18898.856041986688,6960.787940684325
rust,133941.37905785968,31271.70617301401
satisfactory,23290.34119303635,5169.723902247884
scum,16286.949743983618,3456.5914880295313
siege,55998.655993983615,10169.485559727696
sims4,32243.876446492577,6358.689437341107
skyrim,28761.09778545827,5889.00823825114
slaythespire,14443.820276497696,2328.080081056113
smite2,2990.9156682027656,1240.799432168435
sonsoftheforest,22050.576612903224,5856.656215440669
soundpad,14854.633019713261,3422.647767836249
source,148900.58630952382,42519.62355370963
spacewar,33748.3464093702,11748.065286242567
squad,16489.29758064516,4170.616641938864
stardewvalley,77819.02311827957,15409.177155455336
stellaris,19235.462493599593,2253.4560478964895
terraria,30887.44085381464,4608.378785014905
tf2,67833.86956605224,4123.884116229018
thefinals,12877.060573476701,2130.9972683597516
thefirstdescendant,10825.798854326677,1356.206626779089
throneandliberty,34873.23129800307,8412.679527563558
tmodloader,29167.668266769073,4562.316267757997
unturned,15505.873220686124,1537.1191625788629
valheim,26033.086315924214,7664.243497069406
vrchat,38660.995782130056,4105.332643749479
wallpaper,88239.46341205838,26704.80796815866
warframe,59353.42498399897,5052.151709295043
warhammer3,28198.431387608813,5371.249336820603
warthunder,68900.23040834613,18261.700821512874
witcher3,25985.94177547363,7407.772662835178
wukong,39464.35001280082,21503.713272255467
yugiohmasterduel,16660.86312083973,3313.3434259916426
zomboid,39925.66293522786,6959.055456574032
