Game,Mean,SD,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Player,Price,Year,Developer,Publisher,isIndie,hasAchv,hasSteamCloud,controllerSupport,accountRequired,hasKernel
cs2,966513,279160,FPS,Shooter,Multiplayer,Competitive,Action,Multiplayer,0,2012,Valve,Valve,0,0,0,0,0,0
dota2,464083,128591,Free to Play,MOBA,Multiplayer,Strategy,PvP,Multiplayer,0,2013,Valve,Valve,0,0,0,0,0,0
pubg,349445,200867,Survival,Shooter,Battle Royale,Multiplayer,FPS,Multiplayer,0,2017,PUBG Corporation,"KRAFTON, Inc.",0,1,0,0,0,0
marvelrivals,314438,77136,Free to Play,Multiplayer,Hero Shooter,Superhero,PvP,Multiplayer,0,2024,NetEase Games,NetEase Games,0,1,0,2,0,0
pathofexile2,240942,49307,Action RPG,Hack and Slash,RPG,Souls-like,Action,Hybrid,29.99,2024,Grinding Gear Games,Grinding Gear Games,0,0,0,2,0,0
gta5,136747,33647,Open World,Action,Multiplayer,Crime,Mature,Hybrid,29.99,2015,Rockstar North,Rockstar Games,0,1,0,2,1,1
rust,133941,31272,Survival,Crafting,Multiplayer,Open World,PvP,Multiplayer,39.99,2018,Facepunch Studios,Facepunch Studios,1,1,0,0,0,1
palworld,112457,24840,Open World,Survival,Creature Collector,Multiplayer,Open World Survival Craft,Hybrid,29.99,2024,Pocketpair,Pocketpair,1,1,1,2,0,0
naraka,98965,69251,Battle Royale,Multiplayer,Martial Arts,PVP,Mature,Multiplayer,0,2021,24 Entertainment,NetEase Games Global,0,1,0,1,0,0
banana,96795,1927,Free to Play,Clicker,Singleplayer,2D,Casual,Singleplayer,0,2024,Sky,Sky,1,1,1,0,0,0
stardewvalley,77819,15409,Farming Sim,Pixel Graphics,Multiplayer,Life Sim,RPG,Hybrid,14.99,2016,ConcernedApe,ConcernedApe,1,1,1,2,0,0
apex,75616,27551,Free to Play,Battle Royale,Multiplayer,FPS,Shooter,Multiplayer,0,2020,Respawn,Electronic Arts,0,1,0,1,1,1
deltaforce,74403,16573,Free to Play,FPS,Multiplayer,Extraction Shooter,Shooter,Hybrid,0,2024,Team Jade,TiMi Studio Group,0,1,0,0,1,1
callofduty,72834,15146,FPS,Multiplayer,Shooter,Singleplayer,Action,Hybrid,69.99,2022,hasMultiple,Activision,0,1,0,1,1,0
baldurs,71439,13732,RPG,Character Customization,Choices Matter,Story Rich,Turn-Based Combat,Hybrid,59.99,2023,Larian Studios,Larian Studios,0,1,1,2,0,0
warthunder,68900,18262,Free to Play,Simulation,Vehicular Combat,World War II,Combat,Hybrid,0,2013,Gaijin Entertainment,Gaijin Network Ltd,1,1,0,2,0,0
tf2,67834,4124,Free to Play,Hero Shooter,Multiplayer,FPS,Shooter,Multiplayer,0,2007,Valve,Valve,0,1,0,1,0,0
helldivers2,62259,12700,Online Co-Op,PvE,Third-Person Shooter,Action,Shooter,Multiplayer,39.99,2024,Arrowhead Game Studios,Playstation Publishing LLC,0,1,0,1,1,1
warframe,59353,5052,Free to Play,Action RPG,Looter Shooter,Action,Third-Person Shooter,Hybrid,0,2013,Digital Extremes,Digital Extremes,0,1,0,2,1,0
siege,55999,10169,FPS,PvP,eSports,Multiplayer,Tactical,Hybrid,19.99,2015,Ubisoft Montreal,Ubisoft,0,0,0,2,1,0
eldenring,53399,7410,Souls-Like,Open World,Dark Fantasy,RPG,3D,Hybrid,59.99,2022,"FromSoftware, Inc.",hasMultiple,0,1,1,1,0,0
civ6,52866,7622,Strategy,Turn-Based Strategy,Multiplayer,Grand Strategy,Historical,Hybrid,59.99,2016,hasMultiple,2K,0,1,0,0,0,0
fc25,52192,17093,Sports,Simulation,Football (Soccer),eSports,Multiplayer,Hybrid,69.99,2024,Electronic Arts,Electronic Arts,1,1,0,2,1,1
footballmanager,50713,14498,Simulation,Sports,Strategy,Football (Soccer),Management,Singleplayer,59.99,2023,Sports Interactive,SEGA,0,1,1,0,0,0
cyberpunk,48969,5969,Cyberpunk,Open World,Nudity,RPG,Sci-Fi,Singleplayer,59.99,2020,CD PROJEKT RED,CD PROJEKT RED,0,1,1,1,0,0
